base,entry_basis,exit_basis,hours,convergence,capture,adverse,funding,fee,pnl
AAPL,31.6170,0.0000,19,31.6170,50.3076,-2.1002,0.9152,-14.0000,66.7396
AAPL,17.4352,53.7828,26,-36.3476,50.3076,-2.1002,1.2523,-14.0000,-0.8879
AAPL,15.9528,-0.9034,2,16.8562,50.3076,-2.1002,0.0963,-14.0000,51.1599
AAPL,13.5518,43.2926,36,-29.7408,50.3076,-2.1002,1.7340,-14.0000,6.2006
AAPL,29.3198,-1.6150,33,30.9348,50.3076,-2.1002,1.5895,-14.0000,66.7317
AAPL,53.0951,75.5121,10,-22.4170,50.3076,-2.1002,0.4817,-14.0000,12.2721
AAPL,21.1207,-2.8794,8,24.0001,50.3076,-2.1002,0.3853,-14.0000,58.5928
AAPL,17.6276,-20.3874,7,38.0150,50.3076,-2.1002,0.3372,-14.0000,72.5596
AAPL,12.1472,-1.5992,2,13.7464,50.3076,-2.1002,0.0963,-14.0000,48.0501
AAPL,20.2105,-4.2460,4,24.4565,50.3076,-2.1002,0.1927,-14.0000,58.8566
AAPL,22.2644,-9.1387,2,31.4031,50.3076,-2.1002,0.0963,-14.0000,65.7068
AAPL,48.2363,-39.4252,13,87.6615,50.3076,-2.1002,0.6262,-14.0000,122.4951
AAPL,14.8464,-20.9475,4,35.7939,50.3076,-2.1002,0.1927,-14.0000,70.1940
AAPL,18.1277,-13.2390,13,31.3667,50.3076,-2.1002,0.6262,-14.0000,66.2003
AAPL,20.0621,38.1383,25,-18.0762,50.3076,-2.1002,1.2042,-14.0000,17.3354
AAPL,25.0305,-22.4439,1,47.4744,50.3076,-2.1002,0.0482,-14.0000,81.7300
AAPL,22.8075,-9.9692,47,32.7767,50.3076,-2.1002,2.2638,-14.0000,69.2479
AAPL,24.0220,-0.3117,3,24.3337,50.3076,-2.1002,0.1445,-14.0000,58.6856
AAPL,13.4325,-19.3430,6,32.7755,50.3076,-2.1002,0.2890,-14.0000,67.2719
AAPL,13.8187,9.8108,15,4.0079,50.3076,-2.1002,0.7225,-14.0000,38.9378
AAPL,13.8342,64.8665,14,-51.0323,50.3076,-2.1002,0.6743,-14.0000,-16.1506
GOOGL,14.1475,-5.1912,6,19.3387,2.9454,-5.1365,0.4902,-14.0000,3.6378
GOOGL,23.6768,-3.7462,2,27.4230,2.9454,-5.1365,0.1634,-14.0000,11.3953
GOOGL,20.4523,-17.8258,2,38.2781,2.9454,-5.1365,0.1634,-14.0000,22.2504
GOOGL,39.4935,-0.3136,6,39.8071,2.9454,-5.1365,0.4902,-14.0000,24.1062
GOOGL,28.9045,-0.3114,24,29.2159,2.9454,-5.1365,1.9607,-14.0000,14.9854
GOOGL,27.0918,-0.9337,3,28.0255,2.9454,-5.1365,0.2451,-14.0000,12.0795
GOOGL,12.7120,54.8055,1,-42.0935,2.9454,-5.1365,0.0817,-14.0000,-58.2029
GOOGL,23.1887,-19.2596,17,42.4483,2.9454,-5.1365,1.3888,-14.0000,27.6460
GOOGL,274.0006,-35.5952,3,309.5958,2.9454,-5.1365,0.2451,-14.0000,293.6498
GOOGL,289.7959,-3.3441,23,293.1400,2.9454,-5.1365,1.8790,-14.0000,278.8279
GOOGL,14.9102,-2.8142,5,17.7244,2.9454,-5.1365,0.4085,-14.0000,1.9418
GOOGL,18.0114,-15.3747,38,33.3861,2.9454,-5.1365,3.1044,-14.0000,20.2994
GOOGL,19.1746,-1.1496,4,20.3242,2.9454,-5.1365,0.3268,-14.0000,4.4599
GOOGL,14.3719,-3.7342,1,18.1061,2.9454,-5.1365,0.0817,-14.0000,1.9967
GOOGL,20.6216,25.9314,46,-5.3098,2.9454,-5.1365,3.7579,-14.0000,-17.7430
GOOGL,13.8544,-6.6386,1,20.4930,2.9454,-5.1365,0.0817,-14.0000,4.3836
GOOGL,15.3161,-8.3745,9,23.6906,2.9454,-5.1365,0.7352,-14.0000,8.2347
GOOGL,27.2061,-0.8849,2,28.0910,2.9454,-5.1365,0.1634,-14.0000,12.0633
GOOGL,12.1123,30.1445,48,-18.0322,2.9454,-5.1365,3.9213,-14.0000,-30.3020
GOOGL,32.8179,10.4870,30,22.3309,2.9454,-5.1365,2.4508,-14.0000,8.5906
GOOGL,19.2205,25.0730,13,-5.8525,2.9454,-5.1365,1.0620,-14.0000,-20.9816
HOOD,14.0365,-110.9021,3,124.9386,33.2812,-21.8389,0.0784,-14.0000,122.4593
HOOD,20.0232,-1.0547,1,21.0779,33.2812,-21.8389,0.0261,-14.0000,18.5463
HOOD,15.8211,-2.1144,11,17.9355,33.2812,-21.8389,0.2875,-14.0000,15.6653
HOOD,11.5911,170.1994,28,-158.6083,33.2812,-21.8389,0.7319,-14.0000,-160.4341
HOOD,13.8017,-5.7964,10,19.5981,33.2812,-21.8389,0.2614,-14.0000,17.3018
HOOD,25.5844,-4.6463,8,30.2307,33.2812,-21.8389,0.2091,-14.0000,27.8821
HOOD,88.8325,77.0713,20,11.7612,33.2812,-21.8389,0.5228,-14.0000,9.7263
HOOD,59.8227,-43.4921,33,103.3148,33.2812,-21.8389,0.8626,-14.0000,101.6197
HOOD,29.1940,51.0470,21,-21.8530,33.2812,-21.8389,0.5489,-14.0000,-23.8618
HOOD,25.8684,-0.9289,6,26.7973,33.2812,-21.8389,0.1568,-14.0000,24.3964
HOOD,37.1333,58.5491,12,-21.4158,33.2812,-21.8389,0.3137,-14.0000,-23.6598
HOOD,23.5407,-14.8976,44,38.4383,33.2812,-21.8389,1.1501,-14.0000,37.0307
HOOD,22.4614,-25.3664,1,47.8278,33.2812,-21.8389,0.0261,-14.0000,45.2962
HOOD,32.9408,-4.0375,7,36.9783,33.2812,-21.8389,0.1830,-14.0000,34.6036
HOOD,19.4128,29.7404,48,-10.3276,33.2812,-21.8389,1.2547,-14.0000,-11.6306
HOOD,19.2973,-7.2365,1,26.5338,33.2812,-21.8389,0.0261,-14.0000,24.0022
HOOD,16.9711,-8.3132,8,25.2843,33.2812,-21.8389,0.2091,-14.0000,22.9357
HOOD,11.6959,16.4555,7,-4.7596,33.2812,-21.8389,0.1830,-14.0000,-7.1343
HOOD,17.8317,-0.8915,2,18.7232,33.2812,-21.8389,0.0523,-14.0000,16.2178
HOOD,23.1853,19.6183,3,3.5670,33.2812,-21.8389,0.0784,-14.0000,1.0877
META,20.0069,-9.8321,5,29.8390,8.8322,-1.6308,0.3869,-14.0000,23.4273
META,35.8003,-39.0101,17,74.8104,8.8322,-1.6308,1.3156,-14.0000,69.3274
META,39.3257,75.2658,42,-35.9401,8.8322,-1.6308,3.2504,-14.0000,-39.4883
META,16.4103,-24.2727,6,40.6830,8.8322,-1.6308,0.4643,-14.0000,34.3487
META,25.8454,-3.6031,5,29.4485,8.8322,-1.6308,0.3869,-14.0000,23.0368
META,45.9687,-0.9028,3,46.8715,8.8322,-1.6308,0.2322,-14.0000,40.3051
META,68.2153,-9.3065,12,77.5218,8.8322,-1.6308,0.9287,-14.0000,71.6519
META,79.9928,-61.1249,15,141.1177,8.8322,-1.6308,1.1608,-14.0000,135.4799
META,20.3999,22.0142,33,-1.6143,8.8322,-1.6308,2.5539,-14.0000,-5.8590
META,15.6542,27.0503,47,-11.3961,8.8322,-1.6308,3.6373,-14.0000,-14.5574
META,25.3844,-13.6148,8,38.9992,8.8322,-1.6308,0.6191,-14.0000,32.8197
META,14.7225,-3.6344,5,18.3569,8.8322,-1.6308,0.3869,-14.0000,11.9452
META,27.6113,20.9560,23,6.6553,8.8322,-1.6308,1.7800,-14.0000,1.6367
META,19.8766,-34.1115,18,53.9881,8.8322,-1.6308,1.3930,-14.0000,48.5825
META,23.1493,11.6004,48,11.5489,8.8322,-1.6308,3.7147,-14.0000,8.4650
META,11.7637,20.6059,26,-8.8422,8.8322,-1.6308,2.0121,-14.0000,-13.6287
META,26.7628,18.3503,13,8.4125,8.8322,-1.6308,1.0061,-14.0000,2.6200
MRVL,13.8092,-24.1929,1,38.0021,14.0234,-3.6341,0.0602,-14.0000,34.4517
MRVL,37.0490,-32.9910,12,70.0400,14.0234,-3.6341,0.7230,-14.0000,67.1523
MRVL,38.0901,47.5813,4,-9.4912,14.0234,-3.6341,0.2410,-14.0000,-12.8609
MRVL,62.0802,-9.2779,11,71.3581,14.0234,-3.6341,0.6627,-14.0000,68.4101
MRVL,32.0911,-5.5707,22,37.6618,14.0234,-3.6341,1.3255,-14.0000,35.3766
MRVL,32.0106,48.1565,8,-16.1459,14.0234,-3.6341,0.4820,-14.0000,-19.2746
MRVL,19.9300,-5.3665,1,25.2965,14.0234,-3.6341,0.0602,-14.0000,21.7461
MRVL,50.0000,-1.0756,3,51.0756,14.0234,-3.6341,0.1807,-14.0000,47.6457
MRVL,17.2945,-0.5396,2,17.8341,14.0234,-3.6341,0.1205,-14.0000,14.3439
MRVL,23.8897,-24.3644,5,48.2541,14.0234,-3.6341,0.3013,-14.0000,44.9447
