ts_ms,ts_utc,spot_symbol,perp_symbol,spot_close,perp_close,basis_bp,spot_lag_bars
1788018900000,2026-08-29T15:55:00Z,RAAPLUSDT,AAPLUSDT,323.07,320.54,-78.311202,0
1788019200000,2026-08-29T16:00:00Z,RAAPLUSDT,AAPLUSDT,323.07,320.53,-78.620732,1
1788019500000,2026-08-29T16:05:00Z,RAAPLUSDT,AAPLUSDT,322.7,320.53,-67.245119,0
1788019800000,2026-08-29T16:10:00Z,RAAPLUSDT,AAPLUSDT,322.7,320.49,-68.484661,1
1788020100000,2026-08-29T16:15:00Z,RAAPLUSDT,AAPLUSDT,322.7,320.57,-66.005578,2
1788021000000,2026-08-29T16:30:00Z,RAAPLUSDT,AAPLUSDT,323.09,321.1,-61.592745,0
1788021300000,2026-08-29T16:35:00Z,RAAPLUSDT,AAPLUSDT,323.09,320.82,-70.259061,1
1788021600000,2026-08-29T16:40:00Z,RAAPLUSDT,AAPLUSDT,323.09,320.74,-72.735151,2
1788024000000,2026-08-29T17:20:00Z,RAAPLUSDT,AAPLUSDT,322.56,320.94,-50.223214,0
1788024300000,2026-08-29T17:25:00Z,RAAPLUSDT,AAPLUSDT,322.56,320.85,-53.013393,1
1788024600000,2026-08-29T17:30:00Z,RAAPLUSDT,AAPLUSDT,322.56,320.93,-50.533234,2
1788024900000,2026-08-29T17:35:00Z,RAAPLUSDT,AAPLUSDT,322.82,320.94,-58.236788,0
1788025200000,2026-08-29T17:40:00Z,RAAPLUSDT,AAPLUSDT,322.82,321.0,-56.378167,1
1788025500000,2026-08-29T17:45:00Z,RAAPLUSDT,AAPLUSDT,322.82,321.04,-55.139087,2
1788026400000,2026-08-29T18:00:00Z,RAAPLUSDT,AAPLUSDT,323.11,320.85,-69.94522,0
1788026700000,2026-08-29T18:05:00Z,RAAPLUSDT,AAPLUSDT,323.11,320.81,-71.183188,1
1788027000000,2026-08-29T18:10:00Z,RAAPLUSDT,AAPLUSDT,323.11,320.86,-69.635728,2
1788028200000,2026-08-29T18:30:00Z,RAAPLUSDT,AAPLUSDT,323.13,320.65,-76.749296,0
1788028500000,2026-08-29T18:35:00Z,RAAPLUSDT,AAPLUSDT,323.13,320.64,-77.058769,1
1788028800000,2026-08-29T18:40:00Z,RAAPLUSDT,AAPLUSDT,323.13,320.64,-77.058769,2
1788044100000,2026-08-29T22:55:00Z,RAAPLUSDT,AAPLUSDT,323.13,320.55,-79.844026,0
1788044400000,2026-08-29T23:00:00Z,RAAPLUSDT,AAPLUSDT,323.13,320.54,-80.153499,1
1788044700000,2026-08-29T23:05:00Z,RAAPLUSDT,AAPLUSDT,323.13,320.52,-80.772445,2
1788053100000,2026-08-30T01:25:00Z,RAAPLUSDT,AAPLUSDT,322.96,320.66,-71.21625,0
1788053400000,2026-08-30T01:30:00Z,RAAPLUSDT,AAPLUSDT,322.96,320.71,-69.66807,1
1788053700000,2026-08-30T01:35:00Z,RAAPLUSDT,AAPLUSDT,322.96,320.82,-66.262076,2
