ts_ms,ts_utc,base,venue,side,slip_target_bp,capacity_usd,actual_slip_bp,best_price
1789233905843,2026-09-12T17:25:05Z,AAPL,perp,bid,1.0,171930.22,0.3124,333.7
1789233905843,2026-09-12T17:25:05Z,AAPL,perp,bid,5.0,171930.22,0.3124,333.7
1789233905843,2026-09-12T17:25:05Z,AAPL,perp,ask,1.0,2910.1,0.4986,333.71
1789233905843,2026-09-12T17:25:05Z,AAPL,perp,ask,5.0,172264.86,1.187,333.71
1789233905843,2026-09-12T17:25:05Z,GOOGL,perp,bid,1.0,9000.2,0.9781,339.92
1789233905843,2026-09-12T17:25:05Z,GOOGL,perp,bid,5.0,9000.2,0.9781,339.92
1789233905843,2026-09-12T17:25:05Z,GOOGL,perp,ask,1.0,73518.93,0.3092,339.93
1789233905843,2026-09-12T17:25:05Z,GOOGL,perp,ask,5.0,73518.93,0.3092,339.93
1789233905843,2026-09-12T17:25:05Z,HOOD,perp,bid,1.0,4305.32,0.0646,112.47
1789233905843,2026-09-12T17:25:05Z,HOOD,perp,bid,5.0,18778.72,4.9986,112.47
1789233905843,2026-09-12T17:25:05Z,HOOD,perp,ask,1.0,219987.49,0.9821,112.48
1789233905843,2026-09-12T17:25:05Z,HOOD,perp,ask,5.0,219987.49,0.9821,112.48
1789233905843,2026-09-12T17:25:05Z,META,perp,bid,1.0,1150.33,0.7371,649.95
1789233905843,2026-09-12T17:25:05Z,META,perp,bid,5.0,1150.33,0.7371,649.95
1789233905843,2026-09-12T17:25:05Z,META,perp,ask,1.0,26221.97,0.5249,649.99
1789233905843,2026-09-12T17:25:05Z,META,perp,ask,5.0,26221.97,0.5249,649.99
1789233905843,2026-09-12T17:25:05Z,MRVL,perp,bid,1.0,303.88,0.9147,237.43
1789233905843,2026-09-12T17:25:05Z,MRVL,perp,bid,5.0,8816.4,1.9874,237.43
1789233905843,2026-09-12T17:25:05Z,MRVL,perp,ask,1.0,153480.65,0.582,237.44
1789233905843,2026-09-12T17:25:05Z,MRVL,perp,ask,5.0,153480.65,0.582,237.44
1789233905843,2026-09-12T17:25:05Z,NVDA,perp,bid,1.0,23736.79,0.9138,219.48
1789233905843,2026-09-12T17:25:05Z,NVDA,perp,bid,5.0,29556.34,1.0927,219.48
1789233905843,2026-09-12T17:25:05Z,NVDA,perp,ask,1.0,258024.75,0.8929,219.49
1789233905843,2026-09-12T17:25:05Z,NVDA,perp,ask,5.0,309282.81,1.0469,219.49
1789233905843,2026-09-12T17:25:05Z,QQQ,perp,bid,1.0,4492.1,0.2384,716.46
1789233905843,2026-09-12T17:25:05Z,QQQ,perp,bid,5.0,4492.1,0.2384,716.46
1789233905843,2026-09-12T17:25:05Z,QQQ,perp,ask,1.0,242290.98,0.0957,716.47
1789233905843,2026-09-12T17:25:05Z,QQQ,perp,ask,5.0,242290.98,0.0957,716.47
1789233905843,2026-09-12T17:25:05Z,SOXL,perp,bid,1.0,1802.98,0.4065,122.74
1789233905843,2026-09-12T17:25:05Z,SOXL,perp,bid,5.0,346707.39,2.3352,122.74
1789233905843,2026-09-12T17:25:05Z,SOXL,perp,ask,1.0,110047.48,0.5261,122.75
1789233905843,2026-09-12T17:25:05Z,SOXL,perp,ask,5.0,302403.56,1.5947,122.75
1789233905843,2026-09-12T17:25:05Z,SPY,perp,bid,1.0,28032.0,0.8942,765.97
1789233905843,2026-09-12T17:25:05Z,SPY,perp,bid,5.0,28032.0,0.8942,765.97
1789233905843,2026-09-12T17:25:05Z,SPY,perp,ask,1.0,2527234.36,0.2052,765.98
1789233905843,2026-09-12T17:25:05Z,SPY,perp,ask,5.0,2527234.36,0.2052,765.98
1789233905843,2026-09-12T17:25:05Z,TSLA,perp,bid,1.0,746.66,0.8357,366.04
