ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1782662400000,2026-06-28T16:00:00Z,17.793,17.919,17.67,17.75,137.33,2454.53743
1782748800000,2026-06-29T16:00:00Z,17.75,18.32,17.68,18.059,3446.9,62243.41279
1782835200000,2026-06-30T16:00:00Z,18.059,18.438,17.94,18.264,9412.73,171009.13829
1782921600000,2026-07-01T16:00:00Z,18.264,18.826,17.668,17.936,9083.85,165282.97136
1783008000000,2026-07-02T16:00:00Z,17.936,18.064,17.685,17.751,2557.78,45642.03321
1783094400000,2026-07-03T16:00:00Z,17.751,18.011,17.4,17.821,2428.43,43031.45793
1783180800000,2026-07-04T16:00:00Z,17.821,17.922,17.42,17.64,2043.65,36121.32206
1783267200000,2026-07-05T16:00:00Z,17.64,18.443,17.468,17.865,9146.51,164309.3375
1783353600000,2026-07-06T16:00:00Z,17.865,17.97,17.283,17.331,9403.61,165813.84352
1783440000000,2026-07-07T16:00:00Z,17.331,17.412,16.123,16.183,23827.15,404612.00223
1783526400000,2026-07-08T16:00:00Z,16.183,17.139,16.183,17.139,3870.09,64229.8426
1783612800000,2026-07-09T16:00:00Z,17.139,17.647,16.564,16.857,28264.18,479603.79608
1783699200000,2026-07-10T16:00:00Z,16.857,17.019,16.797,16.982,615.26,10421.94788
1783785600000,2026-07-11T16:00:00Z,16.982,16.984,16.975,16.978,206.68,3509.74685
1783872000000,2026-07-12T16:00:00Z,16.978,16.984,16.413,16.444,29870.14,498053.73066
1783958400000,2026-07-13T16:00:00Z,16.444,16.513,15.886,16.015,22676.35,366300.17262
1784044800000,2026-07-14T16:00:00Z,16.015,16.125,15.599,15.901,7353.04,115948.70745
1784131200000,2026-07-15T16:00:00Z,15.901,16.074,15.19,15.84,24727.19,385187.14881
1784217600000,2026-07-16T16:00:00Z,15.84,15.851,14.964,15.049,11229.52,172967.56116
1784304000000,2026-07-17T16:00:00Z,15.049,15.152,14.9,14.976,4795.25,72216.41576
1784390400000,2026-07-18T16:00:00Z,14.976,14.991,14.972,14.98,348.26,5217.82534
1784476800000,2026-07-19T16:00:00Z,14.98,15.26,14.816,15.191,21858.74,330072.32364
1784563200000,2026-07-20T16:00:00Z,15.191,15.338,15.023,15.213,7978.44,121316.23346
1784649600000,2026-07-21T16:00:00Z,15.213,15.47,14.818,15.209,12253.66,186257.30201
1784736000000,2026-07-22T16:00:00Z,15.209,15.352,13.452,13.549,73748.44,1060812.91414
1784822400000,2026-07-23T16:00:00Z,13.549,14.556,13.347,14.44,32152.21,441678.94988
1784908800000,2026-07-24T16:00:00Z,14.44,14.639,14.253,14.442,20773.47,300988.44956
1784995200000,2026-07-25T16:00:00Z,14.442,14.555,14.432,14.478,18514.09,267916.12598
1785081600000,2026-07-26T16:00:00Z,14.478,15.196,14.478,14.627,31138.71,461446.74087
1785168000000,2026-07-27T16:00:00Z,14.627,15.239,14.568,15.222,15389.26,228765.08124
