ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1782057600000,2026-06-21T16:00:00Z,281.91,284.8,279.63,283.75,2.44,691.4406
1782144000000,2026-06-22T16:00:00Z,283.75,300.15,276.66,282.64,110.94,31425.6642
1782230400000,2026-06-23T16:00:00Z,282.64,300.59,276.94,277.16,201.79,56530.4113
1782316800000,2026-06-24T16:00:00Z,277.16,284.51,274.05,279.83,134.42,37466.1842
1782403200000,2026-06-25T16:00:00Z,279.83,287.78,273.7,279.53,170.34,47938.7257
1782489600000,2026-06-26T16:00:00Z,279.53,283.39,275.79,280.21,47.54,13260.371
1782576000000,2026-06-27T16:00:00Z,280.21,281.62,276.9,280.14,18.94,5306.0651
1782662400000,2026-06-28T16:00:00Z,280.14,297.95,268.17,271.23,316.77,88989.7065
1782748800000,2026-06-29T16:00:00Z,271.23,303.77,268.5,292.02,407.78,117427.7001
1782835200000,2026-06-30T16:00:00Z,292.02,308,273.36,303.11,652.4,192320.864
1782921600000,2026-07-01T16:00:00Z,303.11,315.14,297.35,309.51,255.05,78121.1561
1783008000000,2026-07-02T16:00:00Z,309.51,316.26,308,310.59,69.89,21740.9464
1783094400000,2026-07-03T16:00:00Z,310.59,313.95,308.3,309.84,12.7,3949.5248
1783180800000,2026-07-04T16:00:00Z,309.84,314.37,307.02,313.19,22.41,6950.1402
1783267200000,2026-07-05T16:00:00Z,313.19,316,295.57,307.55,180.73,55515.9426
1783353600000,2026-07-06T16:00:00Z,307.55,314.41,297.7,307.65,98.9,30436.6077
1783440000000,2026-07-07T16:00:00Z,307.65,309.15,283.34,298.7,105.83,32011.2647
1783526400000,2026-07-08T16:00:00Z,298.7,305.1,292.02,296.75,57.35,16986.6676
1783612800000,2026-07-09T16:00:00Z,296.75,300.5,289.96,298.7,105.41,31214.7272
1783699200000,2026-07-10T16:00:00Z,298.7,304.8,295.19,299.47,46.07,13810.7802
1783785600000,2026-07-11T16:00:00Z,299.47,305.3,296.13,301.52,19,5700.0781
1783872000000,2026-07-12T16:00:00Z,301.52,304.08,294.56,302.84,13.99,4188.0521
1783958400000,2026-07-13T16:00:00Z,302.84,310.5,292.8,302.28,34.27,10335.7063
1784044800000,2026-07-14T16:00:00Z,302.28,306.68,290.16,294.21,64.42,19144.8729
1784131200000,2026-07-15T16:00:00Z,294.21,302.4,288,296.14,133.38,39223.4442
1784217600000,2026-07-16T16:00:00Z,296.14,305.19,281.7,300.13,243.66,72785.3936
1784304000000,2026-07-17T16:00:00Z,300.13,300.13,290.98,294.39,64.86,19130.2253
1784390400000,2026-07-18T16:00:00Z,294.39,296.41,291.47,295.54,13.5,3970.167
1784476800000,2026-07-19T16:00:00Z,295.54,307.5,275.01,296.8,653.66,190242.6641
1784563200000,2026-07-20T16:00:00Z,296.8,300.6,283.39,297.56,190.01,56391.2607
1784649600000,2026-07-21T16:00:00Z,297.56,301.2,286.9,296.33,406.87,120886.3049
1784736000000,2026-07-22T16:00:00Z,296.33,300.96,288.55,295.57,78.25,23168.7616
1784822400000,2026-07-23T16:00:00Z,295.57,298.2,281.54,297.03,57.55,16893.4003
1784908800000,2026-07-24T16:00:00Z,297.03,300.03,296.38,296.81,19.82,5897.4609
1784995200000,2026-07-25T16:00:00Z,296.81,299.79,296.81,299.63,11.75,3511.4322
1785081600000,2026-07-26T16:00:00Z,299.63,302.75,291.67,292.96,32.65,9657.7656
1785168000000,2026-07-27T16:00:00Z,292.96,297.7,281.25,294.16,146.13,42811.6486
1785254400000,2026-07-28T16:00:00Z,294.16,301.04,288.54,292.13,53.43,15809.8105
1785340800000,2026-07-29T16:00:00Z,292.13,310.13,289.27,299.75,30.93,9274.3091
1785427200000,2026-07-30T16:00:00Z,299.75,308.88,291.01,292.61,29.88,8919.2948
1785513600000,2026-07-31T16:00:00Z,292.61,296.89,291.92,295.55,14,4124.4222
1785600000000,2026-08-01T16:00:00Z,295.55,297,293.84,296.15,17.58,5191.2871
1785686400000,2026-08-02T16:00:00Z,296.15,297.7,290.21,291.36,32.12,9420.5364
1785772800000,2026-08-03T16:00:00Z,291.36,295.79,280,295.37,47.1,13696.5619
1785859200000,2026-08-04T16:00:00Z,295.37,299.28,290,294.98,42.66,12557.3432
