ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1778428800000,2026-05-10T16:00:00Z,114,130,111.3,126.77,9389.82,1121262.2556
1778515200000,2026-05-11T16:00:00Z,126.77,132.28,114.94,115.19,13403.01,1670233.5544
1778601600000,2026-05-12T16:00:00Z,115.19,133.91,113.91,118.27,15377,1876368.3841
1778688000000,2026-05-13T16:00:00Z,118.27,127.29,109.88,117.52,11964.92,1427673.2638
1778774400000,2026-05-14T16:00:00Z,117.52,124.01,108.78,121.5,17207.35,2013894.5243
1778860800000,2026-05-15T16:00:00Z,121.5,128.48,120.71,125.24,5691.51,707949.4384
1778947200000,2026-05-16T16:00:00Z,125.24,126.31,124.31,126.27,743.53,93339.641
1779033600000,2026-05-17T16:00:00Z,126.27,128.67,109.1,109.73,7460.62,895939.8324
1779120000000,2026-05-18T16:00:00Z,109.73,114.61,100.22,108.72,32819.05,3535216.9659
1779206400000,2026-05-19T16:00:00Z,108.72,116.45,105.1,107.7,10948.29,1222438.1104
1779292800000,2026-05-20T16:00:00Z,107.7,117.67,102.01,115.46,41300,4494309.7298
1779379200000,2026-05-21T16:00:00Z,115.46,132.32,114.42,128.16,52629.01,6384054.3609
1779465600000,2026-05-22T16:00:00Z,128.16,146.44,127.13,141.48,23718.03,3293740.5457
1779552000000,2026-05-23T16:00:00Z,141.48,144.17,141.25,144.05,495.03,70733.0914
1779638400000,2026-05-24T16:00:00Z,144.05,145.5,142.07,145.47,777.8,112201.2007
1779724800000,2026-05-25T16:00:00Z,145.47,145.66,131.87,133.05,15553.2,2156218.6801
1779811200000,2026-05-26T16:00:00Z,133.05,137.09,115.55,119.56,28953.15,3639403.8763
1779897600000,2026-05-27T16:00:00Z,119.56,130.76,118.87,121.32,19992.75,2463095.797
1779984000000,2026-05-28T16:00:00Z,121.32,121.32,100.1,102.71,13777.73,1511897.4396
1780070400000,2026-05-29T16:00:00Z,102.71,106.81,100.73,101.83,7899.62,818456.1574
1780156800000,2026-05-30T16:00:00Z,101.83,102.71,101.71,102.5,594.45,60780.7333
1780243200000,2026-05-31T16:00:00Z,102.5,110.43,91.44,109.6,11911.43,1232924.5421
1780329600000,2026-06-01T16:00:00Z,109.6,123.78,108.39,113.62,18143.37,2080609.8518
1780416000000,2026-06-02T16:00:00Z,113.62,115.13,104.62,109.44,17068.35,1901198.4993
1780502400000,2026-06-03T16:00:00Z,109.44,110.39,101.61,104.9,13200.68,1390237.6039
1780588800000,2026-06-04T16:00:00Z,104.9,112.62,96.85,97.88,19236.92,1994938.2485
1780675200000,2026-06-05T16:00:00Z,97.88,98.51,83.69,84.09,19149.79,1706679.8242
1780761600000,2026-06-06T16:00:00Z,84.09,84.22,83.45,83.51,2269.35,190193.1005
1780848000000,2026-06-07T16:00:00Z,83.51,96.58,83.1,93.48,44797.39,3998444.6857
1780934400000,2026-06-08T16:00:00Z,93.48,97.48,79.46,79.56,51341.7,4633962.919
1781020800000,2026-06-09T16:00:00Z,79.56,90.33,75.36,88.12,63790.57,5249734.2079
1781107200000,2026-06-10T16:00:00Z,88.12,94.3,81.87,84.35,79304.15,6923720.8201
1781193600000,2026-06-11T16:00:00Z,84.35,100.21,83.49,94.67,101262.57,9370391.1888
1781280000000,2026-06-12T16:00:00Z,94.67,104.78,94.67,103.47,34735.01,3474313.4409
1781366400000,2026-06-13T16:00:00Z,103.47,105.02,99.73,104,3885.17,401569.5425
1781452800000,2026-06-14T16:00:00Z,104,116.08,101.92,110.88,77823.53,8639492.9348
1781539200000,2026-06-15T16:00:00Z,110.88,116.67,96.28,97.98,49230.27,5295766.5061
1781625600000,2026-06-16T16:00:00Z,97.98,100.45,90.8,95.22,56621.81,5453750.4166
1781712000000,2026-06-17T16:00:00Z,95.22,98.19,82.97,83.72,78111.4,7067906.8516
1781798400000,2026-06-18T16:00:00Z,83.72,89.23,81.11,86.39,30526.16,2586119.8436
1781884800000,2026-06-19T16:00:00Z,86.39,90.17,84.66,89.2,11472.31,1014432.0888
1781971200000,2026-06-20T16:00:00Z,89.2,93.17,88.54,91.13,9161.23,834848.1043
1782057600000,2026-06-21T16:00:00Z,91.13,94.22,84.45,88.28,40401.31,3575964.5144
1782144000000,2026-06-22T16:00:00Z,88.28,95.8,80.07,80.12,67287.28,5924359.6001
1782230400000,2026-06-23T16:00:00Z,80.12,80.86,67.11,70.81,90608.85,6691491.0234
1782316800000,2026-06-24T16:00:00Z,70.81,76.53,64.04,67.02,153333.48,10766942.1887
1782403200000,2026-06-25T16:00:00Z,67.02,71.38,65.35,67.1,102329.15,6960126.2864
1782489600000,2026-06-26T16:00:00Z,67.1,73.92,66.21,71.32,47051.25,3290907.8781
1782576000000,2026-06-27T16:00:00Z,71.32,72.27,69.6,69.73,3381.53,240403.5278
1782662400000,2026-06-28T16:00:00Z,69.73,72.08,64.53,68.57,43447.86,2970429.951
1782748800000,2026-06-29T16:00:00Z,68.57,73.14,68.57,70.28,98083.77,6936950.2638
1782835200000,2026-06-30T16:00:00Z,70.28,73.13,63.64,65.95,63686.21,4444831.5078
1782921600000,2026-07-01T16:00:00Z,65.95,66.95,57.33,57.51,57837.58,3690451.2248
1783008000000,2026-07-02T16:00:00Z,57.51,60.52,53.5,60,52610.39,2983861.2039
1783094400000,2026-07-03T16:00:00Z,60,60.58,59.8,60.26,1725.14,103952.7475
