ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1780848000000,2026-06-07T16:00:00Z,488.02,499.94,458.59,465.18,129.27,61152.4243
1780934400000,2026-06-08T16:00:00Z,465.18,480.25,431.11,431.11,1075,500798.4079
1781020800000,2026-06-09T16:00:00Z,431.11,450.67,419.19,434.58,2683.88,1163827.2807
1781107200000,2026-06-10T16:00:00Z,434.58,451.41,422.94,443.37,3133.11,1369562.1599
1781193600000,2026-06-11T16:00:00Z,443.37,457.81,433.93,445.6,1554.84,697578.1316
1781280000000,2026-06-12T16:00:00Z,445.6,457.52,444.72,454.73,516.42,232744.5141
1781366400000,2026-06-13T16:00:00Z,454.73,456.69,454.73,455.45,53.34,24315.7661
1781452800000,2026-06-14T16:00:00Z,455.45,480.9,447.45,452.89,1595.59,732438.2116
1781539200000,2026-06-15T16:00:00Z,452.89,471.12,431.88,433.98,867.58,394482.2783
1781625600000,2026-06-16T16:00:00Z,433.98,444.24,425.78,440.42,1076.26,467376.4224
1781712000000,2026-06-17T16:00:00Z,440.42,451.99,427.15,429.44,1537.74,679327.1767
1781798400000,2026-06-18T16:00:00Z,429.44,432.22,425.23,428.73,532.46,228350.001
1781884800000,2026-06-19T16:00:00Z,428.73,432.17,427.68,431.84,190.54,82138.9739
1781971200000,2026-06-20T16:00:00Z,431.84,432.4,428.75,432.06,112.79,48673.2953
1782057600000,2026-06-21T16:00:00Z,432.06,447.46,426.76,438.27,807.86,352394.5174
1782144000000,2026-06-22T16:00:00Z,438.27,465.78,432.66,453.59,4440.85,2000971.4433
1782230400000,2026-06-23T16:00:00Z,453.59,479.56,441.41,474.74,3372.51,1568860.7037
1782316800000,2026-06-24T16:00:00Z,474.74,489.38,452.81,475.72,3178.15,1507453.7691
1782403200000,2026-06-25T16:00:00Z,475.72,493.93,460.09,473.95,3695.39,1767441.6822
1782489600000,2026-06-26T16:00:00Z,473.95,492.33,468.27,481.04,1351.91,651262.9798
1782576000000,2026-06-27T16:00:00Z,481.04,484.15,479.9,483.3,106.29,51258.5791
1782662400000,2026-06-28T16:00:00Z,483.3,486.59,435.39,475.83,1726.57,811355.4417
1782748800000,2026-06-29T16:00:00Z,475.83,488.54,472,480.36,647.75,309816.1317
1782835200000,2026-06-30T16:00:00Z,480.36,492.04,461.93,467.97,1176.86,568330.6253
1782921600000,2026-07-01T16:00:00Z,467.97,475.62,428.72,431.3,1360.2,624081.7869
1783008000000,2026-07-02T16:00:00Z,431.3,431.3,414.5,428.49,655.54,277946.6333
1783094400000,2026-07-03T16:00:00Z,428.49,429.48,426.19,428.48,72.26,30978.4741
1783180800000,2026-07-04T16:00:00Z,428.48,429.73,427.7,428.25,60.86,26126.4798
1783267200000,2026-07-05T16:00:00Z,428.25,445.76,419.95,441.03,886.68,382423.6811
1783353600000,2026-07-06T16:00:00Z,441.03,442.72,404.7,418.81,1490.98,629949.5941
1783440000000,2026-07-07T16:00:00Z,418.81,435.6,396.52,423.7,2308.6,957385.7646
1783526400000,2026-07-08T16:00:00Z,423.7,485.12,423.68,472.06,1736.39,784086.475
1783612800000,2026-07-09T16:00:00Z,472.06,473.27,451.61,461.04,816.62,375073.0278
1783699200000,2026-07-10T16:00:00Z,461.04,464.23,458.86,460.62,119.92,55375.6919
1783785600000,2026-07-11T16:00:00Z,460.62,463.83,457.49,458.21,56.71,26017.7087
1783872000000,2026-07-12T16:00:00Z,458.21,461.9,436.51,452,746.99,336196.2537
1783958400000,2026-07-13T16:00:00Z,452,465.7,441.86,453.72,2294.84,1039661.0968
1784044800000,2026-07-14T16:00:00Z,453.72,454.71,411.65,412,1015.26,438415.4356
1784131200000,2026-07-15T16:00:00Z,412,426.05,392.4,394.35,2377.33,967533.4761
1784217600000,2026-07-16T16:00:00Z,394.35,395.15,360.15,384.89,2699.39,1020832.0235
1784304000000,2026-07-17T16:00:00Z,384.89,387.98,370.36,371.73,328.05,124755.0189
1784390400000,2026-07-18T16:00:00Z,371.73,376.7,370.37,370.87,28.99,10790.9062
1784476800000,2026-07-19T16:00:00Z,370.87,394.55,369.14,386.94,284.96,108743.1555
1784563200000,2026-07-20T16:00:00Z,386.94,410,375.18,408.16,1156.73,449672.0478
1784649600000,2026-07-21T16:00:00Z,408.16,413.36,392.6,405.33,1249.56,503485.9919
1784736000000,2026-07-22T16:00:00Z,405.33,416.32,393.1,404.94,1033.92,418126.3609
1784822400000,2026-07-23T16:00:00Z,404.94,412.67,388.38,396.15,1047.93,422684.2451
1784908800000,2026-07-24T16:00:00Z,396.15,398.28,386.42,386.98,457.88,179281.6294
1784995200000,2026-07-25T16:00:00Z,386.98,391.07,383.76,386.04,244.33,94786.1357
1785081600000,2026-07-26T16:00:00Z,386.04,407.81,361.42,368.18,794.02,307979.6206
1785168000000,2026-07-27T16:00:00Z,368.18,378.7,329.32,344.77,685.25,246024.4521
1785254400000,2026-07-28T16:00:00Z,344.77,357.53,329.58,331.66,403.09,138902.1265
1785340800000,2026-07-29T16:00:00Z,331.66,367.15,322.82,365.45,456.71,156682.6827
1785427200000,2026-07-30T16:00:00Z,365.45,400.46,362.2,380.6,361.77,138174.797
1785513600000,2026-07-31T16:00:00Z,380.6,386.1,371.2,376.97,148.4,56094.8637
1785600000000,2026-08-01T16:00:00Z,376.97,384.78,374.8,378.37,384.19,146453.0999
1785686400000,2026-08-02T16:00:00Z,378.37,387.99,356.26,383.41,534.58,202408.7249
1785772800000,2026-08-03T16:00:00Z,383.41,435.05,381.84,415.65,682.68,279140.7638
1785859200000,2026-08-04T16:00:00Z,415.65,424.68,400.08,408.36,397.2,164019.6854
1785945600000,2026-08-05T16:00:00Z,408.36,419.13,392.67,414.74,357.74,146019.9624
1786032000000,2026-08-06T16:00:00Z,414.74,422.41,398.18,411.25,353.22,144813.3734
1786118400000,2026-08-07T16:00:00Z,411.25,416.26,408.95,413.79,159.97,65919.9765
1786204800000,2026-08-08T16:00:00Z,413.79,421.1,410.04,418.81,177.08,73377.253
1786291200000,2026-08-09T16:00:00Z,418.81,422.82,395.76,400.7,199.45,82591.5416
1786377600000,2026-08-10T16:00:00Z,400.7,400.7,385.07,387.51,237.37,92768.6281
1786464000000,2026-08-11T16:00:00Z,387.51,439.83,384.67,437.32,373.45,151166.4457
1786550400000,2026-08-12T16:00:00Z,437.32,464,426.4,456.79,448.43,196781.001
1786636800000,2026-08-13T16:00:00Z,456.79,461.78,424.23,425.6,294.95,131025.4656
1786723200000,2026-08-14T16:00:00Z,425.6,432.49,423,431.51,111.3,47746.1653
1786809600000,2026-08-15T16:00:00Z,431.51,432.14,426.54,427.5,79.6,34109.7185
1786896000000,2026-08-16T16:00:00Z,427.5,457.33,426.75,456.1,204.15,88939.5771
1786982400000,2026-08-17T16:00:00Z,456.1,458.68,397.41,400.05,366.55,161020.7704
1787068800000,2026-08-18T16:00:00Z,400.05,423.39,392.14,396.87,482.49,197163.2017
1787155200000,2026-08-19T16:00:00Z,396.87,407.44,389.32,395.79,590.23,236433.0865
1787241600000,2026-08-20T16:00:00Z,395.79,401.46,382.8,393.02,268.13,105544.9691
1787328000000,2026-08-21T16:00:00Z,393.02,399.88,390.51,393.88,238.43,94207.2078
1787414400000,2026-08-22T16:00:00Z,393.88,394.53,389.39,393.51,150.51,58952.7711
1787500800000,2026-08-23T16:00:00Z,393.51,398.29,363.65,375.57,355.6,137580.9165
1787587200000,2026-08-24T16:00:00Z,375.57,387.66,370.61,383.94,235.82,89595.4312
