ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1772380800000,2026-03-01T16:00:00Z,1002.56,1023.96,1002.56,1008.25,171.54,172614.0179
1772467200000,2026-03-02T16:00:00Z,1008.25,1022.12,995.25,1001.58,104.32,104815.4888
1772553600000,2026-03-03T16:00:00Z,1001.58,1014.39,995.72,1004.71,537.1,539608.0587
1772640000000,2026-03-04T16:00:00Z,1004.71,1012.28,982.4,982.4,2142.05,2147874.0831
1772726400000,2026-03-05T16:00:00Z,982.4,996,962.5,996,740.41,725679.725
1772812800000,2026-03-06T16:00:00Z,996,1002.12,993.66,994.9,747.03,743329.9079
1772899200000,2026-03-07T16:00:00Z,994.9,1005.12,991.15,992.43,1510.62,1501521.5385
1772985600000,2026-03-08T16:00:00Z,992.43,1004.79,979.14,1001.84,382.9,379454.5299
1773072000000,2026-03-09T16:00:00Z,1001.84,1007.77,991.63,1003.56,332.02,332254.2105
1773158400000,2026-03-10T16:00:00Z,1003.56,1008.89,988.99,992.01,495.34,495205.2358
1773244800000,2026-03-11T16:00:00Z,992.01,999.66,984.5,998.29,147.85,146612.1561
1773331200000,2026-03-12T16:00:00Z,998.29,1012.37,989.31,1008.22,2122.88,2125804.0208
1773417600000,2026-03-13T16:00:00Z,1008.22,1010.71,1002.13,1007.77,2532.93,2548775.2255
1773504000000,2026-03-14T16:00:00Z,1007.77,1009.11,1000.39,1003.8,423.1,425176.3633
1773590400000,2026-03-15T16:00:00Z,1003.8,1011.74,995.82,998.6,212.63,213844.9721
1773676800000,2026-03-16T16:00:00Z,998.6,1008.91,993.76,1006.17,988.91,990277.5496
1773763200000,2026-03-17T16:00:00Z,1006.17,1006.17,985.37,988.69,454.89,451527.2752
1773849600000,2026-03-18T16:00:00Z,988.69,996.56,971.42,975.69,768.22,755391.9061
1773936000000,2026-03-19T16:00:00Z,975.69,983.09,971.56,977,237.78,232302.9162
1774022400000,2026-03-20T16:00:00Z,977,980.57,971.38,973.68,95.69,93255.5819
1774108800000,2026-03-21T16:00:00Z,973.68,980.67,970,970,88.98,86617.7746
1774195200000,2026-03-22T16:00:00Z,970,995.2,965.37,972.76,218.66,213401.331
1774281600000,2026-03-23T16:00:00Z,972.76,982.42,961.51,979.17,213.63,206448.5868
1774368000000,2026-03-24T16:00:00Z,979.17,981.41,969.67,977.42,154.5,150644.2195
1774454400000,2026-03-25T16:00:00Z,977.42,985.78,970.74,981.66,864.91,843751.948
1774540800000,2026-03-26T16:00:00Z,981.66,986.18,975.76,984.77,739.27,724341.658
1774627200000,2026-03-27T16:00:00Z,984.77,985.72,979.39,982.39,479.61,470838.2671
1774713600000,2026-03-28T16:00:00Z,982.39,983.41,981.48,982.77,37.97,37315.3425
1774800000000,2026-03-29T16:00:00Z,982.77,1005.94,979.73,1001.38,188.57,187066.0647
1774886400000,2026-03-30T16:00:00Z,1001.38,1008.21,991,994.38,148.2,148071.4827
1774972800000,2026-03-31T16:00:00Z,994.38,1001.02,987.77,994.1,103.26,102841.8937
1775059200000,2026-04-01T16:00:00Z,994.1,1015.17,992.36,1005.17,195.59,196394.9444
1775145600000,2026-04-02T16:00:00Z,1005.17,1014.94,1005.17,1014.1,82.3,83093.8562
1775232000000,2026-04-03T16:00:00Z,1014.1,1014.36,1013,1013.09,4.15,4207.3661
1775318400000,2026-04-04T16:00:00Z,1013.09,1014.2,1012.78,1014.15,4.77,4836.1432
1775404800000,2026-04-05T16:00:00Z,1014.15,1017,1004.72,1016.22,107.88,109302.8675
1775491200000,2026-04-06T16:00:00Z,1016.22,1020.16,1009.74,1012.3,124.67,126797.0615
1775577600000,2026-04-07T16:00:00Z,1012.3,1026.61,1001.07,1024.01,537.83,547855.0289
1775664000000,2026-04-08T16:00:00Z,1024.01,1036.04,1022.4,1030.96,225.5,231935.7746
1775750400000,2026-04-09T16:00:00Z,1030.96,1035.89,1000.32,1005.91,240.43,246307.4221
1775836800000,2026-04-10T16:00:00Z,1005.91,1005.91,995.1,999.51,19.59,19578.5745
1775923200000,2026-04-11T16:00:00Z,999.51,1000.66,998.7,1000.56,3.34,3339.6429
1776009600000,2026-04-12T16:00:00Z,1000.56,1003.51,982.92,983.46,99.13,98734.9555
1776096000000,2026-04-13T16:00:00Z,983.46,992.35,966.47,970.67,333.13,325728.311
1776182400000,2026-04-14T16:00:00Z,970.67,979.84,968.54,975.78,29.14,28343.0469
1776268800000,2026-04-15T16:00:00Z,975.78,995.06,974.17,987.69,106.98,105517.5464
1776355200000,2026-04-16T16:00:00Z,987.69,995.01,978,986.97,32.58,32126.4724
1776441600000,2026-04-17T16:00:00Z,986.97,1000,986.85,998.04,24.36,24282.9307
1776528000000,2026-04-18T16:00:00Z,998.04,998.04,996.49,997.15,5.66,5642.7746
1776614400000,2026-04-19T16:00:00Z,997.15,1010,992.52,1004.98,40.67,40574.0263
1776700800000,2026-04-20T16:00:00Z,1004.98,1004.98,987.77,997.87,47.97,47822.9126
1776787200000,2026-04-21T16:00:00Z,997.87,1007.72,997.74,1007.72,54.17,54283.6281
1776873600000,2026-04-22T16:00:00Z,1007.72,1014,997.81,1012.04,50.11,50294.6465
1776960000000,2026-04-23T16:00:00Z,1012.04,1015.2,1001.56,1008.12,21.46,21703.4645
1777046400000,2026-04-24T16:00:00Z,1008.12,1012.8,1006.67,1009.22,5.36,5413.8109
1777132800000,2026-04-25T16:00:00Z,1009.22,1013.01,1009.12,1012.69,4.38,4426.9793
1777219200000,2026-04-26T16:00:00Z,1012.69,1015.06,1001.91,1009.85,124.96,126258.4774
1777305600000,2026-04-27T16:00:00Z,1009.85,1011.54,990.52,997.58,182.57,182850.2156
1777392000000,2026-04-28T16:00:00Z,997.58,997.8,986.37,990.85,86.01,85372.4611
1777478400000,2026-04-29T16:00:00Z,990.85,1016.78,990.42,1011.4,77.26,77692.6238
1777564800000,2026-04-30T16:00:00Z,1011.4,1030.88,1007.28,1021.21,128.32,130925.077
1777651200000,2026-05-01T16:00:00Z,1021.21,1021.5,1004.64,1010.03,78.49,79438.4485
1777737600000,2026-05-02T16:00:00Z,1010.03,1012.22,1009.35,1011.8,11.79,11916.9562
1777824000000,2026-05-03T16:00:00Z,1011.8,1024.46,1002.06,1015.32,148.21,149620.0513
1777910400000,2026-05-04T16:00:00Z,1015.32,1020.28,1007.95,1013.79,73.53,74541.3227
1777996800000,2026-05-05T16:00:00Z,1013.79,1020.7,992.07,997.14,170.88,172371.5549
1778083200000,2026-05-06T16:00:00Z,997.14,1002,991.87,998.14,106.29,105953.9915
1778169600000,2026-05-07T16:00:00Z,998.14,1015.29,997.6,1012.2,161.35,162733.2835
1778256000000,2026-05-08T16:00:00Z,1012.2,1015.29,1005.98,1011.71,96.37,97329.6375
1778342400000,2026-05-09T16:00:00Z,1011.71,1011.9,1009.49,1010.83,18.44,18634.6185
1778428800000,2026-05-10T16:00:00Z,1010.83,1012.49,985.79,990.9,255.77,256970.5008
1778515200000,2026-05-11T16:00:00Z,990.9,1024.01,989.04,1021.07,219.92,221103.1351
1778601600000,2026-05-12T16:00:00Z,1021.07,1042.38,1013.6,1027.56,343.14,352002.5684
1778688000000,2026-05-13T16:00:00Z,1027.56,1036.38,1023.47,1034.52,385.42,397192.064
1778774400000,2026-05-14T16:00:00Z,1034.52,1060.52,1033.28,1043.65,460.99,481997.7641
1778860800000,2026-05-15T16:00:00Z,1043.65,1051.6,1040.25,1048.99,259.11,271449.3706
1778947200000,2026-05-16T16:00:00Z,1048.99,1051.71,1047.51,1050.93,35.78,37560.3466
1779033600000,2026-05-17T16:00:00Z,1050.93,1070,1039.11,1064.62,477.68,504417.2481
1779120000000,2026-05-18T16:00:00Z,1064.62,1096.01,1062.2,1094.87,246.58,266315.8575
1779206400000,2026-05-19T16:00:00Z,1094.87,1096,1075,1086.92,356.75,388931.085
1779292800000,2026-05-20T16:00:00Z,1086.92,1087.94,1040.86,1047,227.8,240771.8538
1779379200000,2026-05-21T16:00:00Z,1047,1054.08,1027.21,1032.84,123.47,129038.753
1779465600000,2026-05-22T16:00:00Z,1032.84,1034.52,1027.26,1033.93,58.71,60577.7667
1779552000000,2026-05-23T16:00:00Z,1033.93,1038.5,1030.91,1031.03,37.47,38773.2677
1779638400000,2026-05-24T16:00:00Z,1031.03,1037.65,1027.84,1027.99,29.45,30306.7261
1779724800000,2026-05-25T16:00:00Z,1027.99,1035.93,997.83,1004.34,422.44,425459.2548
1779811200000,2026-05-26T16:00:00Z,1004.34,1014.53,997.79,1011.88,183.56,184846.2804
1779897600000,2026-05-27T16:00:00Z,1011.88,1013.99,998.2,1002.08,35.79,36115.9735
1779984000000,2026-05-28T16:00:00Z,1002.08,1005.43,947.62,951.82,242.98,236381.3194
