ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1779984000000,2026-05-28T16:00:00Z,441.66,445.66,402.09,408.1,6080.23,2586317.826
1780070400000,2026-05-29T16:00:00Z,408.1,434.95,405.01,426.99,2661.43,1123376.3655
1780156800000,2026-05-30T16:00:00Z,426.99,442.79,424,435.7,1978.99,864923.385
1780243200000,2026-05-31T16:00:00Z,435.7,466.66,425,456.32,5188.5,2314463.9209
1780329600000,2026-06-01T16:00:00Z,456.32,491.52,442.54,445.01,8523,4015486.3586
1780416000000,2026-06-02T16:00:00Z,445.01,450.19,407.11,415.93,7601.31,3263403.4881
1780502400000,2026-06-03T16:00:00Z,415.93,426.53,395.19,414.66,4256.44,1749804.529
1780588800000,2026-06-04T16:00:00Z,414.66,431.32,398.52,404.47,3844.16,1580827.2798
1780675200000,2026-06-05T16:00:00Z,404.47,404.98,381.19,385.45,2864.6,1117717.2378
1780761600000,2026-06-06T16:00:00Z,385.45,402.76,384.3,399.52,1581.67,625229.7087
1780848000000,2026-06-07T16:00:00Z,399.52,406.13,387.39,403.42,6281.83,2479630.6184
1780934400000,2026-06-08T16:00:00Z,403.42,408.42,372.1,372.46,8345,3313845.1938
1781020800000,2026-06-09T16:00:00Z,372.46,398.79,357.21,387.33,29663.78,11160604.4629
1781107200000,2026-06-10T16:00:00Z,387.33,388,358.56,378.51,27692.27,10299447.7993
1781193600000,2026-06-11T16:00:00Z,378.51,408.99,377.44,397.6,18872.41,7431728.3154
1781280000000,2026-06-12T16:00:00Z,397.6,403.34,394.7,395.76,1381.23,552253.1213
1781366400000,2026-06-13T16:00:00Z,395.76,395.8,388.99,393.35,1131.7,443662.6515
1781452800000,2026-06-14T16:00:00Z,393.35,415.97,391.61,410.52,7974.25,3261582.4822
1781539200000,2026-06-15T16:00:00Z,410.52,421.94,400.88,408.03,6918,2836483.9743
1781625600000,2026-06-16T16:00:00Z,408.03,420.12,395.01,418.92,6508.96,2659631.3475
1781712000000,2026-06-17T16:00:00Z,418.92,436.11,416.44,424,8268.31,3533263.3795
1781798400000,2026-06-18T16:00:00Z,424,429.39,408.14,409.92,5946.94,2460473.5591
1781884800000,2026-06-19T16:00:00Z,409.92,412.75,406.48,409.62,1964.05,804525.1428
1781971200000,2026-06-20T16:00:00Z,409.62,410.87,406.06,406.07,1109.75,452976.0532
1782057600000,2026-06-21T16:00:00Z,406.07,444.24,401.94,422.9,8614.52,3617519.1355
1782144000000,2026-06-22T16:00:00Z,422.9,426.55,391.47,425.8,9658.22,3954626.2617
1782230400000,2026-06-23T16:00:00Z,425.8,440.45,418.7,434.63,12381.23,5329773.0394
1782316800000,2026-06-24T16:00:00Z,434.63,444.59,391.45,407.25,16706.89,7026048.352
1782403200000,2026-06-25T16:00:00Z,407.25,414.25,386.77,387.55,14165.85,5656633.0873
1782489600000,2026-06-26T16:00:00Z,387.55,398.9,385.87,396.26,4350.6,1703633.8716
1782576000000,2026-06-27T16:00:00Z,396.26,396.53,392.45,392.79,303.67,119545.4682
1782662400000,2026-06-28T16:00:00Z,392.79,403.83,379.07,395.51,8094.49,3192324.2631
1782748800000,2026-06-29T16:00:00Z,395.51,433.53,392.35,422.41,13632.85,5691625.0613
1782835200000,2026-06-30T16:00:00Z,422.41,435.2,411.63,432.68,8607.92,3665681.612
1782921600000,2026-07-01T16:00:00Z,432.68,438.72,394.57,396.57,16254.28,6812558.8398
1783008000000,2026-07-02T16:00:00Z,396.57,397.27,386.7,396.25,3242.07,1272806.5875
