ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1781452800000,2026-06-14T16:00:00Z,29.003,29.205,28.86,28.885,61.71,1796.04863
1781539200000,2026-06-15T16:00:00Z,28.885,29.624,28.239,28.669,7850.1,225675.41022
1781625600000,2026-06-16T16:00:00Z,28.669,29.128,27.433,27.58,5937.35,167538.49794
1781712000000,2026-06-17T16:00:00Z,27.58,27.775,25.481,26.322,16390.73,431613.97083
1781798400000,2026-06-18T16:00:00Z,26.322,26.642,26.054,26.477,8751.44,230462.07876
1781884800000,2026-06-19T16:00:00Z,26.477,26.605,26.288,26.605,5902.5,156167.36888
1781971200000,2026-06-20T16:00:00Z,26.605,26.74,26.561,26.734,5859.17,156107.00286
1782057600000,2026-06-21T16:00:00Z,26.734,26.843,25.458,25.975,21838.79,571134.10207
1782144000000,2026-06-22T16:00:00Z,25.975,26.061,25.252,25.656,12464.41,319326.04871
1782230400000,2026-06-23T16:00:00Z,25.656,25.761,24.773,25.014,20437.82,514984.49024
1782316800000,2026-06-24T16:00:00Z,25.014,25.111,23.638,23.851,26627.41,656301.43932
1782403200000,2026-06-25T16:00:00Z,23.851,24.619,22.773,24.509,31422.06,745397.74103
1782489600000,2026-06-26T16:00:00Z,24.509,25.696,24.349,25.442,16856.07,423473.3498
1782576000000,2026-06-27T16:00:00Z,25.442,25.64,25.332,25.512,2033.87,51626.32501
1782662400000,2026-06-28T16:00:00Z,25.512,26.326,25.318,25.4,8960.58,230067.81739
1782748800000,2026-06-29T16:00:00Z,25.4,26.242,24.802,25.134,17783.37,454953.85431
1782835200000,2026-06-30T16:00:00Z,25.134,26.377,24.789,25.962,13950.26,354768.68048
1782921600000,2026-07-01T16:00:00Z,25.962,26.114,25.236,25.399,13026.21,334777.98196
1783008000000,2026-07-02T16:00:00Z,25.399,26.13,25.399,26.005,18348.23,474403.1494
1783094400000,2026-07-03T16:00:00Z,26.005,26.102,25.78,25.962,2163.24,56016.81495
1783180800000,2026-07-04T16:00:00Z,25.962,26.046,25.86,25.868,1809.18,46881.21218
1783267200000,2026-07-05T16:00:00Z,25.868,26.062,25.131,25.664,13896.85,357786.0626
1783353600000,2026-07-06T16:00:00Z,25.664,27.332,25.548,26.428,30526.1,805134.32111
1783440000000,2026-07-07T16:00:00Z,26.428,27.291,26.053,26.053,18504.35,491708.05349
1783526400000,2026-07-08T16:00:00Z,26.053,27.824,26.053,26.311,68180.54,1828613.32617
1783612800000,2026-07-09T16:00:00Z,26.311,27.326,26.143,26.578,36783.02,980448.76349
1783699200000,2026-07-10T16:00:00Z,26.578,26.624,26.318,26.538,10391.93,275441.73407
1783785600000,2026-07-11T16:00:00Z,26.538,26.624,26.331,26.364,8224.18,217949.00502
1783872000000,2026-07-12T16:00:00Z,26.364,27.41,26.293,27.125,18734.35,500941.97557
1783958400000,2026-07-13T16:00:00Z,27.125,27.514,25.316,25.413,44278.43,1168581.51997
1784044800000,2026-07-14T16:00:00Z,25.413,26.185,25.072,26.07,29738.03,757004.61797
1784131200000,2026-07-15T16:00:00Z,26.07,26.077,24.787,24.822,22659.15,570589.62621
1784217600000,2026-07-16T16:00:00Z,24.822,25.424,24.122,24.375,15745.5,388354.9996
1784304000000,2026-07-17T16:00:00Z,24.375,25.019,24.358,24.831,18641.29,462767.15755
1784390400000,2026-07-18T16:00:00Z,24.831,24.861,24.357,24.37,27256.96,668675.35347
1784476800000,2026-07-19T16:00:00Z,24.37,25.106,24.254,24.842,16275.7,400662.91864
1784563200000,2026-07-20T16:00:00Z,24.842,24.958,23.848,24.109,15489.44,375058.57132
1784649600000,2026-07-21T16:00:00Z,24.109,24.189,22.434,23.07,18777.34,436242.28417
1784736000000,2026-07-22T16:00:00Z,23.07,23.109,22.38,22.415,13452.48,307429.165
1784822400000,2026-07-23T16:00:00Z,22.415,23.329,22.415,23.031,7038.34,161563.76259
1784908800000,2026-07-24T16:00:00Z,23.031,23.276,22.914,23.207,21829.08,505676.54782
1784995200000,2026-07-25T16:00:00Z,23.207,23.234,23.079,23.166,6833.62,158180.46674
1785081600000,2026-07-26T16:00:00Z,23.166,24.564,23.115,24.435,5768.76,136314.23978
1785168000000,2026-07-27T16:00:00Z,24.435,24.696,23.888,24.375,7109.88,172443.93412
1785254400000,2026-07-28T16:00:00Z,24.375,24.884,24.144,24.393,4902.97,120206.07212
1785340800000,2026-07-29T16:00:00Z,24.393,24.798,23.398,23.536,3812.61,93055.18971
1785427200000,2026-07-30T16:00:00Z,23.536,24.336,23.332,23.432,4665.16,110854.83063
1785513600000,2026-07-31T16:00:00Z,23.432,23.794,23.371,23.556,4875.55,114861.95249
1785600000000,2026-08-01T16:00:00Z,23.556,23.61,23.367,23.397,2580.13,60504.3061
1785686400000,2026-08-02T16:00:00Z,23.397,23.917,23.147,23.546,4224.83,99568.4525
1785772800000,2026-08-03T16:00:00Z,23.546,23.836,23.122,23.77,2193.11,51464.1382
1785859200000,2026-08-04T16:00:00Z,23.77,23.952,22.056,22.056,13992.82,318542.69581
1785945600000,2026-08-05T16:00:00Z,22.056,22.087,21.28,21.462,7024.08,152889.41607
1786032000000,2026-08-06T16:00:00Z,21.462,23.888,20.66,23.818,21215.54,471714.85746
1786118400000,2026-08-07T16:00:00Z,23.818,24.827,23.151,24.6,12320.79,295444.38
1786204800000,2026-08-08T16:00:00Z,24.6,24.685,24.213,24.355,2611.99,63800.51219
1786291200000,2026-08-09T16:00:00Z,24.355,25.157,23.622,25.091,9226.2,226023.51629
1786377600000,2026-08-10T16:00:00Z,25.091,25.504,24.081,25.23,3620.44,88688.85353
1786464000000,2026-08-11T16:00:00Z,25.23,25.657,24.899,25.634,964.35,24379.8302
1786550400000,2026-08-12T16:00:00Z,25.634,25.88,25.248,25.374,1043.82,26686.01016
1786636800000,2026-08-13T16:00:00Z,25.374,26.275,25.09,26.11,1072.82,27427.37673
1786723200000,2026-08-14T16:00:00Z,26.11,26.563,25.966,26.261,2259.95,59441.12404
1786809600000,2026-08-15T16:00:00Z,26.261,26.407,26.191,26.335,553.89,14550.98983
1786896000000,2026-08-16T16:00:00Z,26.335,26.669,25.43,25.558,798.16,20869.32114
1786982400000,2026-08-17T16:00:00Z,25.558,25.754,24.721,25.071,1365.19,34583.73923
1787068800000,2026-08-18T16:00:00Z,25.071,25.137,23.938,24.842,8363.82,205229.10054
1787155200000,2026-08-19T16:00:00Z,24.842,26.143,24.583,24.669,28590.09,717915.05526
1787241600000,2026-08-20T16:00:00Z,24.669,26.053,24.65,25.789,4076.05,103392.12409
1787328000000,2026-08-21T16:00:00Z,25.789,26.298,25.722,26.129,2752.06,71505.83907
1787414400000,2026-08-22T16:00:00Z,26.129,26.274,25.983,26.124,286.41,7480.74992
1787500800000,2026-08-23T16:00:00Z,26.124,26.287,25.416,26.114,1226.88,31941.46243
1787587200000,2026-08-24T16:00:00Z,26.114,26.428,25.749,25.967,591.47,15336.58167
1787673600000,2026-08-25T16:00:00Z,25.967,26.012,24.695,24.695,545.17,13777.78693
1787760000000,2026-08-26T16:00:00Z,24.695,25.095,24.573,24.759,536.54,13328.93393
1787846400000,2026-08-27T16:00:00Z,24.759,24.759,24.105,24.304,751.6,18296.11287
1787932800000,2026-08-28T16:00:00Z,24.304,26.541,24.187,25.302,7160.98,181721.93441
1788019200000,2026-08-29T16:00:00Z,25.302,25.526,25.199,25.227,358.49,9066.32705
1788105600000,2026-08-30T16:00:00Z,25.227,25.39,24.1,24.791,2252.74,55712.57926
1788192000000,2026-08-31T16:00:00Z,24.791,24.921,23.421,23.827,2151.66,51981.08903
1788278400000,2026-09-01T16:00:00Z,23.827,24.899,23.391,24.362,1953.94,46674.1084
1788364800000,2026-09-02T16:00:00Z,24.362,24.901,24.163,24.305,2095.21,51403.46413
1788451200000,2026-09-03T16:00:00Z,24.305,24.568,23.498,23.666,1992.43,48204.64337
1788537600000,2026-09-04T16:00:00Z,23.666,24.277,23.666,24.253,915.05,22013.09228
1788624000000,2026-09-05T16:00:00Z,24.253,24.277,24.053,24.071,1441.99,34791.44353
1788710400000,2026-09-06T16:00:00Z,24.071,24.192,24.053,24.146,375.83,9069.62129
1788796800000,2026-09-07T16:00:00Z,24.146,24.297,23.433,23.505,3289.58,78707.11124
1788883200000,2026-09-08T16:00:00Z,23.505,24.032,23.171,23.289,5541.74,132343.48532
1788969600000,2026-09-09T16:00:00Z,23.289,23.961,23.289,23.679,1049.14,24866.13347
1789056000000,2026-09-10T16:00:00Z,23.679,24.482,23.532,24.474,2229.84,53079.41883
1789142400000,2026-09-11T16:00:00Z,24.474,24.847,24.229,24.468,6904.98,169792.97931
