ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1776182400000,2026-04-14T16:00:00Z,36.48,37.65,35.56,36.03,2828.71,102952.0587
1776268800000,2026-04-15T16:00:00Z,36.03,43.04,34.85,42.84,4113.03,157781.4962
1776355200000,2026-04-16T16:00:00Z,42.84,46.25,41.85,44.58,23407.43,1037633.9688
1776441600000,2026-04-17T16:00:00Z,44.58,45.03,43.09,43.96,1422.08,62370.7937
1776528000000,2026-04-18T16:00:00Z,43.96,44.15,43.39,43.57,1354.39,59110.2333
1776614400000,2026-04-19T16:00:00Z,43.57,46.37,42.68,43.76,10422.35,459036.0515
1776700800000,2026-04-20T16:00:00Z,43.76,44.83,42.13,43.36,20619.99,893691.9802
1776787200000,2026-04-21T16:00:00Z,43.36,45.55,41.42,41.92,44164.04,1906124.3708
1776873600000,2026-04-22T16:00:00Z,41.92,41.92,37.79,38.14,22843.83,917054.104
1776960000000,2026-04-23T16:00:00Z,38.14,39.4,35.7,36.52,31636.52,1193980.4555
1777046400000,2026-04-24T16:00:00Z,36.52,36.52,34.95,35.35,5481.76,194525.5181
1777132800000,2026-04-25T16:00:00Z,35.35,35.35,35.11,35.35,187.85,6626.5902
1777219200000,2026-04-26T16:00:00Z,35.35,35.95,33.27,33.4,32552.08,1130555.7354
1777305600000,2026-04-27T16:00:00Z,33.4,34.83,32.93,34.44,13110.52,444999.4284
1777392000000,2026-04-28T16:00:00Z,34.44,34.51,31.33,32.49,56626.83,1845426.3037
1777478400000,2026-04-29T16:00:00Z,32.49,34.86,32.45,34.7,81577.45,2741452.248
1777564800000,2026-04-30T16:00:00Z,34.7,35.43,32.61,33.92,57705.16,1972946.6988
1777651200000,2026-05-01T16:00:00Z,33.92,34.23,33.28,33.95,28120.36,947515.6157
1777737600000,2026-05-02T16:00:00Z,33.95,34,33.92,33.97,516.55,17543.8985
1777824000000,2026-05-03T16:00:00Z,33.97,34.93,32.46,33.54,14269.98,481730.6635
1777910400000,2026-05-04T16:00:00Z,33.54,39.33,31.46,32.01,100193.74,3454779.1519
1777996800000,2026-05-05T16:00:00Z,32.01,35.94,30.87,34.35,48806.68,1615254.5607
1778083200000,2026-05-06T16:00:00Z,34.35,35.57,32.73,32.74,22536.99,763844.7006
1778169600000,2026-05-07T16:00:00Z,32.74,39.31,31.82,37.66,85564.74,3118067.8829
1778256000000,2026-05-08T16:00:00Z,37.66,40.26,37.32,39.7,36939.56,1434072.7987
1778342400000,2026-05-09T16:00:00Z,39.7,39.73,39.39,39.71,1282.55,50803.4735
1778428800000,2026-05-10T16:00:00Z,39.71,39.72,36.85,38.71,19673.04,761314.0393
1778515200000,2026-05-11T16:00:00Z,38.71,40.33,35.79,37.13,79053.37,3011413.093
