ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1780848000000,2026-06-07T16:00:00Z,285.2,286.52,283.59,285.47,9.79,2796.097
1780934400000,2026-06-08T16:00:00Z,285.47,290.71,281.74,281.74,224.46,63986.8493
1781020800000,2026-06-09T16:00:00Z,281.74,289.09,277.15,285.25,987.1,282595.3329
1781107200000,2026-06-10T16:00:00Z,285.25,287.22,279.99,286.37,1651.7,470827.2565
1781193600000,2026-06-11T16:00:00Z,286.37,295.79,285.17,293.93,691.53,201497.8434
1781280000000,2026-06-12T16:00:00Z,293.93,295.61,289.37,292.63,164.2,48063.6219
1781366400000,2026-06-13T16:00:00Z,292.63,306.57,289.46,294.74,679.76,203110.8308
1781452800000,2026-06-14T16:00:00Z,294.74,299.8,294.53,296.04,232.76,69172.4936
1781539200000,2026-06-15T16:00:00Z,296.04,296.98,293.14,293.62,201.73,59516.7914
1781625600000,2026-06-16T16:00:00Z,293.62,295.5,291.44,295.46,231.18,67696.8455
1781712000000,2026-06-17T16:00:00Z,295.46,296.74,288.99,293.87,665.67,195155.1189
1781798400000,2026-06-18T16:00:00Z,293.87,299.8,290.67,296.23,421.09,124562.4423
1781884800000,2026-06-19T16:00:00Z,296.23,298.72,294.14,297.84,153.02,45335.7796
1781971200000,2026-06-20T16:00:00Z,297.84,298.06,293.31,293.93,69.91,20659.1165
1782057600000,2026-06-21T16:00:00Z,293.93,299.32,292.08,298.07,139.72,41422.1693
1782144000000,2026-06-22T16:00:00Z,298.07,299.44,292.29,296.65,1674.8,497703.9917
1782230400000,2026-06-23T16:00:00Z,296.65,299.72,293.95,299.13,337.63,100598.801
1782316800000,2026-06-24T16:00:00Z,299.13,301.46,295.45,298.46,578.36,172227.5225
1782403200000,2026-06-25T16:00:00Z,298.46,300.07,296.45,299.74,479.22,142986.0123
1782489600000,2026-06-26T16:00:00Z,299.74,301.04,296.8,298.77,446.3,133372.5799
1782576000000,2026-06-27T16:00:00Z,298.77,299.62,295.11,296.18,73.94,21931.8135
1782662400000,2026-06-28T16:00:00Z,296.18,300.29,294.41,296.28,1698.06,506936.506
1782748800000,2026-06-29T16:00:00Z,296.28,300.06,296.28,299.72,196.81,58747.2249
1782835200000,2026-06-30T16:00:00Z,299.72,302.73,298.68,302.04,206.22,61912.0177
1782921600000,2026-07-01T16:00:00Z,302.04,302.53,296.91,297.82,241.89,72452.2858
1783008000000,2026-07-02T16:00:00Z,297.82,306.2,295.17,301.23,497.13,149850.7855
1783094400000,2026-07-03T16:00:00Z,301.23,302.01,298.73,300.99,72.72,21874.5194
1783180800000,2026-07-04T16:00:00Z,300.99,301.4,298.62,298.83,99.35,29804.0012
1783267200000,2026-07-05T16:00:00Z,298.83,300.28,296.56,300.14,809.28,241236.5811
1783353600000,2026-07-06T16:00:00Z,300.14,300.42,295.12,296.64,124.98,37204.9208
1783440000000,2026-07-07T16:00:00Z,296.64,297.73,290.95,290.95,704.71,207950.6286
1783526400000,2026-07-08T16:00:00Z,290.95,297.67,290.95,297.26,175.69,51821.0624
1783612800000,2026-07-09T16:00:00Z,297.26,298.17,293.84,294.74,235.26,69862.5618
1783699200000,2026-07-10T16:00:00Z,294.74,296.8,294.74,295.98,291.09,86170.095
1783785600000,2026-07-11T16:00:00Z,295.98,297.88,295.46,297.77,144.38,42947.5412
1783872000000,2026-07-12T16:00:00Z,297.77,297.94,293.26,294.21,578.65,170267.243
1783958400000,2026-07-13T16:00:00Z,294.21,299.16,292.01,295.29,1206.98,356315.3693
1784044800000,2026-07-14T16:00:00Z,295.29,296.75,293.71,295.42,364.78,107509.1778
1784131200000,2026-07-15T16:00:00Z,295.42,297.68,294.07,296.51,538.59,159028.934
1784217600000,2026-07-16T16:00:00Z,296.51,296.6,291.82,294.24,139.66,41152.3208
1784304000000,2026-07-17T16:00:00Z,294.24,297.29,293.14,295.98,138.29,40852.8165
1784390400000,2026-07-18T16:00:00Z,295.98,298.16,294.45,294.89,307.75,91259.0278
1784476800000,2026-07-19T16:00:00Z,294.89,296.57,283.83,293.85,778.09,227222.7647
1784563200000,2026-07-20T16:00:00Z,293.85,295.37,291.94,295.37,172.64,50647.0152
1784649600000,2026-07-21T16:00:00Z,295.37,296.81,293.83,294.41,125.33,37051.7013
1784736000000,2026-07-22T16:00:00Z,294.41,295.28,290.31,290.99,220.49,64534.5106
1784822400000,2026-07-23T16:00:00Z,290.99,294.16,290.84,294.16,719.9,210569.3309
1784908800000,2026-07-24T16:00:00Z,294.16,294.17,290.75,291.58,90.73,26471.9541
1784995200000,2026-07-25T16:00:00Z,291.58,293,291.31,291.82,66.68,19485.827
1785081600000,2026-07-26T16:00:00Z,291.82,295.57,291.68,291.97,185.98,54585.1263
1785168000000,2026-07-27T16:00:00Z,291.97,293.95,291,293.64,117.12,34300.6118
1785254400000,2026-07-28T16:00:00Z,293.64,295.3,289.25,289.25,183.12,53687.4947
1785340800000,2026-07-29T16:00:00Z,289.25,293.97,287.37,290.9,132.4,38417.5367
1785427200000,2026-07-30T16:00:00Z,290.9,295,288.59,290.88,140.14,40822.8727
1785513600000,2026-07-31T16:00:00Z,290.88,292.29,288.21,289.42,297,85883.8661
1785600000000,2026-08-01T16:00:00Z,289.42,290.81,288.8,289.46,65.88,19072.812
1785686400000,2026-08-02T16:00:00Z,289.46,296.73,289.4,296.5,415.94,121811.3294
1785772800000,2026-08-03T16:00:00Z,296.5,301.12,295.31,301.08,63.65,18972.8951
1785859200000,2026-08-04T16:00:00Z,301.08,303.71,300.59,300.59,153.3,46360.9696
1785945600000,2026-08-05T16:00:00Z,300.59,301.86,299.45,300.32,58.8,17669.7339
1786032000000,2026-08-06T16:00:00Z,300.32,301.82,297.91,301.43,93.38,28027.3695
1786118400000,2026-08-07T16:00:00Z,301.43,303.35,300.98,301.91,44.05,13298.7163
1786204800000,2026-08-08T16:00:00Z,301.91,302.61,300.88,301.29,38.46,11602.8713
1786291200000,2026-08-09T16:00:00Z,301.29,303.19,300.37,300.73,208.66,62981.2102
1786377600000,2026-08-10T16:00:00Z,300.73,302.26,299.67,301.31,49.54,14894.0397
1786464000000,2026-08-11T16:00:00Z,301.31,303.51,300.87,302.71,86.65,26180.1114
1786550400000,2026-08-12T16:00:00Z,302.71,305.75,301.94,303.3,108.97,33139.501
1786636800000,2026-08-13T16:00:00Z,303.3,305.11,302.92,304.4,505.57,153780.304
1786723200000,2026-08-14T16:00:00Z,304.4,306.97,304.21,304.76,132.3,40416.9223
1786809600000,2026-08-15T16:00:00Z,304.76,306.07,304.22,305.17,50.02,15249.0553
1786896000000,2026-08-16T16:00:00Z,305.17,305.96,303.62,304.69,76.26,23243.6333
1786982400000,2026-08-17T16:00:00Z,304.69,304.96,301.15,301.2,863.26,262335.7554
1787068800000,2026-08-18T16:00:00Z,301.2,303.98,300.01,302.97,162.53,48975.8904
1787155200000,2026-08-19T16:00:00Z,302.97,303.04,298.04,298.04,54.34,16325.3721
1787241600000,2026-08-20T16:00:00Z,298.04,300.62,297.32,300.06,127.32,38045.9224
1787328000000,2026-08-21T16:00:00Z,300.06,302.82,299.34,302.72,128.81,38901.5474
1787414400000,2026-08-22T16:00:00Z,302.72,303.09,301.35,302.73,30.88,9345.5857
1787500800000,2026-08-23T16:00:00Z,302.73,303.14,298.57,298.9,269.34,80993.6016
1787587200000,2026-08-24T16:00:00Z,298.9,301.29,297.66,298.89,48.11,14397.1964
1787673600000,2026-08-25T16:00:00Z,298.89,300.16,298.3,298.63,16.76,5016.1334
1787760000000,2026-08-26T16:00:00Z,298.63,300.64,298.2,300.28,251.9,75426.4902
1787846400000,2026-08-27T16:00:00Z,300.28,300.91,297.08,297.08,103.37,31053.7422
1787932800000,2026-08-28T16:00:00Z,297.08,297.26,295.3,296.03,159.76,47288.0453
1788019200000,2026-08-29T16:00:00Z,296.03,297.16,295.36,296.94,34.36,10175.3886
1788105600000,2026-08-30T16:00:00Z,296.94,296.95,293.15,293.23,590.66,174478.4177
1788192000000,2026-08-31T16:00:00Z,293.23,295.04,291.56,292.3,142.17,41784.5059
1788278400000,2026-09-01T16:00:00Z,292.3,294.33,289.64,293.83,135.45,39452.6885
1788364800000,2026-09-02T16:00:00Z,293.83,296.6,293.06,295.31,40.61,11953.1538
1788451200000,2026-09-03T16:00:00Z,295.31,296.28,293.33,295.76,230.57,68149.5502
1788537600000,2026-09-04T16:00:00Z,295.76,296.81,294.82,296.24,23.62,6989.5491
1788624000000,2026-09-05T16:00:00Z,296.24,296.86,294.92,296.34,22.27,6593.6907
1788710400000,2026-09-06T16:00:00Z,296.34,296.92,293.82,294.46,868.15,256125.6596
1788796800000,2026-09-07T16:00:00Z,294.46,296.93,294.11,295.77,134.48,39711.2286
1788883200000,2026-09-08T16:00:00Z,295.77,296.49,291.39,291.52,91.35,26943.098
1788969600000,2026-09-09T16:00:00Z,291.52,292.36,288.41,288.41,60.17,17468.4865
1789056000000,2026-09-10T16:00:00Z,288.41,291.94,287.43,290.34,167.92,48493.0827
1789142400000,2026-09-11T16:00:00Z,290.34,290.34,288.92,289.35,25.86,7487.5248
