ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1783267200000,2026-07-05T16:00:00Z,2.0681,2.1812,2.0216,2.1812,681.54,1444.056903
1783353600000,2026-07-06T16:00:00Z,2.1812,2.3019,1.9914,2.1189,682827.37,1457448.479077
1783440000000,2026-07-07T16:00:00Z,2.1189,2.2694,1.769,1.8209,473904.28,908400.84518
1783526400000,2026-07-08T16:00:00Z,1.8209,1.9669,1.8125,1.9147,436029.52,825917.690364
1783612800000,2026-07-09T16:00:00Z,1.9147,2.0798,1.8374,1.8637,730565.22,1412850.404879
1783699200000,2026-07-10T16:00:00Z,1.8637,1.8999,1.8291,1.8696,57069.33,106982.193768
1783785600000,2026-07-11T16:00:00Z,1.8696,1.8938,1.8644,1.8871,26099.83,49108.194535
1783872000000,2026-07-12T16:00:00Z,1.8871,1.8921,1.6698,1.7857,471700.32,854113.040313
1783958400000,2026-07-13T16:00:00Z,1.7857,1.9859,1.7227,1.9555,374455.14,689396.487541
1784044800000,2026-07-14T16:00:00Z,1.9555,2.1589,1.887,1.9974,236214.59,473719.183929
1784131200000,2026-07-15T16:00:00Z,1.9974,2.0331,1.8164,1.8601,467975.07,907166.650747
1784217600000,2026-07-16T16:00:00Z,1.8601,1.8901,1.6695,1.8284,522103.08,906920.253416
1784304000000,2026-07-17T16:00:00Z,1.8284,2.0333,1.8083,1.897,111951.37,210132.359433
1784390400000,2026-07-18T16:00:00Z,1.897,1.979,1.8901,1.942,22252.89,42816.141396
1784476800000,2026-07-19T16:00:00Z,1.942,2.0367,1.8329,2.0367,209202.57,394023.027359
1784563200000,2026-07-20T16:00:00Z,2.0367,2.2485,1.9552,2.1706,589140.31,1232984.294436
1784649600000,2026-07-21T16:00:00Z,2.1706,2.1727,1.981,2.0427,682242.48,1439256.736544
1784736000000,2026-07-22T16:00:00Z,2.0427,2.0804,1.7616,1.7819,315000.29,635405.924036
1784822400000,2026-07-23T16:00:00Z,1.7819,1.8651,1.6578,1.7611,363451.55,655928.463737
1784908800000,2026-07-24T16:00:00Z,1.7611,1.7961,1.6898,1.7103,18694.4,32221.544586
1784995200000,2026-07-25T16:00:00Z,1.7103,1.7752,1.7103,1.7752,58836.57,102555.849756
1785081600000,2026-07-26T16:00:00Z,1.7752,1.9732,1.7687,1.8919,210039,386249.401389
1785168000000,2026-07-27T16:00:00Z,1.8919,1.9998,1.7534,1.9363,223142.23,417958.20213
1785254400000,2026-07-28T16:00:00Z,1.9363,1.9636,1.8263,1.8263,110671.22,211386.911094
1785340800000,2026-07-29T16:00:00Z,1.8263,2.014,1.722,1.8667,482309.95,887037.661877
1785427200000,2026-07-30T16:00:00Z,1.8667,1.9741,1.6058,1.687,750462.58,1327150.806366
1785513600000,2026-07-31T16:00:00Z,1.687,1.8278,1.687,1.765,114354.55,201406.962732
1785600000000,2026-08-01T16:00:00Z,1.765,1.7764,1.7001,1.7399,38501.04,67491.593093
1785686400000,2026-08-02T16:00:00Z,1.7399,1.8433,1.6896,1.8099,50588.94,88181.98986
1785772800000,2026-08-03T16:00:00Z,1.8099,1.8734,1.7388,1.8714,49223.16,88320.642609
1785859200000,2026-08-04T16:00:00Z,1.8714,1.98,1.8402,1.87,45715.36,87405.474677
1785945600000,2026-08-05T16:00:00Z,1.87,1.9627,1.8377,1.8976,37627.93,71389.599272
1786032000000,2026-08-06T16:00:00Z,1.8976,2.2,1.84,2.0678,188836.24,385759.861883
1786118400000,2026-08-07T16:00:00Z,2.0678,2.0867,1.89,2.03,58285.41,114616.825353
1786204800000,2026-08-08T16:00:00Z,2.03,2.0862,2.03,2.0808,72987.6,150283.974695
1786291200000,2026-08-09T16:00:00Z,2.0808,2.0865,1.8797,1.9005,213915.45,434210.64223
1786377600000,2026-08-10T16:00:00Z,1.9005,1.9664,1.8277,1.8384,70032.67,132469.875937
1786464000000,2026-08-11T16:00:00Z,1.8384,1.9222,1.7818,1.8047,62837.86,117758.190126
1786550400000,2026-08-12T16:00:00Z,1.8047,1.9593,1.7633,1.8319,36839.15,68180.862008
1786636800000,2026-08-13T16:00:00Z,1.8319,1.9205,1.6815,1.7326,216440.47,392110.580447
1786723200000,2026-08-14T16:00:00Z,1.7326,1.7822,1.6759,1.754,16662.8,28929.804106
1786809600000,2026-08-15T16:00:00Z,1.754,1.8027,1.7357,1.7669,7607.29,13503.33553
1786896000000,2026-08-16T16:00:00Z,1.7669,1.928,1.725,1.9066,68581.39,121285.877307
1786982400000,2026-08-17T16:00:00Z,1.9066,1.9158,1.7437,1.8027,700468.64,1306314.168721
1787068800000,2026-08-18T16:00:00Z,1.8027,2.1543,1.6819,2.1168,130437.27,236093.456101
1787155200000,2026-08-19T16:00:00Z,2.1168,2.6258,2.037,2.464,829181.16,1996537.343718
1787241600000,2026-08-20T16:00:00Z,2.464,3.0869,2.354,2.7697,1404836.66,3791822.043878
1787328000000,2026-08-21T16:00:00Z,2.7697,2.9694,2.6839,2.8103,245819.81,681627.826724
1787414400000,2026-08-22T16:00:00Z,2.8103,2.8785,2.6786,2.7663,174353.7,478115.973603
1787500800000,2026-08-23T16:00:00Z,2.7663,31.246,2.7339,29.8594,334350.11,7883721.468959
1787587200000,2026-08-24T16:00:00Z,29.8594,32.1142,26.6409,30.8743,298873.58,8770924.027174
1787673600000,2026-08-25T16:00:00Z,30.8743,31.5,27.5001,28.0445,66933.3,1995160.383544
1787760000000,2026-08-26T16:00:00Z,28.0445,35.9992,27.8003,35.3575,71313.15,2248838.769811
1787846400000,2026-08-27T16:00:00Z,35.3575,38.2413,30.5601,30.6008,77008,2706970.186743
1787932800000,2026-08-28T16:00:00Z,30.6008,30.9838,29.6551,30.3987,22123.57,669682.112808
1788019200000,2026-08-29T16:00:00Z,30.3987,32.265,30.2728,32.04,13458.87,422373.920861
