ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1781452800000,2026-06-14T16:00:00Z,45.544,45.609,45.356,45.485,231.53,10536.05011
1781539200000,2026-06-15T16:00:00Z,45.485,46.109,44.818,45.595,538.87,24457.53753
1781625600000,2026-06-16T16:00:00Z,45.595,46.133,44.16,45.457,2199.17,99629.83105
1781712000000,2026-06-17T16:00:00Z,45.457,45.762,43.958,45.358,3480.77,156591.20976
1781798400000,2026-06-18T16:00:00Z,45.358,45.568,44.866,45.313,853.69,38539.25197
1781884800000,2026-06-19T16:00:00Z,45.313,45.445,44.98,45.398,266.45,12072.56711
1781971200000,2026-06-20T16:00:00Z,45.398,45.439,44.803,45.385,241.92,10967.13701
1782057600000,2026-06-21T16:00:00Z,45.385,45.472,43.476,43.644,1629.54,73057.71343
1782144000000,2026-06-22T16:00:00Z,43.644,43.725,42.182,42.567,7218.62,310087.56652
1782230400000,2026-06-23T16:00:00Z,42.567,43.44,41.355,41.863,6409.75,269572.60558
1782316800000,2026-06-24T16:00:00Z,41.863,42.254,40.815,41.267,1648.28,68627.53651
1782403200000,2026-06-25T16:00:00Z,41.267,41.364,40.042,41.14,8457.51,344922.94676
1782489600000,2026-06-26T16:00:00Z,41.14,41.61,40.256,41.012,1336.42,54538.67613
1782576000000,2026-06-27T16:00:00Z,41.012,41.033,40.907,41.033,113.2,4637.36834
1782662400000,2026-06-28T16:00:00Z,41.033,41.613,40.841,41.354,1292.14,53107.79098
1782748800000,2026-06-29T16:00:00Z,41.354,41.862,40.938,41.058,3750.73,155545.72116
1782835200000,2026-06-30T16:00:00Z,41.058,43.754,37.128,42.867,61983.92,2517685.55865
1782921600000,2026-07-01T16:00:00Z,42.867,45.016,41.852,44.167,10344.11,445856.42991
1783008000000,2026-07-02T16:00:00Z,44.167,44.625,43.601,43.975,1411.38,61889.22113
1783094400000,2026-07-03T16:00:00Z,43.975,44.144,43.756,43.948,241.98,10640.05043
1783180800000,2026-07-04T16:00:00Z,43.948,43.95,43.921,43.931,109.82,4824.36181
1783267200000,2026-07-05T16:00:00Z,43.931,44.278,42.071,42.573,4197.84,183275.46522
1783353600000,2026-07-06T16:00:00Z,42.573,44.031,42.573,43.076,867.2,37616.9172
1783440000000,2026-07-07T16:00:00Z,43.076,43.256,42.048,42.389,2143.49,91378.91028
1783526400000,2026-07-08T16:00:00Z,42.389,43.202,42.192,42.977,3038.62,129684.73204
1783612800000,2026-07-09T16:00:00Z,42.977,44.557,41.608,44.457,6160.35,265548.81697
1783699200000,2026-07-10T16:00:00Z,44.457,44.6,44.212,44.323,463.14,20581.3345
1783785600000,2026-07-11T16:00:00Z,44.323,44.36,44.29,44.347,105.96,4696.68645
1783872000000,2026-07-12T16:00:00Z,44.347,44.738,44.127,44.127,4082.38,181338.14164
1783958400000,2026-07-13T16:00:00Z,44.127,44.367,42.48,42.896,6086.52,264658.3268
1784044800000,2026-07-14T16:00:00Z,42.896,43.553,42.447,43.248,3749.63,161546.87245
1784131200000,2026-07-15T16:00:00Z,43.248,44.363,42.606,44.196,3578.04,155369.32089
1784217600000,2026-07-16T16:00:00Z,44.196,45.354,43.79,43.871,3930.01,174609.13791
1784304000000,2026-07-17T16:00:00Z,43.871,43.92,43.307,43.643,1264.72,55333.17809
1784390400000,2026-07-18T16:00:00Z,43.643,43.922,43.623,43.86,378.37,16538.69267
1784476800000,2026-07-19T16:00:00Z,43.86,44.234,42.824,43.163,1594.42,68811.95772
1784563200000,2026-07-20T16:00:00Z,43.163,43.898,42.669,43.023,1856.47,80526.99133
1784649600000,2026-07-21T16:00:00Z,43.023,43.645,41.565,42.118,5278.45,224189.64083
1784736000000,2026-07-22T16:00:00Z,42.118,42.33,40.905,40.905,2500.74,104508.92213
1784822400000,2026-07-23T16:00:00Z,40.905,42.08,40.677,41.69,2544.42,104537.45979
1784908800000,2026-07-24T16:00:00Z,41.69,42.044,41.392,41.553,1867.23,77866.56086
1784995200000,2026-07-25T16:00:00Z,41.553,41.692,41.422,41.422,1739.6,72227.85145
1785081600000,2026-07-26T16:00:00Z,41.422,42.64,41.422,41.95,3401.84,142623.72913
1785168000000,2026-07-27T16:00:00Z,41.95,43.299,41.827,43.163,1592.69,67237.09955
1785254400000,2026-07-28T16:00:00Z,43.163,43.3,42.29,42.688,1418.46,60757.54526
1785340800000,2026-07-29T16:00:00Z,42.688,43.58,41.247,41.785,4154.7,177455.5043
1785427200000,2026-07-30T16:00:00Z,41.785,43.406,41.535,41.701,879.14,37077.96424
1785513600000,2026-07-31T16:00:00Z,41.701,41.989,41.567,41.66,276.69,11560.20937
1785600000000,2026-08-01T16:00:00Z,41.66,41.836,41.651,41.667,105.07,4387.04985
1785686400000,2026-08-02T16:00:00Z,41.667,43.119,41.661,42.121,903.99,38034.5419
1785772800000,2026-08-03T16:00:00Z,42.121,42.81,40.965,42.083,2799.75,116999.63965
1785859200000,2026-08-04T16:00:00Z,42.083,42.083,41.452,41.698,903.46,37786.5947
1785945600000,2026-08-05T16:00:00Z,41.698,43.05,41.672,42.208,1406.64,59578.76071
1786032000000,2026-08-06T16:00:00Z,42.208,42.47,41.9,41.991,241.19,10166.65728
1786118400000,2026-08-07T16:00:00Z,41.991,42.117,41.675,41.797,480.14,20081.1293
