ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784476800000,2026-07-19T16:00:00Z,30.909,31.407,30.909,31.282,304.5,9507.12008
1784563200000,2026-07-20T16:00:00Z,31.282,31.985,30.18,31.279,8744.31,270770.27447
1784649600000,2026-07-21T16:00:00Z,31.279,33.553,30.849,33.5,8611.61,271240.05665
1784736000000,2026-07-22T16:00:00Z,33.5,33.838,31.314,31.788,10060.33,331269.78136
1784822400000,2026-07-23T16:00:00Z,31.788,32.578,31.129,32.431,11714.42,371221.16596
1784908800000,2026-07-24T16:00:00Z,32.431,32.923,30.841,31.314,3768.97,119159.11709
1784995200000,2026-07-25T16:00:00Z,31.314,31.743,31.302,31.743,3182.32,100400.30938
1785081600000,2026-07-26T16:00:00Z,31.743,32.449,28.168,28.628,10398.65,325167.01015
1785168000000,2026-07-27T16:00:00Z,28.628,28.94,27.082,28.827,18157.25,509840.2143
1785254400000,2026-07-28T16:00:00Z,28.827,28.984,26.726,27.053,28617.55,814840.00213
1785340800000,2026-07-29T16:00:00Z,27.053,28.401,26.089,27.301,8037.23,218499.19696
1785427200000,2026-07-30T16:00:00Z,27.301,29.131,27.183,28.176,8055.92,227307.57062
1785513600000,2026-07-31T16:00:00Z,28.176,29.759,28.143,29.034,7827.75,227790.61804
1785600000000,2026-08-01T16:00:00Z,29.034,29.287,28.896,29.123,1391.79,40422.35627
1785686400000,2026-08-02T16:00:00Z,29.123,31.439,28.525,31.337,15723.92,472779.32181
1785772800000,2026-08-03T16:00:00Z,31.337,32.798,30.764,32.444,14535.08,461785.24796
1785859200000,2026-08-04T16:00:00Z,32.444,35.883,31.636,35.093,17670.45,605752.64962
1785945600000,2026-08-05T16:00:00Z,35.093,36.414,34.5,34.553,11462.37,405948.88762
1786032000000,2026-08-06T16:00:00Z,34.553,36.686,34.548,36.38,20104,718767.23529
1786118400000,2026-08-07T16:00:00Z,36.38,36.522,35.705,36.513,3277.95,118403.26378
1786204800000,2026-08-08T16:00:00Z,36.513,36.678,36.293,36.375,3096.76,113197.40492
1786291200000,2026-08-09T16:00:00Z,36.375,36.975,34.839,35.069,7270.74,264179.15629
1786377600000,2026-08-10T16:00:00Z,35.069,35.818,34.238,34.627,23002.83,801609.57272
1786464000000,2026-08-11T16:00:00Z,34.627,36.491,33.928,36.044,14124.79,492884.48012
1786550400000,2026-08-12T16:00:00Z,36.044,37.31,35.81,36.408,9012.16,328049.43978
1786636800000,2026-08-13T16:00:00Z,36.408,37.261,36.371,36.64,4680.26,172261.69976
1786723200000,2026-08-14T16:00:00Z,36.64,36.874,36.395,36.452,1865.9,68367.49572
1786809600000,2026-08-15T16:00:00Z,36.452,36.489,36.424,36.474,474.35,17299.22312
1786896000000,2026-08-16T16:00:00Z,36.474,37.369,36.454,37.357,9170.85,339566.81721
1786982400000,2026-08-17T16:00:00Z,37.357,37.357,34.479,34.999,5368.37,193852.35354
1787068800000,2026-08-18T16:00:00Z,34.999,35.677,34.03,34.72,8495.5,295695.28316
1787155200000,2026-08-19T16:00:00Z,34.72,35.068,33.614,33.747,8553.05,294650.00442
1787241600000,2026-08-20T16:00:00Z,33.747,34.477,32.831,33.832,4806.03,163032.76805
1787328000000,2026-08-21T16:00:00Z,33.832,33.874,33.279,33.517,2408.09,80765.58945
1787414400000,2026-08-22T16:00:00Z,33.517,34.395,33.279,34.304,14588.76,490656.13791
1787500800000,2026-08-23T16:00:00Z,34.304,34.552,31.555,32.089,15065,502217.46246
1787587200000,2026-08-24T16:00:00Z,32.089,33.225,31.165,32.309,4605.43,146914.7318
1787673600000,2026-08-25T16:00:00Z,32.309,33.028,31.86,32.051,7371.83,239551.02403
1787760000000,2026-08-26T16:00:00Z,32.051,36.987,29.882,36.667,14529.27,488650.57317
1787846400000,2026-08-27T16:00:00Z,36.667,38.001,34.953,34.953,3910.78,144323.21562
1787932800000,2026-08-28T16:00:00Z,34.953,35.033,33.585,34.284,1610.65,54882.39243
1788019200000,2026-08-29T16:00:00Z,34.284,34.428,34.151,34.28,164.49,5638.34076
1788105600000,2026-08-30T16:00:00Z,34.28,34.719,33.249,34.4,14580.37,497757.30244
1788192000000,2026-08-31T16:00:00Z,34.4,34.882,32.94,34.489,1416.46,48358.55375
1788278400000,2026-09-01T16:00:00Z,34.489,36.844,33.336,36.819,14939.86,508650.44071
1788364800000,2026-09-02T16:00:00Z,36.819,37.194,35.401,36.671,5310.99,191606.51231
1788451200000,2026-09-03T16:00:00Z,36.671,39.115,36.531,37.89,3035.45,114324.34449
1788537600000,2026-09-04T16:00:00Z,37.89,38.277,37.323,37.793,4046.01,151606.6848
1788624000000,2026-09-05T16:00:00Z,37.793,37.89,37.704,37.878,260.84,9870.43478
1788710400000,2026-09-06T16:00:00Z,37.878,38.344,37.874,38.238,9549.93,363579.73886
1788796800000,2026-09-07T16:00:00Z,38.238,38.805,36.538,36.57,8093.46,306919.27082
1788883200000,2026-09-08T16:00:00Z,36.57,36.578,35.637,35.717,4694.31,170189.88165
1788969600000,2026-09-09T16:00:00Z,35.717,35.883,33.535,34.064,2784.33,98077.62117
1789056000000,2026-09-10T16:00:00Z,34.064,34.886,33.611,34.245,6609.31,225244.14036
1789142400000,2026-09-11T16:00:00Z,34.245,34.341,33.755,34.024,1619.67,55053.30151
