ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1782662400000,2026-06-28T16:00:00Z,77.12,77.34,75.76,76.44,148.82,11375.7871
1782748800000,2026-06-29T16:00:00Z,76.44,77.66,74.5,76.29,434.67,33329.2432
1782835200000,2026-06-30T16:00:00Z,76.29,82.32,75.81,82.03,1606.26,128686.1968
1782921600000,2026-07-01T16:00:00Z,82.03,83.3,80.25,82.79,882.67,72296.1947
1783008000000,2026-07-02T16:00:00Z,82.79,83.16,81.91,82.47,621.52,51235.3682
1783094400000,2026-07-03T16:00:00Z,82.47,82.98,82.39,82.89,89.05,7361.6364
1783180800000,2026-07-04T16:00:00Z,82.89,82.99,82.57,82.76,71.02,5877.6759
1783267200000,2026-07-05T16:00:00Z,82.76,85,82.1,84.63,1514.27,126281.8001
1783353600000,2026-07-06T16:00:00Z,84.63,84.74,82.38,82.39,1149.42,95853.9925
1783440000000,2026-07-07T16:00:00Z,82.39,85.25,82.17,84.45,1391.02,117209.0763
1783526400000,2026-07-08T16:00:00Z,84.45,85.65,82.4,85.61,1037.38,87495.3145
1783612800000,2026-07-09T16:00:00Z,85.61,87.75,85.11,86.15,1247.55,107742.0945
1783699200000,2026-07-10T16:00:00Z,86.15,86.15,84.76,85.15,91.71,7820.0593
1783785600000,2026-07-11T16:00:00Z,85.15,85.21,85.06,85.06,70.56,6005.6695
1783872000000,2026-07-12T16:00:00Z,85.06,85.81,83.13,84.67,349.32,29505.4913
1783958400000,2026-07-13T16:00:00Z,84.67,86.04,82.83,84.31,541.22,45670.7112
1784044800000,2026-07-14T16:00:00Z,84.31,87.16,83.51,86.73,1420.32,121200.2404
1784131200000,2026-07-15T16:00:00Z,86.73,88.07,85.13,86.84,669.16,57913.0893
1784217600000,2026-07-16T16:00:00Z,86.84,87.51,83.33,83.79,870.11,73798.345
1784304000000,2026-07-17T16:00:00Z,83.79,84.76,83.4,84.53,403.73,34042.5743
1784390400000,2026-07-18T16:00:00Z,84.53,84.58,83.92,84.36,140.38,11795.3519
1784476800000,2026-07-19T16:00:00Z,84.36,86.41,83.98,86.41,548.61,46663.86
1784563200000,2026-07-20T16:00:00Z,86.41,87.12,84.72,84.74,898.09,77341.0416
1784649600000,2026-07-21T16:00:00Z,84.74,85.6,83.12,83.6,440.52,36963.0005
1784736000000,2026-07-22T16:00:00Z,83.6,84.71,82.13,82.19,1068.05,89360.2266
1784822400000,2026-07-23T16:00:00Z,82.19,83.55,82.13,82.73,720.95,59681.6468
1784908800000,2026-07-24T16:00:00Z,82.73,83.09,82.54,82.82,174.99,14480.49
1784995200000,2026-07-25T16:00:00Z,82.82,83.1,82.82,83.09,253.01,21000.415
1785081600000,2026-07-26T16:00:00Z,83.09,85.77,82.92,85.1,917.62,77288.1616
1785168000000,2026-07-27T16:00:00Z,85.1,86.59,83.84,85.56,2019.09,172079.4898
1785254400000,2026-07-28T16:00:00Z,85.56,88.21,85.05,88.21,499.94,43136.2746
1785340800000,2026-07-29T16:00:00Z,88.21,89.72,86.12,86.7,4093.6,362187.0106
1785427200000,2026-07-30T16:00:00Z,86.7,88.45,86.7,88.26,655.4,57350.4252
1785513600000,2026-07-31T16:00:00Z,88.26,89.09,88.26,88.77,138.64,12282.4786
1785600000000,2026-08-01T16:00:00Z,88.77,89.15,88.53,88.77,54.06,4808.4217
1785686400000,2026-08-02T16:00:00Z,88.77,90.55,88.35,90.43,282.09,25293.7298
1785772800000,2026-08-03T16:00:00Z,90.43,91.22,88.8,91.22,575.99,51929.8278
