ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1754668800000,2025-08-08T16:00:00Z,21.52,22.31,21.355,21.74,2160114,47121176.9927
1754841600000,2025-08-10T16:00:00Z,21.65,21.65,19.885,20.62,3301375,67425068.1097
1754928000000,2025-08-11T16:00:00Z,20.6,23.78,20.4,23.37,5181534,114169917.1833
1755014400000,2025-08-12T16:00:00Z,23.35,24.3,22.095,22.67,4791111,111762452.8222
1755100800000,2025-08-13T16:00:00Z,22.69,23.4,20.7,20.955,4214519,93103766.8754
1755187200000,2025-08-14T16:00:00Z,20.96,22.96,20.459,22.5346,4810998,103966529.8635
1755273600000,2025-08-15T16:00:00Z,22.53,22.8,22.075,22.7,1429487,32014965.1594
1755446400000,2025-08-17T16:00:00Z,22.87,26.25,22,25.74,5179012,125882603.0658
1755532800000,2025-08-18T16:00:00Z,25.73,26.968,23.08,23.16,7338130,184324270.4816
1755619200000,2025-08-19T16:00:00Z,23.16,23.3,20.7189,21.38,5161939,113944163.7487
1755705600000,2025-08-20T16:00:00Z,21.37,23.17,21.345,23.13,3495393,77407463.0107
1755792000000,2025-08-21T16:00:00Z,23.07,25.99,22.85,25.4,5468283,133006432.0159
1755878400000,2025-08-22T16:00:00Z,25.46,25.69,24.51,24.8,1748354,43894670.3563
1756051200000,2025-08-24T16:00:00Z,24.93,26.33,24.33,24.85,3672701,92595902.7904
1756137600000,2025-08-25T16:00:00Z,24.91,26.3299,24.02,25.4,4313978,108912609.9038
1756224000000,2025-08-26T16:00:00Z,25.57,25.94,24.56,25.195,3665950,92818363.3486
1756310400000,2025-08-27T16:00:00Z,25.06,25.29,22.45,24.5,5364833,129768261.1729
1756396800000,2025-08-28T16:00:00Z,24.435,26.65,24.11,24.67,4155406,104703795.0775
1756483200000,2025-08-29T16:00:00Z,24.65,24.825,24.09,24.21,1314708,32028800.8516
1756742400000,2025-09-01T16:00:00Z,24.47,25.01,22.2,22.72,2226171,51134227.6229
1756828800000,2025-09-02T16:00:00Z,22.88,24.59,22.62,23.81,3971119,94101952.4903
1756915200000,2025-09-03T16:00:00Z,23.77,23.84,22.04,22.79,4415179,100879181.2913
1757001600000,2025-09-04T16:00:00Z,22.84,24.225,22.6203,23.16,3821468,88827322.4885
1757088000000,2025-09-05T16:00:00Z,23.22,24.15,23.1628,23.84,1728626,41265530.9146
1757260800000,2025-09-07T16:00:00Z,24.07,24.49,23.31,23.34,1511262,36136847.8178
1757347200000,2025-09-08T16:00:00Z,23.35,24.1373,22.74,23.32,3219257,75317661.5157
1757433600000,2025-09-09T16:00:00Z,23.29,26.75,23.11,25.92,6471235,165046763.2489
1757520000000,2025-09-10T16:00:00Z,25.89,28.03,25.8,26.6,8054376,218139498.5609
1757606400000,2025-09-11T16:00:00Z,26.64,27.3699,26.0216,26.53,3650951,97772936.7558
1757692800000,2025-09-12T16:00:00Z,26.575,27.47,26.46,27.02,1903923,51598877.8601
1757865600000,2025-09-14T16:00:00Z,27.02,29.8,27,28.8,4825937,138265201.7227
1757952000000,2025-09-15T16:00:00Z,28.715,29.98,27.3,27.74,6587190,188118299.7528
1758038400000,2025-09-16T16:00:00Z,27.725,30.05,27.62,28.96,5401181,155307582.7374
