ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1754668800000,2025-08-08T16:00:00Z,337.78,341.99,337.37,341.31,1899788,646298878.55
1754841600000,2025-08-10T16:00:00Z,343.08,344.15,333,338.416,1679891,570228682.152
1754928000000,2025-08-11T16:00:00Z,338.225,339.195,330.04,336.06,3613621,1209759606.897
1755014400000,2025-08-12T16:00:00Z,336.07,348.79,335.81,345.535,3250899,1109068962.9944
1755100800000,2025-08-13T16:00:00Z,345.535,353,345.535,349.77,3288038,1148618161.3309
1755187200000,2025-08-14T16:00:00Z,349.7564,355.79,347.66,355.03,3246621,1139429026.7396
1755273600000,2025-08-15T16:00:00Z,354.88,357.29,354.21,355.9,1799986,640804214.6354
1755446400000,2025-08-17T16:00:00Z,355.21,358.39,353,356,1255870,447438308.447
1755532800000,2025-08-18T16:00:00Z,355.985,364.24,355.24,358.6,2382494,854230346.9847
1755619200000,2025-08-19T16:00:00Z,358.65,363,354.67,354.94,3016440,1083546410.2701
1755705600000,2025-08-20T16:00:00Z,354.87,355.83,347,350.86,2672424,943699627.3994
1755792000000,2025-08-21T16:00:00Z,350.81,361.89,350.58,358.6418,2305528,821150248.0844
1755878400000,2025-08-22T16:00:00Z,358.72,363.49,358,363.4899,1449920,523434336.9897
1756051200000,2025-08-24T16:00:00Z,364.99,364.99,360.8,363.47,872856,316965554.0834
1756137600000,2025-08-25T16:00:00Z,363.65,364.1677,353.685,354.43,2270599,817480072.2964
1756224000000,2025-08-26T16:00:00Z,354.96,360.37,354,357.02,2519992,898385031.8383
1756310400000,2025-08-27T16:00:00Z,357.32,358.26,352.13,352.48,2194507,780103241.3074
1756396800000,2025-08-28T16:00:00Z,352.245,357.25,349.11,355.965,3237782,1143925165.2051
1756483200000,2025-08-29T16:00:00Z,355.955,356.87,354.55,356.33,1089810,387885335.5067
1756742400000,2025-09-01T16:00:00Z,356.32,357.72,341.28,342.62,1823421,631432812.1806
1756828800000,2025-09-02T16:00:00Z,342.4,346.955,341.93,343.93,2913591,1003819742.1623
1756915200000,2025-09-03T16:00:00Z,344.03,348.51,331.5,342.96,3946314,1348619604.4415
1757001600000,2025-09-04T16:00:00Z,343.26,354.67,339.51,346.09,4209248,1457925559.7014
1757088000000,2025-09-05T16:00:00Z,345.78,349.5,345.1013,348.82,1991840,692290425.1842
1757260800000,2025-09-07T16:00:00Z,349.52,355.29,343.59,353.845,1675433,587328013.0815
1757347200000,2025-09-08T16:00:00Z,353.695,364.72,353.0859,354.89,4421672,1579419851.1466
1757433600000,2025-09-09T16:00:00Z,354.745,359.5,348.87,350.21,3975774,1406101636.3426
1757520000000,2025-09-10T16:00:00Z,350.61,360,348.12,348.47,5024316,1761870463.1577
