ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1754668800000,2025-08-08T16:00:00Z,17.935,18.3,17.78,18.3,357486,6461956.7416
1754841600000,2025-08-10T16:00:00Z,17.96,18.48,17.64,17.7558,334366,5987379.0638
1754928000000,2025-08-11T16:00:00Z,17.7996,19.3891,17.25,19.3796,819183,14707308.3295
1755014400000,2025-08-12T16:00:00Z,19.36,20.75,18.965,19.83,1000681,19706547.3457
1755100800000,2025-08-13T16:00:00Z,19.83,20.69,18.33,18.45,1117672,21940679.3231
1755187200000,2025-08-14T16:00:00Z,18.4572,19.8,17.45,17.555,1060906,19429289.502
1755273600000,2025-08-15T16:00:00Z,17.54,18.34,17.33,18.13,644455,11608835.3433
1755446400000,2025-08-17T16:00:00Z,18.32,18.66,18.04,18.64,344560,6356135.775
1755532800000,2025-08-18T16:00:00Z,18.6323,19.83,17.65,17.895,1761462,33266682.0424
1755619200000,2025-08-19T16:00:00Z,17.92,17.99,16.38,17.065,1404667,24303124.8241
1755705600000,2025-08-20T16:00:00Z,17.035,17.68,16.77,17.4755,925333,16055502.9807
1755792000000,2025-08-21T16:00:00Z,17.42,18.54,17.33,18.35,1282048,22982289.0248
1755878400000,2025-08-22T16:00:00Z,18.32,18.59,17.9286,18.15,761617,13844694.4644
1756051200000,2025-08-24T16:00:00Z,18.09,25.24,18.0011,24.72,7194691,170960330.2396
1756137600000,2025-08-25T16:00:00Z,24.73,27.59,24.03,25.03,5822853,147487977.0214
1756224000000,2025-08-26T16:00:00Z,24.99,26.15,23.7801,24.085,2475625,61736041.9808
1756310400000,2025-08-27T16:00:00Z,24.0604,27.2187,23.54,27.21,2377573,59759854.1195
1756396800000,2025-08-28T16:00:00Z,27.2,27.51,25.5514,25.565,2373579,63310615.0983
1756483200000,2025-08-29T16:00:00Z,25.54,25.665,24.65,24.96,947429,23752671.1966
1756742400000,2025-09-01T16:00:00Z,24.98,24.98,22.88,23.49,803539,18944628.7601
1756828800000,2025-09-02T16:00:00Z,23.52,25.49,23.52,24.7,1133951,27943459.414
1756915200000,2025-09-03T16:00:00Z,24.71,24.97,23.91,24.78,763332,18700987.0213
1757001600000,2025-09-04T16:00:00Z,24.76,27.08,24.5578,26.225,1333422,34645088.9976
1757088000000,2025-09-05T16:00:00Z,26.225,26.41,25.42,25.42,441127,11451569.7208
1757260800000,2025-09-07T16:00:00Z,25.42,26.29,24.9601,25.18,457488,11598299.1004
1757347200000,2025-09-08T16:00:00Z,25.18,25.46,24.28,25.23,870222,21713975.9434
1757433600000,2025-09-09T16:00:00Z,25.25,28,24.985,26.81,1503745,39618038.4418
1757520000000,2025-09-10T16:00:00Z,26.81,28.41,26.01,27.86,1256424,34335376.9782
1757606400000,2025-09-11T16:00:00Z,27.88,28.3,25.59,26.42,1220857,32685879.9594
1757692800000,2025-09-12T16:00:00Z,26.47,26.71,26.03,26.2755,427012,11262742.9601
1757865600000,2025-09-14T16:00:00Z,26.51,27.8,26.01,27.6101,604486,16430688.6972
1757952000000,2025-09-15T16:00:00Z,27.615,29,26.6,27.0685,1562269,43276662.5687
1758038400000,2025-09-16T16:00:00Z,27.09,28.65,26.92,28.4,1102647,30973480.67
1758124800000,2025-09-17T16:00:00Z,28.4,30.4,27.21,30.3723,1356687,39377243.2286
1758211200000,2025-09-18T16:00:00Z,30.2908,31.65,29.46,30.525,1988991,61271207.9668
1758297600000,2025-09-19T16:00:00Z,30.56,31.2,29.9,29.99,732606,22391217.5367
1758470400000,2025-09-21T16:00:00Z,30.99,32.5,29.31,32.12,773481,23973752.5589
1758556800000,2025-09-22T16:00:00Z,32.12,34.1,31.5,33.65,1801186,59003940.9979
1758643200000,2025-09-23T16:00:00Z,33.65,35,31.85,32.16,1742119,57885479.44
1758729600000,2025-09-24T16:00:00Z,32.16,33.5,30.14,31.36,1512609,47831853.6053
1758816000000,2025-09-25T16:00:00Z,31.385,31.48,28.55,28.85,1557314,46979087.2806
1758902400000,2025-09-26T16:00:00Z,28.8644,30.3999,28.71,30.3999,1070658,31864998.4002
1759075200000,2025-09-28T16:00:00Z,30.23,32.08,30.08,30.16,656391,20367464.0963
1759161600000,2025-09-29T16:00:00Z,30.172,30.94,29.405,30.075,1329039,40066761.5175
1759248000000,2025-09-30T16:00:00Z,30.09,31.93,29.5,31.56,1491255,45852042.4203
1759334400000,2025-10-01T16:00:00Z,31.6213,34.3495,31.6213,32.96,1545213,51025408.345
1759420800000,2025-10-02T16:00:00Z,32.93,33.338,30.8408,31.495,1399072,45003967.0493
1759507200000,2025-10-03T16:00:00Z,31.495,31.91,30.81,31.25,821809,25762145.8399
1759680000000,2025-10-05T16:00:00Z,31.06,31.56,29.755,31.03,897296,27648998.5122
1759766400000,2025-10-06T16:00:00Z,31.03,32.55,22.915,24.515,7474722,195713959.7279
1759852800000,2025-10-07T16:00:00Z,24.4658,26.85,24.4658,26.64,4144459,106519623.3377
1759939200000,2025-10-08T16:00:00Z,26.637,26.711,24.4,25.15,2032731,51950530.1865
1760025600000,2025-10-09T16:00:00Z,25.09,25.76,23.67,24.23,1867502,46394156.4549
1760112000000,2025-10-10T16:00:00Z,24.12,24.35,22.16,23.2,1037225,24805110.9253
