ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1754668800000,2025-08-08T16:00:00Z,119.62,120.7,119.61,120.3799,3923206,471630129.9523
1754841600000,2025-08-10T16:00:00Z,120.39,121.3,118.22,118.89,5129766,613922369.7265
1754928000000,2025-08-11T16:00:00Z,118.87,121.04,117.85,121.021,10883972,1296265642.9953
1755014400000,2025-08-12T16:00:00Z,121.02,127.93,120.7614,125.87,18763512,2347290420.5698
1755100800000,2025-08-13T16:00:00Z,125.87,127.1,121.34,121.97,15858832,1968495174.8486
1755187200000,2025-08-14T16:00:00Z,121.975,123.02,120.68,121.0814,10694327,1302416880.8092
1755273600000,2025-08-15T16:00:00Z,121.03,121.84,120.7,121.17,4457617,540917073.9061
1755446400000,2025-08-17T16:00:00Z,121.45,123.2,121.04,121.695,4147167,505442612.3704
1755532800000,2025-08-18T16:00:00Z,121.71,122.59,120.755,121.14,8352750,1015620164.6378
1755619200000,2025-08-19T16:00:00Z,121.14,121.29,118.67,119.25,7035022,843157418.2062
1755705600000,2025-08-20T16:00:00Z,119.26,120.22,117.51,118.54,6461826,768853138.9907
1755792000000,2025-08-21T16:00:00Z,118.525,123.4,117.62,122.92,11380298,1374373115.4422
1755878400000,2025-08-22T16:00:00Z,122.96,123.5,122.77,123.5,5551724,683065271.798
1756051200000,2025-08-24T16:00:00Z,123.1,128.85,123.1,125.26,7861215,988024721.6131
1756137600000,2025-08-25T16:00:00Z,125.39,126.61,123.88,124.52,8362508,1044551344.2189
1756224000000,2025-08-26T16:00:00Z,124.63,127.48,120.79,121.58,11711223,1435920432.8397
1756310400000,2025-08-27T16:00:00Z,121.54,122.8,117.6,120.49,12205263,1471546835.8378
1756396800000,2025-08-28T16:00:00Z,120.5,134.51,116.5,133.65,58395559,7575316681.5518
1756483200000,2025-08-29T16:00:00Z,133.61,136.65,130.1335,135,28097070,3795838700.6386
1756742400000,2025-09-01T16:00:00Z,138.5,142.66,133.06,136.6,25386877,3458110866.6806
1756828800000,2025-09-02T16:00:00Z,136.7,140.97,135.58,137.035,22796740,3128114647.4017
1756915200000,2025-09-03T16:00:00Z,137.14,137.87,130.06,131.39,21635868,2878574479.1734
1757001600000,2025-09-04T16:00:00Z,131.4,136.25,130.61,133.955,19303190,2563364633.2957
1757088000000,2025-09-05T16:00:00Z,133.95,135.64,133.73,135.34,7383479,996968707.8095
1757260800000,2025-09-07T16:00:00Z,135.19,141.37,135.19,139.95,11871674,1659527436.378
1757347200000,2025-09-08T16:00:00Z,139.955,148.01,139.57,144.895,28498342,4127717573.7632
1757433600000,2025-09-09T16:00:00Z,144.93,151.78,143.78,143.87,20854721,3039775425.4625
1757520000000,2025-09-10T16:00:00Z,143.81,154.72,140.12,154.485,33414939,4962266349.4713
1757606400000,2025-09-11T16:00:00Z,154.45,157.69,152.06,153.52,34085429,5283900544.8726
1757692800000,2025-09-12T16:00:00Z,153.55,155.46,153.4,155,9231334,1428993073.5498
