ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1754668800000,2025-08-08T16:00:00Z,45.895,46.3,45.875,46.0403,15288520,704329798.6804
1754841600000,2025-08-10T16:00:00Z,46.15,46.44,45.81,46.385,10831694,500148384.4456
1754928000000,2025-08-11T16:00:00Z,46.385,47.54,46.09,47.52,30898702,1442711520.5709
1755014400000,2025-08-12T16:00:00Z,47.52,47.77,47.34,47.495,23034621,1094442826.989
1755100800000,2025-08-13T16:00:00Z,47.495,47.575,46.4,47.46,20457691,966744119.8192
1755187200000,2025-08-14T16:00:00Z,47.46,47.97,47.03,47.075,20382469,968052019.8565
1755273600000,2025-08-15T16:00:00Z,47.075,47.1799,46.8122,46.98,12352781,581243110.3218
1755446400000,2025-08-17T16:00:00Z,46.85,47.64,46.79,47.635,14157412,670144705.5963
1755532800000,2025-08-18T16:00:00Z,47.635,48.04,47.545,47.77,28169080,1347576600.225
1755619200000,2025-08-19T16:00:00Z,47.765,48.465,47.705,48.23,29337618,1409332192.7126
1755705600000,2025-08-20T16:00:00Z,48.23,48.5,47.81,48.32,25827013,1247374332.9815
1755792000000,2025-08-21T16:00:00Z,48.325,49.51,48.175,49.36,30380512,1480376614.8498
1755878400000,2025-08-22T16:00:00Z,49.36,49.66,49.36,49.51,21898883,1084521440.4255
1756051200000,2025-08-24T16:00:00Z,49.48,49.565,49.21,49.325,14787726,730514032.4988
1756137600000,2025-08-25T16:00:00Z,49.325,49.845,49.25,49.835,25532173,1264184905.4879
1756224000000,2025-08-26T16:00:00Z,49.835,50.63,49.73,50.2701,36091313,1810789878.8593
1756310400000,2025-08-27T16:00:00Z,50.275,50.64,50.2206,50.56,33593803,1693320857.2164
1756396800000,2025-08-28T16:00:00Z,50.57,50.8,50.35,50.77,22347946,1130249920.953
1756483200000,2025-08-29T16:00:00Z,50.75,50.9175,50.65,50.8398,12718119,646092262.9176
1756742400000,2025-09-01T16:00:00Z,50.88,51.01,49.67,50.15,24584330,1237453390.4811
1756828800000,2025-09-02T16:00:00Z,50.135,50.57,48.99,50.13,30644478,1539773845.0427
1756915200000,2025-09-03T16:00:00Z,50.135,50.52,49.695,50.44,29557409,1481122849.176
1757001600000,2025-09-04T16:00:00Z,50.44,50.84,49.225,49.47,35927752,1805309507.0699
1757088000000,2025-09-05T16:00:00Z,49.47,49.8145,49.415,49.77,16838360,835631786.026
1757260800000,2025-09-07T16:00:00Z,49.83,50,49.13,49.6,14842026,735467931.2324
1757347200000,2025-09-08T16:00:00Z,49.595,50.56,48.875,50.295,41873439,2082919748.4019
1757433600000,2025-09-09T16:00:00Z,50.295,50.625,49.965,50.24,26751388,1344745727.474
1757520000000,2025-09-10T16:00:00Z,50.24,50.96,49.85,50.725,25101813,1264910221.4705
1757606400000,2025-09-11T16:00:00Z,50.71,52.64,50.455,50.49,18510005,938536950.3354
1757692800000,2025-09-12T16:00:00Z,50.485,50.74,50.46,50.59,8376174,424060470.4436
1757865600000,2025-09-14T16:00:00Z,50.58,51.09,50.57,50.64,8273305,421055090.8605
1757952000000,2025-09-15T16:00:00Z,50.64,50.8,50.21,50.445,18750805,947115941.8294
1758038400000,2025-09-16T16:00:00Z,50.45,51.625,50.41,51.475,27977927,1426598050.5239
