ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1782921600000,2026-07-01T16:00:00Z,31.045,43.98,30.7,36.52,20196282.4177079972,735220888.47650549
1783008000000,2026-07-02T16:00:00Z,36.53,37.055,34.25,35.5,3934557.1921879993,140142329.31669075
1783267200000,2026-07-05T16:00:00Z,36.01,37.5,33.05,33.28,2138577.3305450005,73551544.92576909
1783353600000,2026-07-06T16:00:00Z,33.31,38.77,33.245,36.815,4482461.73871599943,158587456.59526439
1783440000000,2026-07-07T16:00:00Z,37.09,37.9,34.15,34.945,1958301.2663769999,70621922.5809475
1783526400000,2026-07-08T16:00:00Z,34.99,35.3,32.05,33.805,2997864.40863199999,101319980.26144412
1783612800000,2026-07-09T16:00:00Z,33.9,35,32.96,33.2,2086454.85907500007,70708695.99774685
1783699200000,2026-07-10T16:00:00Z,33.2,33.5,32.3942,33,916391.90567900002,30232784.08824698
1783872000000,2026-07-12T16:00:00Z,32.21,33.8,31.5,31.96,1107043.44119200004,35767143.72205802
1783958400000,2026-07-13T16:00:00Z,31.96,33.13,30.11,32.78,3459455.709102,109836010.14819645
1784044800000,2026-07-14T16:00:00Z,32.625,33.9,31.41,33.07,1888737.05095400015,61680168.53553409
1784131200000,2026-07-15T16:00:00Z,33.27,35.1,32.5,33.43,1069818.61834099999,36098354.16008791
1784217600000,2026-07-16T16:00:00Z,33.37,33.41,31.26,32.47,1818459.13991099997,58748230.12105332
1784304000000,2026-07-17T16:00:00Z,32.59,33,32,32.38,570073.60475200005,18478856.53872732
1784476800000,2026-07-19T16:00:00Z,32.35,33.7,32.24,33.125,1874279.1003139998,61741364.4230667
1784563200000,2026-07-20T16:00:00Z,33.16,35.14,32.91,34.58,1297935.34351599999,43710990.79648029
1784649600000,2026-07-21T16:00:00Z,34.835,36.13,33.3,35.54,1340935.18425899997,46169031.08977248
1784736000000,2026-07-22T16:00:00Z,35.61,36.02,32.955,33.57,2337169.61035599996,78917800.50365785
1784822400000,2026-07-23T16:00:00Z,33.58,34.8257,32.57,34.195,1545161.73418600006,51944674.28392921
1784908800000,2026-07-24T16:00:00Z,34.57,34.84,33.36,34.11,1448131.67082699997,49193959.09789314
1785081600000,2026-07-26T16:00:00Z,34.98,35.3999,32,32.55,1845884.4948610001,60791118.07683538
1785168000000,2026-07-27T16:00:00Z,32.57,34.08,32.26,32.96,2245119.0494720001,74141875.07388938
1785254400000,2026-07-28T16:00:00Z,32.99,33.43,32.44,33.11,2312509.369865,76041680.74128085
1785340800000,2026-07-29T16:00:00Z,33.04,33.515,32.04,33.325,1194732.89683099998,39292104.84233832
1785427200000,2026-07-30T16:00:00Z,33.345,35.53,33.215,34.55,1046995.77063500002,35858521.27728504
