ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1754668800000,2025-08-08T16:00:00Z,131.03,133.455,130,131.2,5023480,659321908.533
1754841600000,2025-08-10T16:00:00Z,131.16,132.55,128.5,130.32,3423782,448530618.883
1754928000000,2025-08-11T16:00:00Z,130.32,130.8799,126.275,128.42,6977029,900017531.6126
1755014400000,2025-08-12T16:00:00Z,128.5025,130.3,126.98,128.58,5477967,705172453.5027
1755100800000,2025-08-13T16:00:00Z,128.6,129.3596,124.18,125.46,4253728,539411455.9285
1755187200000,2025-08-14T16:00:00Z,125.46,127.38,123.42,127.15,5170279,649207364.078
1755273600000,2025-08-15T16:00:00Z,127.15,128.22,126.96,127.25,2263500,288414788.2541
1755446400000,2025-08-17T16:00:00Z,127.31,129.2,127.11,128.9,674537,86631133.3319
1755532800000,2025-08-18T16:00:00Z,128.89,131.23,128.4414,128.865,3020507,391206304.4508
1755619200000,2025-08-19T16:00:00Z,128.855,129.15,125.56,125.9402,3662107,468330370.879
1755705600000,2025-08-20T16:00:00Z,126.015,129.19,125.88,128.63,3231325,412957053.7515
1755792000000,2025-08-21T16:00:00Z,128.71,132.38,128.08,130.96,3005743,390843102.7657
1755878400000,2025-08-22T16:00:00Z,130.82,131.5003,130,131,1872987,245138277.655
1756051200000,2025-08-24T16:00:00Z,131.2,131.8,128.09,128.38,930133,119901276.1004
1756137600000,2025-08-25T16:00:00Z,128.38,129.03,126.81,127.19,2630175,337331807.4014
1756224000000,2025-08-26T16:00:00Z,127.27,130.56,126.25,129.73,5464512,698982351.3086
1756310400000,2025-08-27T16:00:00Z,129.625,139.87,129.3,139.63,7442000,1008501668.3571
1756396800000,2025-08-28T16:00:00Z,139.63,142.5,137.38,137.95,6111330,856577547.7319
1756483200000,2025-08-29T16:00:00Z,137.985,138.6645,136.04,136.9626,2392403,327347673.0703
1756742400000,2025-09-01T16:00:00Z,136.63,137.03,132,132.14,1979124,265514068.807
1756828800000,2025-09-02T16:00:00Z,132.265,136.59,131.12,131.735,3757919,500551573.5938
