ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1775059200000,2026-04-01T16:00:00Z,0,0,0,0,1495596.91733799985,40860393.012183332958105
1775145600000,2026-04-02T16:00:00Z,27.51,29.34,27.3,29.1,1023379.60295500003,28323646.414218280027517
1775404800000,2026-04-05T16:00:00Z,30.01,31.01,28.89,29.09,4062325.2122440002,119833808.42205074591352
1775491200000,2026-04-06T16:00:00Z,29.1,30.61,28.38,28.86,4896759.69066300031,142192413.989353424651831
1775577600000,2026-04-07T16:00:00Z,28.855,35.63,28.6948,32.305,8916105.298030001166,286226436.3256122145933282
1775664000000,2026-04-08T16:00:00Z,32.325,32.77,30.825,31.92,9645110.6646330014,306171546.38426396474694
1775750400000,2026-04-09T16:00:00Z,32.14,33.04,31.39,32.255,6298777.2742800003,203541712.01321616469431
1775836800000,2026-04-10T16:00:00Z,32.3,32.69,32.2,32.59,1599866.83802700003,51858245.352705748272177
1776009600000,2026-04-12T16:00:00Z,30,32.68,30,32.46,2397783.2122099994,77694932.50954936826879
1776096000000,2026-04-13T16:00:00Z,32.41,35.4,32.38,34.615,8598090.6324030003,291293659.84260695224199
1776182400000,2026-04-14T16:00:00Z,34.53,36.4,33.91,34.04,7817074.1226379996,270877295.83086857753797
1776268800000,2026-04-15T16:00:00Z,34.065,35.47,33.685,35.14,6770877.984487000144,234630113.7195606702487756
1776355200000,2026-04-16T16:00:00Z,35.19,36.195,34.4,35.585,6313865.0409690001,223647629.2845809382463
1776441600000,2026-04-17T16:00:00Z,35.53,35.88,35.4,35.52,1458753.09715699992,51951220.110278437959642
1776614400000,2026-04-19T16:00:00Z,34.99,35.68,34.05,34.805,4775646.4684689996,168046313.03996189080858
1776700800000,2026-04-20T16:00:00Z,34.775,36.16,34.73,35.36,6692552.4786979996,237569175.19620461554677
1776787200000,2026-04-21T16:00:00Z,35.425,36.93,34.8939,36.81,7236756.72911499985,261348632.691064563810055
1776873600000,2026-04-22T16:00:00Z,36.82,38.15,35.7,37.15,11078817.2838739994,410458898.75519512335528
1776960000000,2026-04-23T16:00:00Z,37.19,37.49,35.81,37.39,13291006.5116400013,489978066.09034096450335
1777046400000,2026-04-24T16:00:00Z,37.46,37.555,37.05,37.0994,3228297.9632969996,120434759.98465278193557
1777219200000,2026-04-26T16:00:00Z,37.01,39.34,37.01,38.7,7997053.8626600005,307269606.13063104292695
1777305600000,2026-04-27T16:00:00Z,38.69,39.07,36.5,36.84,13819110.8448090013,519997587.9487319493952
