ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1754668800000,2025-08-08T16:00:00Z,20.915,20.985,20.76,20.88,5455419,113760002.8773
1754841600000,2025-08-10T16:00:00Z,21.03,21.08,20.61,20.715,5209552,108436079.1055
1754928000000,2025-08-11T16:00:00Z,20.715,21.09,20.4,21.035,11290284,234822170.3228
1755014400000,2025-08-12T16:00:00Z,21.035,21.76,21.02,21.5043,14646187,312895418.6559
1755100800000,2025-08-13T16:00:00Z,21.505,21.64,21.13,21.335,11207474,240601836.3513
1755187200000,2025-08-14T16:00:00Z,21.33,21.39,21.035,21.155,7112481,151186985.002
1755273600000,2025-08-15T16:00:00Z,21.15,21.23,21.04,21.1,5415808,114485816.9082
1755446400000,2025-08-17T16:00:00Z,21.14,21.47,21.01,21.405,4249622,90749920.3105
1755532800000,2025-08-18T16:00:00Z,21.405,21.68,21.36,21.368,8900875,191688935.996
1755619200000,2025-08-19T16:00:00Z,21.37,21.77,20.44,20.875,14023965,296082128.0432
1755705600000,2025-08-20T16:00:00Z,20.875,21.91,20.865,21.645,14364085,306124059.2283
1755792000000,2025-08-21T16:00:00Z,21.64,22.58,21.595,22.505,15998698,351640540.154
1755878400000,2025-08-22T16:00:00Z,22.505,22.69,22.4003,22.5,10062978,226787956.1486
1756051200000,2025-08-24T16:00:00Z,22.5,22.69,22.345,22.495,5298436,119023633.1554
1756137600000,2025-08-25T16:00:00Z,22.495,22.68,22.4,22.555,11404133,257344660.1815
1756224000000,2025-08-26T16:00:00Z,22.555,22.745,22.24,22.58,12210816,275047974.2834
1756310400000,2025-08-27T16:00:00Z,22.575,23.315,22.47,23.2,25712554,588892762.3523
1756396800000,2025-08-28T16:00:00Z,23.2,23.3,22.545,22.555,17355949,399471777.0217
1756483200000,2025-08-29T16:00:00Z,22.575,22.685,22.42,22.5009,9389089,211987212.1295
1756742400000,2025-09-01T16:00:00Z,22.67,22.79,21.92,22.375,10104562,225396357.2655
1756828800000,2025-09-02T16:00:00Z,22.375,23.04,22.27,22.835,21868422,495323728.5608
1756915200000,2025-09-03T16:00:00Z,22.835,24.28,21.6,23.915,49878626,1162115715.0636
1757001600000,2025-09-04T16:00:00Z,23.915,24,22.7,23.22,34438142,804258128.6074
1757088000000,2025-09-05T16:00:00Z,23.21,23.565,23.145,23.5199,12120550,283702437.1162
1757260800000,2025-09-07T16:00:00Z,23.58,23.78,23.05,23.445,6191846,144420182.8578
1757347200000,2025-09-08T16:00:00Z,23.44,23.985,23.19,23.825,14701214,345904921.0964
1757433600000,2025-09-09T16:00:00Z,23.83,24.685,23.755,24.255,16895909,407599085.6538
1757520000000,2025-09-10T16:00:00Z,24.255,24.865,24.15,24.795,17258432,422652372.9242
1757606400000,2025-09-11T16:00:00Z,24.79,25.1162,24.685,25.005,18988325,472244306.4876
1757692800000,2025-09-12T16:00:00Z,25.005,25.005,24.7,24.7,11253325,279841910.8238
1757865600000,2025-09-14T16:00:00Z,24.74,25.045,24.64,24.71,3984935,98824007.2246
1757952000000,2025-09-15T16:00:00Z,24.705,24.97,24.34,24.58,17790712,438521196.8604
1758038400000,2025-09-16T16:00:00Z,24.575,24.92,23.98,24.79,16615309,408654094.3587
1758124800000,2025-09-17T16:00:00Z,24.795,25.335,24.21,25.125,17307174,430719281.61
1758211200000,2025-09-18T16:00:00Z,25.125,25.6,24.855,25.02,21026206,529227279.9178
1758297600000,2025-09-19T16:00:00Z,25.04,25.24,24.9438,25.15,14056301,351981538.434
1758470400000,2025-09-21T16:00:00Z,25.15,25.33,24.84,25.23,5718276,143909968.8742
1758556800000,2025-09-22T16:00:00Z,25.26,25.3559,24.96,25.145,17200578,432808937.8211
1758643200000,2025-09-23T16:00:00Z,25.135,25.325,24.565,24.59,22805963,567261315.4549
1758729600000,2025-09-24T16:00:00Z,24.595,24.93,23.87,24.225,25740517,626086566.6302
1758816000000,2025-09-25T16:00:00Z,24.205,24.33,23.8,24.015,28724294,691637769.1358
1758902400000,2025-09-26T16:00:00Z,24.02,24.155,23.935,23.9902,10883258,261421135.879
1759075200000,2025-09-28T16:00:00Z,24.09,24.685,23.99,24.13,4190263,102125850.9861
1759161600000,2025-09-29T16:00:00Z,24.155,24.375,24.01,24.08,14457562,349411187.0444
1759248000000,2025-09-30T16:00:00Z,24.11,24.86,23.98,24.73,24826945,606187390.8694
1759334400000,2025-10-01T16:00:00Z,24.73,25.31,24.405,24.5,20677526,511475556.3512
1759420800000,2025-10-02T16:00:00Z,24.5,25,24.435,24.75,14055244,346152995.9377
1759507200000,2025-10-03T16:00:00Z,24.74,24.79,24.3,24.4,13407232,328336201.8102
1759680000000,2025-10-05T16:00:00Z,24.48,25.255,24.48,25.05,6477092,161837059.9876
1759766400000,2025-10-06T16:00:00Z,25.025,25.925,24.66,24.75,18441093,464519829.4331
1759852800000,2025-10-07T16:00:00Z,24.765,26.445,24.7,26.35,21412292,544988046.4062
1759939200000,2025-10-08T16:00:00Z,26.345,26.37,25.7399,26.155,21831792,568018062.6946
1760025600000,2025-10-09T16:00:00Z,26.155,26.41,24.68,24.945,20676664,533745373.0765
1760112000000,2025-10-10T16:00:00Z,24.94,25.12,23.98,24.41,23252265,576532621.8985
1760284800000,2025-10-12T16:00:00Z,24.64,25.455,24.64,25.15,11020553,276925105.3375
1760371200000,2025-10-13T16:00:00Z,25.145,25.61,24,25.21,39187549,979212218.6852
1760457600000,2025-10-14T16:00:00Z,25.22,25.91,24.74,25.525,28663538,726463625.1045
1760544000000,2025-10-15T16:00:00Z,25.525,26.31,22.14,22.435,73098190,1759103265.3576
1760630400000,2025-10-16T16:00:00Z,22.43,22.945,21.9,22.89,52529666,1186717264.3754
1760716800000,2025-10-17T16:00:00Z,22.89,23.27,22.63,22.98,46593144,1070315955.7336
1760889600000,2025-10-19T16:00:00Z,23,23.2,22.54,22.645,15393698,349448420.0965
1760976000000,2025-10-20T16:00:00Z,22.64,23.24,22.44,23.195,62365449,1426611680.0929
1761062400000,2025-10-21T16:00:00Z,23.225,23.43,22.705,22.995,72176934,1675894390.5687
1761148800000,2025-10-22T16:00:00Z,22.99,23.46,22.6,23.405,38513089,888094145.3135
1761235200000,2025-10-23T16:00:00Z,23.385,23.6992,23.09,23.37,23101883,537897514.9535
1761321600000,2025-10-24T16:00:00Z,23.375,23.545,23.32,23.49,11461985,268843105.2114
1761494400000,2025-10-26T16:00:00Z,23.61,24.225,23.44,23.95,10107800,242221405.5973
1761580800000,2025-10-27T16:00:00Z,23.975,24.35,23.69,24.005,34117908,817455974.2533
1761667200000,2025-10-28T16:00:00Z,24.03,24.6975,23.99,24.32,35692108,870756450.8703
1761753600000,2025-10-29T16:00:00Z,24.325,24.585,24.0135,24.415,29078094,708133202.5522
1761840000000,2025-10-30T16:00:00Z,24.41,24.94,24.21,24.505,37000588,909353287.046
1761926400000,2025-10-31T16:00:00Z,24.475,24.57,24.195,24.35,18320315,447635379.8049
1762099200000,2025-11-02T16:00:00Z,24.51,24.78,24.105,24.36,3798433,92662673.2625
1762185600000,2025-11-03T16:00:00Z,24.4,24.76,23.57,23.92,27003812,659587316.1402
1762272000000,2025-11-04T16:00:00Z,23.9,23.97,23.02,23.485,27639519,654552020.8075
1762358400000,2025-11-05T16:00:00Z,23.5,24.03,23.24,23.26,22665091,538424277.4009
1762444800000,2025-11-06T16:00:00Z,23.27,23.6682,23.03,23.105,17282651,404133844.8303
1762531200000,2025-11-07T16:00:00Z,23.1,23.56,22.79,23.56,16641897,385807571.5979
1762704000000,2025-11-09T16:00:00Z,23.64,24.41,23.61,23.755,3475280,83739955.5782
1762790400000,2025-11-10T16:00:00Z,23.75,24.11,22.755,22.835,31826072,756890174.2748
1762876800000,2025-11-11T16:00:00Z,22.845,23.56,22.77,23.355,27559862,634387215.6272
1762963200000,2025-11-12T16:00:00Z,23.355,23.7,23.08,23.19,41885309,983732466.6466
1763049600000,2025-11-13T16:00:00Z,23.195,23.325,22.35,23.2,31457590,721397374.4034
1763136000000,2025-11-14T16:00:00Z,23.21,23.4199,22.77,22.88,21914671,506151396.3572
1763308800000,2025-11-16T16:00:00Z,22.42,22.75,21.25,21.495,11258208,244146465.1203
1763395200000,2025-11-17T16:00:00Z,21.5,21.53,20.72,20.85,38640323,814123993.0187
1763481600000,2025-11-18T16:00:00Z,20.82,21.46,20.75,20.81,37656462,794063521.9648
1763568000000,2025-11-19T16:00:00Z,20.81,21.31,20.5,21,24778434,514724746.3868
1763654400000,2025-11-20T16:00:00Z,20.975,21.04,19.81,20.22,20334811,411989197.4341
1763740800000,2025-11-21T16:00:00Z,20.22,20.79,20.125,20.63,15704338,323035018.6545
1763913600000,2025-11-23T16:00:00Z,20.7,21.13,20.6,20.945,3068989,64071500.9489
1764000000000,2025-11-24T16:00:00Z,20.97,21.3,20.8,21.195,21870926,462339481.0802
1764086400000,2025-11-25T16:00:00Z,21.17,22.06,21.1,21.285,19075160,406837251.5654
1764172800000,2025-11-26T16:00:00Z,21.3,21.6421,21.295,21.63,12782312,274667818.9139
1764259200000,2025-11-27T16:00:00Z,21.55,22.8,21.46,21.87,2551154,55452891.985
1764345600000,2025-11-28T16:00:00Z,21.855,21.935,21.79,21.85,4680627,102361544.8004
1764518400000,2025-11-30T16:00:00Z,22.31,22.31,21.48,21.815,3507967,76089358.1294
