ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1754668800000,2025-08-08T16:00:00Z,630.04,637.87,624.66,625.8001,5791827,3648361373.6568
1754841600000,2025-08-10T16:00:00Z,629.98,654.44,625.9,645.43,6080019,3911559588.1504
1754928000000,2025-08-11T16:00:00Z,645.655,646.14,629.398,642.13,7319835,4676388498.8433
1755014400000,2025-08-12T16:00:00Z,642.17,661.2,633.68,660.54,6364799,4118780756.4508
1755100800000,2025-08-13T16:00:00Z,660.795,677.73,654.84,673.07,6587979,4376737970.1395
1755187200000,2025-08-14T16:00:00Z,673.06,700.6199,672.4771,694.0028,7308167,5014348890.5857
1755273600000,2025-08-15T16:00:00Z,694.28,706.79,694,703,3803037,2668210962.3789
1755446400000,2025-08-17T16:00:00Z,701,707.75,689,699.7,2039258,1431000681.7727
1755532800000,2025-08-18T16:00:00Z,699.745,714.2661,691.05,709.665,4622758,3258929305.3464
1755619200000,2025-08-19T16:00:00Z,709.66,711.43,685.1503,696.35,4825068,3376110574.038
1755705600000,2025-08-20T16:00:00Z,696.47,718.4,695.39,712.88,3477337,2462735998.7177
1755792000000,2025-08-21T16:00:00Z,712.89,719.4628,707.63,713.285,2843150,2032305246.8681
1755878400000,2025-08-22T16:00:00Z,714.49,715.3672,709.2,710.1483,1252917,891719662.0982
1756051200000,2025-08-24T16:00:00Z,711.99,713.96,700.29,702.385,1156245,816132365.8853
1756137600000,2025-08-25T16:00:00Z,701.6,728.73,690.99,725.64,5247128,3746232879.5511
1756224000000,2025-08-26T16:00:00Z,726.875,749,723.55,737.17,5104065,3747833742.7574
1756310400000,2025-08-27T16:00:00Z,737.56,740.7951,729.14,730.96,2390881,1756789028.3672
1756396800000,2025-08-28T16:00:00Z,731.18,737.42,726.34,732.56,2219524,1623858444.894
1756483200000,2025-08-29T16:00:00Z,732.04,732.995,728.5001,730.7529,895448,654574451.719
1756742400000,2025-09-01T16:00:00Z,730,735.67,717.99,727.48,1198035,872860214.3396
1756828800000,2025-09-02T16:00:00Z,727.865,737.42,727.38,735.12,1884425,1383257694.5115
1756915200000,2025-09-03T16:00:00Z,735.11,744.43,732.4,743.86,1958957,1444847689.2286
1757001600000,2025-09-04T16:00:00Z,743.6,747,722.57,731.18,2947893,2167815276.2791
1757088000000,2025-09-05T16:00:00Z,730.75,731.2523,725,726.5,1427420,1039657143.587
1757260800000,2025-09-07T16:00:00Z,726.52,730.36,719.2183,721.065,1189345,861174639.7266
1757347200000,2025-09-08T16:00:00Z,720.19,752.2399,719.7201,749.155,3975529,2935098236.7744
1757433600000,2025-09-09T16:00:00Z,748.21,752.8394,742.485,749.64,2228191,1668626286.1231
1757520000000,2025-09-10T16:00:00Z,747.63,759.34,745.81,756.55,1693486,1274719835.6749
1757606400000,2025-09-11T16:00:00Z,755.505,761.6,748,748.97,1934390,1461604678.4747
1757692800000,2025-09-12T16:00:00Z,749.74,757.0918,749.19,753.5,998535,753732022.5126
1757865600000,2025-09-14T16:00:00Z,754.3,756.335,743.5,745.25,1050070,786788998.3356
1757952000000,2025-09-15T16:00:00Z,745.8,763.9999,742.11,763.775,2622529,1970526857.0846
1758038400000,2025-09-16T16:00:00Z,762.64,776.96,752.5,768.8,3393056,2603139602.6062
1758124800000,2025-09-17T16:00:00Z,769.49,772.535,759.13,763.24,2592387,1981119108.868
1758211200000,2025-09-18T16:00:00Z,763.07,767.925,749.2,759.815,3522169,2678832876.9863
1758297600000,2025-09-19T16:00:00Z,759.075,759.68,751.17,752.28,2647830,1996076282.7834
1758470400000,2025-09-21T16:00:00Z,753.02,762.04,744.18,759.12,1056543,797694592.8442
1758556800000,2025-09-22T16:00:00Z,759.07,759.95,743.17,746.69,1860636,1398625279.3803
1758643200000,2025-09-23T16:00:00Z,747.7,748.09,736.16,742.325,1909852,1421951541.523
1758729600000,2025-09-24T16:00:00Z,742.11,742.71,718.405,719.81,2809161,2055163262.9796
1758816000000,2025-09-25T16:00:00Z,719.86,737.59,712.05,720.88,3959631,2843210906.0357
1758902400000,2025-09-26T16:00:00Z,719.375,727.2499,717.08,722.08,1671932,1209294322.1606
1759075200000,2025-09-28T16:00:00Z,722.8,727.8585,713.51,723.1,1344063,971994366.3288
1759161600000,2025-09-29T16:00:00Z,723.39,737,722.3434,731.63,2310835,1681765558.7352
1759248000000,2025-09-30T16:00:00Z,731.49,816.125,731.37,811.42,9014269,6998458847.9062
1759334400000,2025-10-01T16:00:00Z,811.44,834.46,808,820.5,6616429,5449776252.218
1759420800000,2025-10-02T16:00:00Z,820.86,844.69,812.81,838.05,4178638,3457516963.6238
1759507200000,2025-10-03T16:00:00Z,838.03,848.13,834.9259,839.945,2258136,1899387694.8587
1759680000000,2025-10-05T16:00:00Z,838.99,856.57,835.065,848.395,1655517,1407058768.0087
1759766400000,2025-10-06T16:00:00Z,848.585,850,836.58,843.375,2337599,1975787441.6903
1759852800000,2025-10-07T16:00:00Z,845.23,856,841.77,852.02,2104313,1783422656.9914
1759939200000,2025-10-08T16:00:00Z,850.94,860.25,844.91,851.995,1815642,1545517028.6042
1760025600000,2025-10-09T16:00:00Z,853.11,867.98,843.78,848.21,2159682,1845884959.6687
1760112000000,2025-10-10T16:00:00Z,847.4,848.61,825.0001,828.25,1552647,1299371605.3427
1760284800000,2025-10-12T16:00:00Z,829,842.54,823.88,829.38,788481,653477754.2866
1760371200000,2025-10-13T16:00:00Z,827.595,828.67,806,812.24,1870461,1530314194.9583
1760457600000,2025-10-14T16:00:00Z,811.61,826.79,807.8,824.77,1476793,1205457502.383
1760544000000,2025-10-15T16:00:00Z,825.63,834.71,819.09,823.45,1720691,1422399239.023
1760630400000,2025-10-16T16:00:00Z,823.82,825.225,776,795.65,3079909,2469210567.8193
1760716800000,2025-10-17T16:00:00Z,793.77,804.44,789.85,802.111,1647474,1315164774.9498
