ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1754668800000,2025-08-08T16:00:00Z,207.0225,207.92,204.2,205.04,894098,183943271.4158
1754841600000,2025-08-10T16:00:00Z,204.29,206.12,200.1,201.92,750770,152866128.7827
1754928000000,2025-08-11T16:00:00Z,201.865,204,197.23,199.4,2008789,403439838.9255
1755014400000,2025-08-12T16:00:00Z,199.22,204.86,198.61,199.6,2153942,433306258.3631
1755100800000,2025-08-13T16:00:00Z,199.66,199.98,192.955,194.35,2291026,451030151.5227
1755187200000,2025-08-14T16:00:00Z,194.41,201.87,193.26,201.05,1998741,392520992.0486
1755273600000,2025-08-15T16:00:00Z,201.0484,202.8999,200.63,200.92,1040234,209748526.9149
1755446400000,2025-08-17T16:00:00Z,200.81,201.23,196.56,200.95,1223482,243466243.8871
1755532800000,2025-08-18T16:00:00Z,200.9,204.1615,196.08,197.095,1549143,310595240.2809
1755619200000,2025-08-19T16:00:00Z,197.09,197.85,184.52,188.895,2832072,542221094.1905
1755705600000,2025-08-20T16:00:00Z,188.92,195.88,188.71,191.8,1655362,317358615.5372
1755792000000,2025-08-21T16:00:00Z,191.77,197.99,190.4761,195.77,1261079,244005500.7098
1755878400000,2025-08-22T16:00:00Z,196,196.79,194.2901,196.4,704761,138095791.4455
1756051200000,2025-08-24T16:00:00Z,197.01,197.46,194.13,197.33,394511,77394014.3554
1756137600000,2025-08-25T16:00:00Z,196.93,201.4999,195,198.19,1267274,251164290.7611
1756224000000,2025-08-26T16:00:00Z,198.155,205.37,197.6,204.49,1660637,333900036.1573
1756310400000,2025-08-27T16:00:00Z,204.62,213.79,202.4,212.445,2370888,493073365.0627
1756396800000,2025-08-28T16:00:00Z,212.4,215.65,206,208.225,1886832,400201933.1235
1756483200000,2025-08-29T16:00:00Z,208.415,209.1699,206.71,208.5,1108838,230621248.3822
1756742400000,2025-09-01T16:00:00Z,209,210,199.39,204.305,955728,195531822.1046
1756828800000,2025-09-02T16:00:00Z,204.68,209,203.86,206.98,1132853,234246283.9239
1756915200000,2025-09-03T16:00:00Z,207.18,208.96,200.67,208.31,1101626,226449678.166
1757001600000,2025-09-04T16:00:00Z,208.25,214.71,207.7985,211.89,1741103,366628624.5481
1757088000000,2025-09-05T16:00:00Z,211.78,214.8884,210.9,214.2,759515,162031012.7351
1757260800000,2025-09-07T16:00:00Z,213.98,220.75,213.98,218.85,1156315,252927874.5602
