ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1754668800000,2025-08-08T16:00:00Z,100.475,100.48,100.47,100.48,6791736,682408677.5226
1754841600000,2025-08-10T16:00:00Z,100.47,100.5,100.47,100.4881,7129459,716418287.6741
1754928000000,2025-08-11T16:00:00Z,100.485,100.51,100.48,100.5,11093335,1114787166.5429
1755014400000,2025-08-12T16:00:00Z,100.5,100.52,100.49,100.5047,13523449,1359118565.8556
1755100800000,2025-08-13T16:00:00Z,100.51,100.53,100.5,100.52,10285105,1033846663.2217
1755187200000,2025-08-14T16:00:00Z,100.5233,100.56,100.52,100.5565,9174147,922354678.7051
1755273600000,2025-08-15T16:00:00Z,100.5518,100.56,100.55,100.56,5835096,586763455.8216
1755446400000,2025-08-17T16:00:00Z,100.56,100.58,100.56,100.5699,7078882,711911687.9347
1755532800000,2025-08-18T16:00:00Z,100.5699,100.59,100.56,100.585,12074084,1214353605.0256
1755619200000,2025-08-19T16:00:00Z,100.5872,100.6,100.58,100.595,10662833,1072577111.2201
1755705600000,2025-08-20T16:00:00Z,100.5998,100.62,100.59,100.61,10167980,1022903836.7992
1755792000000,2025-08-21T16:00:00Z,100.605,100.64,100.6,100.64,9784938,984584341.7083
1755878400000,2025-08-22T16:00:00Z,100.635,100.64,100.63,100.64,7655340,770412559.8647
1756051200000,2025-08-24T16:00:00Z,100.64,100.66,100.64,100.655,7294347,734192460.6506
1756137600000,2025-08-25T16:00:00Z,100.6502,100.67,100.64,100.665,10118437,1018492958.5848
1756224000000,2025-08-26T16:00:00Z,100.665,100.68,100.66,100.67,7871100,792372034.0115
1756310400000,2025-08-27T16:00:00Z,100.675,100.7,100.67,100.685,7649065,770111649.3139
1756396800000,2025-08-28T16:00:00Z,100.6829,100.74,100.68,100.735,16588103,1670642608.2307
1756483200000,2025-08-29T16:00:00Z,100.74,100.74,100.715,100.73,9318375,938619516.7255
1756742400000,2025-09-01T16:00:00Z,100.44,100.49,100.38,100.39,17143614,1720999052.0124
1756828800000,2025-09-02T16:00:00Z,100.385,100.41,100.38,100.41,17194439,1726176857.9442
1756915200000,2025-09-03T16:00:00Z,100.41,100.425,100.39,100.425,12864275,1291645599.9561
1757001600000,2025-09-04T16:00:00Z,100.425,100.46,100.4,100.445,12727402,1278268628.8046
1757088000000,2025-09-05T16:00:00Z,100.45,100.46,100.44,100.45,7580885,761476589.4354
1757260800000,2025-09-07T16:00:00Z,100.44,100.47,100.44,100.465,7010013,704246922.5422
1757347200000,2025-09-08T16:00:00Z,100.465,100.49,100.45,100.465,10160342,1020800130.3901
1757433600000,2025-09-09T16:00:00Z,100.465,100.49,100.46,100.485,10977054,1102958249.9169
1757520000000,2025-09-10T16:00:00Z,100.485,100.5,100.48,100.485,8778240,882117369.0268
1757606400000,2025-09-11T16:00:00Z,100.485,100.54,100.485,100.53,9582402,963160723.9361
1757692800000,2025-09-12T16:00:00Z,100.535,100.54,100.52,100.53,5786459,581736662.5079
1757865600000,2025-09-14T16:00:00Z,100.54,100.55,100.525,100.53,6925225,696237868.0612
1757952000000,2025-09-15T16:00:00Z,100.535,100.56,100.525,100.555,13715909,1379052803.7024
1758038400000,2025-09-16T16:00:00Z,100.555,100.57,100.54,100.565,8875234,892489282.5661
1758124800000,2025-09-17T16:00:00Z,100.565,100.59,100.56,100.58,13520951,1359814801.5519
1758211200000,2025-09-18T16:00:00Z,100.58,100.62,100.57,100.615,10786298,1085019191.976
1758297600000,2025-09-19T16:00:00Z,100.615,100.62,100.61,100.62,6485165,652506544.6687
1758470400000,2025-09-21T16:00:00Z,100.62,100.63,100.61,100.62,6193076,623164847.4753
1758556800000,2025-09-22T16:00:00Z,100.62,100.64,100.61,100.635,10708083,1077539337.0307
1758643200000,2025-09-23T16:00:00Z,100.6361,100.655,100.63,100.655,10617999,1068582384.7624
1758729600000,2025-09-24T16:00:00Z,100.655,100.66,100.64,100.655,9911222,997555979.742
1758816000000,2025-09-25T16:00:00Z,100.655,100.695,100.65,100.6876,10545035,1061541155.4004
1758902400000,2025-09-26T16:00:00Z,100.695,100.7,100.68,100.685,6187889,623026533.136
1759075200000,2025-09-28T16:00:00Z,100.66,100.71,100.65,100.6958,7093580,714295783.6548
1759161600000,2025-09-29T16:00:00Z,100.695,100.715,100.69,100.715,18333665,1846213841.077
1759248000000,2025-09-30T16:00:00Z,100.715,100.715,100.37,100.375,24785235,2491290962.1266
1759334400000,2025-10-01T16:00:00Z,100.375,100.4,100.37,100.39,18347003,1841662644.8186
1759420800000,2025-10-02T16:00:00Z,100.375,100.42,100.375,100.41,12341263,1239070675.6189
1759507200000,2025-10-03T16:00:00Z,100.405,100.42,100.405,100.42,7952654,798582656.0373
1759680000000,2025-10-05T16:00:00Z,100.43,100.44,100.42,100.425,7040727,707079102.6674
1759766400000,2025-10-06T16:00:00Z,100.425,100.45,100.42,100.425,13243681,1330081414.1778
1759852800000,2025-10-07T16:00:00Z,100.425,100.45,100.42,100.45,13654104,1371441560.6406
1759939200000,2025-10-08T16:00:00Z,100.45,100.47,100.44,100.47,17446179,1752490185.5541
1760025600000,2025-10-09T16:00:00Z,100.47,100.51,100.45,100.51,15332429,1540566648.6011
1760112000000,2025-10-10T16:00:00Z,100.51,100.52,100.485,100.5,11659212,1171763143.4736
1760284800000,2025-10-12T16:00:00Z,100.49,100.52,100.49,100.505,7703493,774242475.6178
1760371200000,2025-10-13T16:00:00Z,100.505,100.52,100.5,100.515,11840921,1190120914.8637
1760457600000,2025-10-14T16:00:00Z,100.515,100.54,100.5,100.525,12969258,1303648977.5056
1760544000000,2025-10-15T16:00:00Z,100.525,100.54,100.52,100.5341,10729935,1078682059.1416
1760630400000,2025-10-16T16:00:00Z,100.535,100.58,100.53,100.56,13669568,1374456078.6396
1760716800000,2025-10-17T16:00:00Z,100.57,100.58,100.56,100.57,8633894,868292348.7563
1760889600000,2025-10-19T16:00:00Z,100.58,100.6,100.55,100.59,8329811,837808455.3128
1760976000000,2025-10-20T16:00:00Z,100.59,100.6,100.57,100.59,14025351,1410734891.369
1761062400000,2025-10-21T16:00:00Z,100.595,100.62,100.58,100.605,9470521,952734346.3894
1761148800000,2025-10-22T16:00:00Z,100.605,100.63,100.6,100.615,10347672,1041100387.5191
1761235200000,2025-10-23T16:00:00Z,100.615,100.65,100.61,100.645,9444776,950420532.5234
1761321600000,2025-10-24T16:00:00Z,100.6435,100.66,100.635,100.65,8064157,811640587.3935
1761494400000,2025-10-26T16:00:00Z,100.65,100.67,100.64,100.66,7755949,780681425.3028
1761580800000,2025-10-27T16:00:00Z,100.655,100.68,100.645,100.675,23786927,2394453818.5592
1761667200000,2025-10-28T16:00:00Z,100.665,100.695,100.66,100.695,10922801,1099698300.9761
1761753600000,2025-10-29T16:00:00Z,100.695,100.7,100.68,100.685,13636942,1373091409.4876
1761840000000,2025-10-30T16:00:00Z,100.685,100.74,100.68,100.725,18678517,1881154677.5999
1761926400000,2025-10-31T16:00:00Z,100.725,100.73,100.72,100.72,11397739,1148025071.3231
1762099200000,2025-11-02T16:00:00Z,100.39,100.48,100.37,100.385,14220957,1427729343.8179
1762185600000,2025-11-03T16:00:00Z,100.385,100.42,100.38,100.4,19739735,1981809672.2514
1762272000000,2025-11-04T16:00:00Z,100.4,100.43,100.39,100.4,13000169,1305281208.3727
1762358400000,2025-11-05T16:00:00Z,100.4,100.43,100.4,100.4299,11113627,1116024615.5569
1762444800000,2025-11-06T16:00:00Z,100.43,100.46,100.415,100.455,20846660,2093852153.4459
1762531200000,2025-11-07T16:00:00Z,100.455,100.46,100.45,100.46,9923149,996844117.2759
1762704000000,2025-11-09T16:00:00Z,100.46,100.49,100.45,100.4798,6116305,614544146.168
1762790400000,2025-11-10T16:00:00Z,100.485,100.5,100.46,100.475,11191926,1124518814.5549
1762876800000,2025-11-11T16:00:00Z,100.475,100.5,100.47,100.485,8519084,855990877.863
1762963200000,2025-11-12T16:00:00Z,100.4801,100.5,100.48,100.495,9256585,930190055.9754
1763049600000,2025-11-13T16:00:00Z,100.495,100.56,100.49,100.535,13316563,1338442729.9453
1763136000000,2025-11-14T16:00:00Z,100.54,100.54,100.52,100.53,7457620,749692524.1948
1763308800000,2025-11-16T16:00:00Z,100.55,100.55,100.525,100.525,6230751,626421886.2646
1763395200000,2025-11-17T16:00:00Z,100.5348,100.6,100.525,100.555,13056006,1312658004.7437
1763481600000,2025-11-18T16:00:00Z,100.555,100.58,100.54,100.56,13469070,1354332923.8477
1763568000000,2025-11-19T16:00:00Z,100.56,100.58,100.55,100.57,22588218,2271483912.7375
1763654400000,2025-11-20T16:00:00Z,100.57,100.62,100.56,100.61,17125124,1722462809.0837
1763740800000,2025-11-21T16:00:00Z,100.61,100.61,100.59,100.6,9493496,955023642.3051
1763913600000,2025-11-23T16:00:00Z,100.6,100.63,100.57,100.615,7140663,718444042.0758
1764000000000,2025-11-24T16:00:00Z,100.615,100.63,100.6,100.615,12033269,1210750185.2663
1764086400000,2025-11-25T16:00:00Z,100.615,100.65,100.61,100.65,18998464,1911804433.7604
1764172800000,2025-11-26T16:00:00Z,100.64,100.65,100.63,100.6471,8264744,831800536.2437
1764259200000,2025-11-27T16:00:00Z,100.68,100.69,100.64,100.675,11906941,1198614161.3731
1764345600000,2025-11-28T16:00:00Z,100.675,100.68,100.66,100.67,11986743,1206675229.6912
1764518400000,2025-11-30T16:00:00Z,100.67,100.67,100.33,100.375,13511580,1356276394.717
1764604800000,2025-12-01T16:00:00Z,100.375,100.41,100.37,100.395,21244540,2132553401.7022
1764691200000,2025-12-02T16:00:00Z,100.395,100.42,100.39,100.41,13556108,1361047672.2577
1764777600000,2025-12-03T16:00:00Z,100.41,100.43,100.4,100.42,14709329,1477008091.6389
1764864000000,2025-12-04T16:00:00Z,100.42,100.46,100.415,100.45,14814870,1487901186.9166
1764950400000,2025-12-05T16:00:00Z,100.45,100.46,100.44,100.45,12116551,1217121939.2056
1765123200000,2025-12-07T16:00:00Z,100.46,100.47,100.45,100.45,8141368,817880795.2655
1765209600000,2025-12-08T16:00:00Z,100.45,100.48,100.45,100.47,12454662,1251236848.475
1765296000000,2025-12-09T16:00:00Z,100.47,100.49,100.47,100.48,12528967,1258842575.473
1765382400000,2025-12-10T16:00:00Z,100.48,100.5,100.47,100.495,13043601,1310709027.6689
1765468800000,2025-12-11T16:00:00Z,100.495,100.53,100.48,100.52,20053357,2015369820.094
1765555200000,2025-12-12T16:00:00Z,100.525,100.53,100.52,100.53,8615205,866045568.0334
1765728000000,2025-12-14T16:00:00Z,100.54,100.55,100.52,100.5352,6828404,686496957.2896
1765814400000,2025-12-15T16:00:00Z,100.535,100.55,100.53,100.545,11439218,1150079606.8201
1765900800000,2025-12-16T16:00:00Z,100.545,100.57,100.53,100.555,10655498,1071391668.5469
1765987200000,2025-12-17T16:00:00Z,100.555,100.57,100.55,100.565,16301710,1639287436.4435
1766073600000,2025-12-18T16:00:00Z,100.565,100.57,100.26,100.275,20997564,2109701883.7897
1766160000000,2025-12-19T16:00:00Z,100.275,100.28,100.27,100.2716,11482807,1151445692.9751
1766332800000,2025-12-21T16:00:00Z,100.27,100.29,100.27,100.275,6823840,684318999.0554
1766419200000,2025-12-22T16:00:00Z,100.27,100.31,100.27,100.295,15850609,1589639523.8516
1766505600000,2025-12-23T16:00:00Z,100.29,100.57,100.29,100.305,11130773,1116440989.3402
