ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1783612800000,2026-07-09T16:00:00Z,170.87,176.37,166.26,172.38,52121363.71111601,8934034347.40408638
1783699200000,2026-07-10T16:00:00Z,172.37,177.01,167.935,172.099,77678855.615438,13335972354.3258505759
1783872000000,2026-07-12T16:00:00Z,152.19,174.2,150,153,34990494.14120899097,5442108622.84953561
1783958400000,2026-07-13T16:00:00Z,153.04,182.76,149.55,178.55,59812642.36239400014,9880940035.71104138
1784044800000,2026-07-14T16:00:00Z,178.6,195.5984,170.36,171.11,78106386.6667260032,14250840600.5560414
1784131200000,2026-07-15T16:00:00Z,171.2,180.91,159.3701,161.56,57554082.41002299401,9756105281.03671525
1784217600000,2026-07-16T16:00:00Z,161.575,164.33,145.5701,164.13,69883185.28651599742,10875483327.2764174
1784304000000,2026-07-17T16:00:00Z,164.055,167.37,152.36,153.55,33549862.92966799914,5350242133.59066867
1784476800000,2026-07-19T16:00:00Z,153,164.05,152.37,158.14,22857370.6980329969,3626233301.10462201
1784563200000,2026-07-20T16:00:00Z,158.14,168.98,149.74,164.87,37478564.68662199955,5983245226.11922989
1784649600000,2026-07-21T16:00:00Z,164.75,175.96,158.75,169.06,35383685.84642400161,5946828507.78395526
1784736000000,2026-07-22T16:00:00Z,169.01,177.93,164.5,172.57,33305688.54804700116,5702173877.01384785
1784822400000,2026-07-23T16:00:00Z,172.54,176.29,156.4,158.86,29341184.48848099979,4862753922.46533774
1784908800000,2026-07-24T16:00:00Z,158.79,159.7085,152.81,152.99,11429789.5638389995,1774579476.68476214
1785081600000,2026-07-26T16:00:00Z,162.52,164.84,139.25,141.45,30513761.27662599991,4512694734.73818851
1785168000000,2026-07-27T16:00:00Z,141.76,146.3,128.2901,133.13,49928685.15456999903,6802906090.62604604
1785254400000,2026-07-28T16:00:00Z,133.28,138.69,113.7,128.03,62833207.09108900296,8118871596.4229543
1785340800000,2026-07-29T16:00:00Z,128.33,149.3,120.35,146.71,66921314.28246399896,9012879107.60429919
1785427200000,2026-07-30T16:00:00Z,146.87,162.65,144.65,146.525,53245229.20542999847,8068805947.35333058
1785513600000,2026-07-31T16:00:00Z,146.69,149.5899,141.86,142.99,12354216.81446600052,1804954010.0409345
1785600000000,2026-08-01T16:00:00Z,143.07,151.97,141.61,144.02,365.678,52460.868014
1785686400000,2026-08-02T16:00:00Z,144.6,149.98,134.58,139.15,18789268.79587600119,2611876335.31695051
1785772800000,2026-08-03T16:00:00Z,139.205,152.65,139.05,150.38,31570107.53073299464,4623603466.48728142
1785859200000,2026-08-04T16:00:00Z,150.46,156.5,148.3,153.8,26063955.1826359987,3988836625.93986078
1785945600000,2026-08-05T16:00:00Z,153.99,155.95,137.71,144.45,22785799.33485400226,3326855194.76730364
1786032000000,2026-08-06T16:00:00Z,144.47,146.14,133.8,137.88,34080128.29151000173,4756740794.94458004
1786118400000,2026-08-07T16:00:00Z,138,138.82,135.44,138.135,9128729.02474799877,1252014824.93016795
1786204800000,2026-08-08T16:00:00Z,139.04,139.2,138.49,138.82,85.1455,11823.719
1786291200000,2026-08-09T16:00:00Z,140.01,142.38,134.28,136.49,11203232.06435700003,1530306627.39190626
1786377600000,2026-08-10T16:00:00Z,136.54,140.55,133.88,138.81,17269160.28494699956,2377780608.37513043
1786464000000,2026-08-11T16:00:00Z,138.8,154.8,138.4009,152.65,23741688.95747899894,3509944828.71296004
1786550400000,2026-08-12T16:00:00Z,152.81,168.44,150.98,166.19,30028310.44061799646,4781641060.42715328
1786636800000,2026-08-13T16:00:00Z,166.321,171.54,162.6,165.114,31859900.729421,5329833476.8970467547
1786723200000,2026-08-14T16:00:00Z,165.19,166.84,164.49,166.67,6496585.98595699999,1074745162.2160634648
1786809600000,2026-08-15T16:00:00Z,166.73,168.46,166.73,167.35,63.1952,10594.946128
1786896000000,2026-08-16T16:00:00Z,167.35,178.09,166.575,175.54,15324437.14263099951,2669838047.4739849924
1786982400000,2026-08-17T16:00:00Z,175.603,178.43,156.174,157.74,26708357.843148,4461531409.2107765831
1787068800000,2026-08-18T16:00:00Z,157.758,166.88,150.02,159.349,27343170.028778,4374324774.5537074047
1787155200000,2026-08-19T16:00:00Z,159.354,166.33,155.82,163.218,14395967.324447,2293502634.0533434332
1787241600000,2026-08-20T16:00:00Z,163.214,168.66,160.9,166.577,18854996.547624,3101057826.5248159915
1787328000000,2026-08-21T16:00:00Z,166.584,166.761,161.41,162.86,6874956.84757,1129168379.3902683137
1787414400000,2026-08-22T16:00:00Z,162.93,167.32,162.93,166.68,594.1837,98196.120589
1787500800000,2026-08-23T16:00:00Z,166.68,169.88,151.53,155.78,11686421.05592100116,1818108217.4041962689
1787587200000,2026-08-24T16:00:00Z,155.759,161.2,150.96,158.937,19672598.853463,3094721379.572461547
1787673600000,2026-08-25T16:00:00Z,158.928,161.47,157.17,159.822,12506102.176293,1989307177.7171214701
1787760000000,2026-08-26T16:00:00Z,159.82,166.58,156.897,161.46,15290210.708128000326,2468711309.0802895395547852
1787846400000,2026-08-27T16:00:00Z,161.497,163.54,157.88,160.977,14824132.747297,2383539588.0384993495
1787932800000,2026-08-28T16:00:00Z,160.976,162.3,159.902,161.73,6041802.518322000398,973577018.2028346956
1788019200000,2026-08-29T16:00:00Z,161.81,164.12,161.72,163.51,288.5112,47139.496589
1788105600000,2026-08-30T16:00:00Z,163.54,165.03,155.28,162.21,7711220.553447999552,1256122233.1710937691799352
1788192000000,2026-08-31T16:00:00Z,162.19,166.29,159.4,163.47,12687617.612099000053,2061448566.1681923672
1788278400000,2026-09-01T16:00:00Z,163.5,163.536,157.581,162.545,10978156.620550999416,1762629064.4487420855
1788364800000,2026-09-02T16:00:00Z,162.584,165.46,157.37,161.438,20303007.743494,3275351781.8792356401
1788451200000,2026-09-03T16:00:00Z,164.51,171.09,164.25,171.01,22065636.974271,3677664713.4059111765
1788537600000,2026-09-04T16:00:00Z,174.9,176.64,174.58,175.45,255.9814,45094.201355
1788624000000,2026-09-05T16:00:00Z,175.48,177.11,174.32,175.68,244.3672,42998.140095
1788710400000,2026-09-06T16:00:00Z,175.69,180.3,175.62,179.94,793.979,141615.226675
1788796800000,2026-09-07T16:00:00Z,179.89,189.815,179.022,188.8,16921734.456602,3146559404.9233984161
1788883200000,2026-09-08T16:00:00Z,188.73,196.48,183.96,193.8,28654671.66059000002,5468088912.424921642776674
1788969600000,2026-09-09T16:00:00Z,193.805,199.865,187.17,193.015,30458617.367659,5910258678.4600226198
1789056000000,2026-09-10T16:00:00Z,192.99,194.7199,185.3,191.72,20439416.644003,3880283939.4966630208
1789142400000,2026-09-11T16:00:00Z,191.72,192.17,189.3,190.94,6273990.696438,1194409700.115062504
