ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1754668800000,2025-08-08T16:00:00Z,44.19,44.85,41.3624,44.67,2362443,104987431.6951
1754841600000,2025-08-10T16:00:00Z,44.61,46.68,44.3501,45.135,1094437,49688198.3139
1754928000000,2025-08-11T16:00:00Z,45.14,47.25,43.17,47.22,2556179,115322636.2679
1755014400000,2025-08-12T16:00:00Z,47.25,48.46,46,47.115,2468756,116796301.0385
1755100800000,2025-08-13T16:00:00Z,47.15,48.49,46.08,46.88,1911438,89783834.4787
1755187200000,2025-08-14T16:00:00Z,46.88,48.5,41.21,44.875,5453022,244569586.9654
1755273600000,2025-08-15T16:00:00Z,44.92,45.57,44.315,44.5019,3176523,142326913.6654
1755446400000,2025-08-17T16:00:00Z,44.4,45.87,44.25,45.4,663893,30014920.2792
1755532800000,2025-08-18T16:00:00Z,45.39,46.5,44.2937,45.37,1799764,81832206.3938
1755619200000,2025-08-19T16:00:00Z,45.35,45.35,43.2016,43.735,1945869,86362514.7231
1755705600000,2025-08-20T16:00:00Z,43.725,45.25,43.56,44.7,1104426,48905062.4482
1755792000000,2025-08-21T16:00:00Z,44.655,47.2,44.42,46.31,1872677,85697869.2679
1755878400000,2025-08-22T16:00:00Z,46.41,46.48,45.94,46.22,913662,42285018.62
1756051200000,2025-08-24T16:00:00Z,46.86,46.86,46.01,46.54,251151,11704186.7824
1756137600000,2025-08-25T16:00:00Z,46.555,48.21,45.99,47.59,1105536,51965894.5681
1756224000000,2025-08-26T16:00:00Z,47.54,49.09,47.28,48.945,1452311,69415111.5545
1756310400000,2025-08-27T16:00:00Z,48.94,50.26,48.16,49.74,2023369,99080553.709
1756396800000,2025-08-28T16:00:00Z,49.725,52.94,49.69,51.05,3470630,178108244.0673
1756483200000,2025-08-29T16:00:00Z,51.1,52.75,50.92,52.75,1705799,88618082.9435
1756742400000,2025-09-01T16:00:00Z,52.99,53.19,50.07,50.94,476525,24277337.3388
1756828800000,2025-09-02T16:00:00Z,51.14,52.3724,50.65,52.03,1491479,76554455.9148
1756915200000,2025-09-03T16:00:00Z,51.87,61,51.83,59.805,5332240,305822680.0618
1757001600000,2025-09-04T16:00:00Z,59.77,67.7756,59.28,65.05,10068689,634953197.8797
1757088000000,2025-09-05T16:00:00Z,65.06,69,64.95,68.2499,3842639,258426421.1354
1757260800000,2025-09-07T16:00:00Z,68.74,72,66.606,69.25,2101035,145763994.2239
1757347200000,2025-09-08T16:00:00Z,69.07,73.39,68.86,70.56,4632334,325123084.295
1757433600000,2025-09-09T16:00:00Z,70.56,74,69.57,73.11,3238410,231726335.2201
1757520000000,2025-09-10T16:00:00Z,73.155,85.89,72.49,83.95,8451168,684541713.8054
1757606400000,2025-09-11T16:00:00Z,83.99,86.58,82.22,83.235,6175541,517035935.1012
1757692800000,2025-09-12T16:00:00Z,83.16,86.96,82.96,86.14,2729027,233550964.2105
1757865600000,2025-09-14T16:00:00Z,91,91.25,85.12,90.895,4000724,356270157.1991
1757952000000,2025-09-15T16:00:00Z,90.78,93.13,88.87,90.68,7658047,695019596.0824
1758038400000,2025-09-16T16:00:00Z,90.695,92.5,89.99,91.12,4259188,389385923.8774
1758124800000,2025-09-17T16:00:00Z,90.98,102.93,90.22,102.47,8807838,850217355.75
1758211200000,2025-09-18T16:00:00Z,102.385,102.8599,96,99.535,6050742,601989904.0279
1758297600000,2025-09-19T16:00:00Z,99.58,102.99,99.58,102.5,2371414,241502870.9943
1758470400000,2025-09-21T16:00:00Z,102,108.8,101.59,104.15,3739738,389079542.4891
1758556800000,2025-09-22T16:00:00Z,103.87,109.55,101.6,108.43,7259650,765012019.5969
1758643200000,2025-09-23T16:00:00Z,108.375,110.21,101.02,101.54,8138818,860022931.8658
1758729600000,2025-09-24T16:00:00Z,101.51,106.99,94.51,97.96,11311321,1115244213.6507
1758816000000,2025-09-25T16:00:00Z,98.085,99.6462,92.4,96.13,8333871,798991857.5201
