ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1754668800000,2025-08-08T16:00:00Z,60.51,61.5,60.01,60.5887,4385558,266615383.9386
1754841600000,2025-08-10T16:00:00Z,60.6,64.85,59.56,60.76,7983048,495507694.5627
1754928000000,2025-08-11T16:00:00Z,60.815,64.18,59.82,63.785,11790093,731106169.1016
1755014400000,2025-08-12T16:00:00Z,63.76,71.85,62.9373,70.97,19519593,1326840633.9723
1755100800000,2025-08-13T16:00:00Z,70.94,74.4,66.15,71.55,16603764,1176364451.9962
1755187200000,2025-08-14T16:00:00Z,71.515,75.73,69.34,72.82,12863800,932168813.3001
1755273600000,2025-08-15T16:00:00Z,72.77,75.14,72.25,73.53,5622310,415957188.904
1755446400000,2025-08-17T16:00:00Z,74.32,76.89,70.49,75.66,7992728,592948861.9431
1755532800000,2025-08-18T16:00:00Z,75.64,78.99,74.5,75.4244,13343984,1025588763.3437
1755619200000,2025-08-19T16:00:00Z,75.38,76.6,67.02,68.3,13256763,947138784.0014
1755705600000,2025-08-20T16:00:00Z,68.295,78.15,68.24,77.515,14646120,1087384787.462
1755792000000,2025-08-21T16:00:00Z,77.515,85.2799,75.27,84.04,17846287,1425644651.6522
1755878400000,2025-08-22T16:00:00Z,84.045,84.54,80.1,81.19,6716263,548053782.1901
1756051200000,2025-08-24T16:00:00Z,81.26,81.8,77.56,77.9113,5617704,444668116.5078
1756137600000,2025-08-25T16:00:00Z,77.95,78.24,74.49,75.95,7516156,573377248.8068
1756224000000,2025-08-26T16:00:00Z,75.94,76.95,72.61,73.23,6606764,493097642.7409
1756310400000,2025-08-27T16:00:00Z,73.23,74.51,71.41,74.03,5312788,390322244.0892
1756396800000,2025-08-28T16:00:00Z,74.055,75.79,72.23,75.3,6337498,469478686.9951
1756483200000,2025-08-29T16:00:00Z,75.37,76.39,74.6101,75.4999,3380988,255129256.4029
1756742400000,2025-09-01T16:00:00Z,75.51,76.89,71.4,75.16,5238412,391068025.1426
1756828800000,2025-09-02T16:00:00Z,75.29,80.75,74.17,77.745,7629817,591951715.9092
1756915200000,2025-09-03T16:00:00Z,77.59,77.9,73.44,74.39,5349056,403382855.9917
1757001600000,2025-09-04T16:00:00Z,74.16,80.8,74.08,77.235,8348625,648941742.1942
1757088000000,2025-09-05T16:00:00Z,77.245,80.005,76.66,78.62,3515600,277737171.6176
1757260800000,2025-09-07T16:00:00Z,79.02,83.27,78.69,81.78,5438125,443260278.2942
