ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1754668800000,2025-08-08T16:00:00Z,49.05,49.075,48.05,48.23,680117,32903377.8893
1754841600000,2025-08-10T16:00:00Z,47.81,48.91,47.04,47.295,450101,21559582.6498
1754928000000,2025-08-11T16:00:00Z,47.28,47.3,45.91,46.815,759503,35265548.5156
1755014400000,2025-08-12T16:00:00Z,46.7,47.06,45.52,45.79,840486,38828584.4375
1755100800000,2025-08-13T16:00:00Z,45.79,47.25,45.51,46.7225,697496,32332199.6181
1755187200000,2025-08-14T16:00:00Z,46.63,48.13,46.25,47.3275,696012,32868622.903
1755273600000,2025-08-15T16:00:00Z,47.36,48.86,46.45,48.86,512590,24101059.3434
1755446400000,2025-08-17T16:00:00Z,47.17,47.82,46.78,47.31,327605,15496762.2352
1755532800000,2025-08-18T16:00:00Z,47.31,52.5,47.23,51.38,2440755,123964991.0734
1755619200000,2025-08-19T16:00:00Z,51.38,51.56,47.97,48.615,1185723,59472117.7429
1755705600000,2025-08-20T16:00:00Z,48.615,50.53,48.45,49.93,917471,45552628.7505
1755792000000,2025-08-21T16:00:00Z,49.95,54.8,49.39,54.165,1501351,78817547.6049
1755878400000,2025-08-22T16:00:00Z,54.09,54.99,53.8,54.65,941905,51388646.9624
1756051200000,2025-08-24T16:00:00Z,54.16,56.97,54.1001,56.739,654587,36673467.5324
1756137600000,2025-08-25T16:00:00Z,56.72,59.78,56.65,59.71,3150833,183209106.8675
1756224000000,2025-08-26T16:00:00Z,59.69,60.9,59.17,60.375,3044594,182596936.6403
1756310400000,2025-08-27T16:00:00Z,60.375,61.638,58.69,60.65,1836315,110214746.4512
1756396800000,2025-08-28T16:00:00Z,60.65,61.36,59.03,59.145,1441504,86943829.6144
1756483200000,2025-08-29T16:00:00Z,59.18,59.24,58.31,58.83,974145,57247638.2529
1756742400000,2025-09-01T16:00:00Z,57.85,59.45,56.3,58.72,682655,39906954.692
1756828800000,2025-09-02T16:00:00Z,58.8,63.55,58.73,63.39,1803374,110644265.9489
1756915200000,2025-09-03T16:00:00Z,63.34,63.47,61.27,61.77,1777160,110455034.844
1757001600000,2025-09-04T16:00:00Z,61.79,64.87,61.7,62.615,949584,59708053.3323
1757088000000,2025-09-05T16:00:00Z,62.715,63.76,62.54,63.24,543408,34321325.3538
1757260800000,2025-09-07T16:00:00Z,63.92,65.425,63.56,63.7,364758,23439237.3329
1757347200000,2025-09-08T16:00:00Z,63.65,66.49,63.54,65.07,949402,61602347.3119
1757433600000,2025-09-09T16:00:00Z,65.12,67.63,64,66.995,1702647,112392374.144
1757520000000,2025-09-10T16:00:00Z,66.99,68.1,64.94,64.94,2098181,139900104.8588
1757606400000,2025-09-11T16:00:00Z,64.985,66.95,64.59,65.26,1199264,78555776.5375
1757692800000,2025-09-12T16:00:00Z,65.22,66.34,64.81,66.34,904462,59159881.5524
1757865600000,2025-09-14T16:00:00Z,66.1,66.89,65.2,65.805,362462,23883704.2797
1757952000000,2025-09-15T16:00:00Z,65.55,66.61,65.3334,65.63,998366,65918685.8424
1758038400000,2025-09-16T16:00:00Z,65.685,68.36,64.45,68.27,1639053,108572952.0002
1758124800000,2025-09-17T16:00:00Z,68.345,72.13,67.2,67.86,1438881,98546969.6195
1758211200000,2025-09-18T16:00:00Z,68.045,68.93,67.01,67.145,918721,62578572.6383
1758297600000,2025-09-19T16:00:00Z,67.17,67.38,65.3548,65.3548,638325,42749628.1758
1758470400000,2025-09-21T16:00:00Z,66.26,69.4,66.26,68.63,386251,26569962.1609
1758556800000,2025-09-22T16:00:00Z,68.605,70.33,68.53,68.76,911026,63135622.6055
1758643200000,2025-09-23T16:00:00Z,69.005,69.5244,67.7017,67.82,600046,41052959.2752
1758729600000,2025-09-24T16:00:00Z,67.75,68.885,66.302,68.685,774717,52412839.6066
1758816000000,2025-09-25T16:00:00Z,68.825,69.4,67.495,68.605,604237,41235827.0538
1758902400000,2025-09-26T16:00:00Z,68.615,68.76,67.74,68.5801,365587,24952719.5802
1759075200000,2025-09-28T16:00:00Z,70.11,70.78,69.59,69.905,270743,18972163.355
1759161600000,2025-09-29T16:00:00Z,69.97,71.84,69.1,71.72,842146,59678930.3903
1759248000000,2025-09-30T16:00:00Z,71.64,75.13,71.06,74.975,962710,70099519.2475
1759334400000,2025-10-01T16:00:00Z,74.76,76.35,73.365,74.535,1269307,94899983.8095
1759420800000,2025-10-02T16:00:00Z,74.835,76.8,72.5884,74.305,964710,72171237.737
1759507200000,2025-10-03T16:00:00Z,74.235,75.16,72.07,72.77,1036073,75837428.8987
1759680000000,2025-10-05T16:00:00Z,74.94,76.86,74.15,74.94,332784,25180818.8813
1759766400000,2025-10-06T16:00:00Z,74.91,75.04,71.2496,71.63,926288,68131698.8221
1759852800000,2025-10-07T16:00:00Z,71.73,72.88,71.42,72.45,746232,53821872.3477
1759939200000,2025-10-08T16:00:00Z,72.25,76.4126,71.19,74.45,814904,59956342.1043
1760025600000,2025-10-09T16:00:00Z,74.43,75.94,70.9,72.41,923467,67902387.0183
1760112000000,2025-10-10T16:00:00Z,72.35,72.56,68,70.99,483409,34660005.3913
1760284800000,2025-10-12T16:00:00Z,72.8,74.44,72.2,73.44,171348,12572180.1814
1760371200000,2025-10-13T16:00:00Z,73.53,74.14,70.91,72.8,565668,41347098.2011
1760457600000,2025-10-14T16:00:00Z,72.78,76,72.66,73.99,513023,38032546.3946
1760544000000,2025-10-15T16:00:00Z,73.89,75.62,71.55,73.64,632612,46990619.9401
1760630400000,2025-10-16T16:00:00Z,73.705,75.23,72.3,74.04,644880,47805221.4725
1760716800000,2025-10-17T16:00:00Z,74.06,74.25,72.835,73.5,509076,37504069.3949
1760889600000,2025-10-19T16:00:00Z,74.2,77.41,74.06,76.455,506161,38663105.7617
1760976000000,2025-10-20T16:00:00Z,76.44,76.73,74.1,74.75,644600,48704638.2273
1761062400000,2025-10-21T16:00:00Z,75.28,75.655,71.64,72.43,613388,45269849.757
1761148800000,2025-10-22T16:00:00Z,72.2,75.23,71.75,75.07,498354,36476211.9335
1761235200000,2025-10-23T16:00:00Z,74.93,77.77,72.06,76.72,526985,39952583.7241
1761321600000,2025-10-24T16:00:00Z,76.72,76.79,75.68,75.84,235815,17939074.739
1761494400000,2025-10-26T16:00:00Z,77.18,81.43,76.68,79.465,836174,66558454.3256
1761580800000,2025-10-27T16:00:00Z,79.39,80.34,77.04,79.275,849367,67128419.5505
1761667200000,2025-10-28T16:00:00Z,79.4,85.25,78.905,84.325,1774657,145909517.7432
1761753600000,2025-10-29T16:00:00Z,84.19,85.28,81.65,83.76,1449305,121063101.5422
1761840000000,2025-10-30T16:00:00Z,83.75,85.99,82.9823,84.19,1222582,102751426.9437
1761926400000,2025-10-31T16:00:00Z,84.18,85.25,83.19,84.98,1030230,86951861.5693
1762099200000,2025-11-02T16:00:00Z,85.27,85.41,82.37,83.52,519291,43528639.3051
1762185600000,2025-11-03T16:00:00Z,83.375,84.97,81.98,83.51,948256,79657625.8249
1762272000000,2025-11-04T16:00:00Z,83.75,86.4,79.27,86.02,1299808,109015681.0417
1762358400000,2025-11-05T16:00:00Z,86.23,89.82,84.915,85.25,1999256,174223139.0628
1762444800000,2025-11-06T16:00:00Z,85.11,86.35,82.12,82.935,1854311,156195653.2137
1762531200000,2025-11-07T16:00:00Z,82.7,84.69,80.63,84.69,1845323,151734472.5534
1762704000000,2025-11-09T16:00:00Z,86.07,97.19,84.99,95.13,2886642,265607072.4304
1762790400000,2025-11-10T16:00:00Z,95.04,102.5,94.76,98.065,3701494,364910509.8933
1762876800000,2025-11-11T16:00:00Z,98.25,106,96.48,104.81,2500178,253084706.4901
1762963200000,2025-11-12T16:00:00Z,104.805,108.59,98.46,99.515,2314633,241157871.153
1763049600000,2025-11-13T16:00:00Z,100.25,101.27,93.69,100.06,2386309,235773827.6893
1763136000000,2025-11-14T16:00:00Z,100.27,100.89,97.34,99.7899,799005,79644509.9456
1763308800000,2025-11-16T16:00:00Z,100.58,101.77,96.65,96.7,556738,54862274.714
1763395200000,2025-11-17T16:00:00Z,96.58,97.73,92.12,95.25,1396847,133854501.8331
1763481600000,2025-11-18T16:00:00Z,94.7,100.4,94.6546,98.74,1244549,121911189.7359
1763568000000,2025-11-19T16:00:00Z,98.97,104.01,96.69,101.68,1225578,123021996.3305
1763654400000,2025-11-20T16:00:00Z,101.59,101.89,86.98,89.05,2058501,190854668.2078
1763740800000,2025-11-21T16:00:00Z,88.975,94,87.9,94,1134431,104733473.2706
1763913600000,2025-11-23T16:00:00Z,94.15,97.3,92.99,97.04,396853,37954850.891
1764000000000,2025-11-24T16:00:00Z,97.29,97.56,92.95,95.2,1214349,115837804.7383
1764086400000,2025-11-25T16:00:00Z,95.25,104,94.93,103.86,1348557,134209649.6367
1764172800000,2025-11-26T16:00:00Z,103.76,106.04,103.05,103.46,1699196,177391624.4567
1764259200000,2025-11-27T16:00:00Z,103.7,109.06,102.01,107.25,515581,55340272.1931
1764345600000,2025-11-28T16:00:00Z,107.325,108.28,106.99,108.13,673287,72541444.1746
