ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1754668800000,2025-08-08T16:00:00Z,186.895,187.7,186.49,187.7,2628750,491839161.3684
1754841600000,2025-08-10T16:00:00Z,187.58,188.87,185.4,186.03,1826121,340900446.6033
1754928000000,2025-08-11T16:00:00Z,186.045,193.835,183.4,192.95,6992020,1317114214.5614
1755014400000,2025-08-12T16:00:00Z,192.93,194.5,191.21,191.425,5358915,1031697714.3411
1755100800000,2025-08-13T16:00:00Z,191.3755,194.2442,190.03,192.05,3426921,658573131.4987
1755187200000,2025-08-14T16:00:00Z,192.1,195.37,191.54,195.03,3937206,762752303.2685
1755273600000,2025-08-15T16:00:00Z,195.09,195.32,193.83,194.99,2460958,479135779.9544
1755446400000,2025-08-17T16:00:00Z,194.03,195.52,193.5,194.3439,650800,126601576.3701
1755532800000,2025-08-18T16:00:00Z,194.4,197.65,193.55,195.91,2317342,452641335.4295
1755619200000,2025-08-19T16:00:00Z,195.93,198.33,193.45,197.18,5159204,1013250664.6563
1755705600000,2025-08-20T16:00:00Z,197.105,202.18,197.105,200.65,5069881,1014808155.5557
1755792000000,2025-08-21T16:00:00Z,200.6,209.09,199.81,207.71,4073328,829638184.1627
1755878400000,2025-08-22T16:00:00Z,207.835,208.62,205.64,206.0869,2384308,493568915.5536
1756051200000,2025-08-24T16:00:00Z,207.48,207.49,204.56,204.785,830919,170524367.852
1756137600000,2025-08-25T16:00:00Z,204.765,207.41,204.54,205.98,2293576,472553750.2021
1756224000000,2025-08-26T16:00:00Z,206.11,207.01,203.2529,205.1,2812010,578101971.2454
1756310400000,2025-08-27T16:00:00Z,205.18,206.96,204.31,206.59,2784729,572517984.689
1756396800000,2025-08-28T16:00:00Z,206.71,207.134,201.57,202.795,3755120,767088990.5893
1756483200000,2025-08-29T16:00:00Z,202.93,203.26,201.56,201.6701,2028911,410415682.727
1756742400000,2025-09-01T16:00:00Z,201.74,202.51,197,197.28,1801447,357642359.6301
