ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1783872000000,2026-07-12T16:00:00Z,25.54,25.719,21.707,22.004,49703.07,1173557.65023
1783958400000,2026-07-13T16:00:00Z,22.004,24.607,19.332,23.203,201846.42,4433661.96872
1784044800000,2026-07-14T16:00:00Z,23.203,24.248,16.408,17.506,107367.86,2251493.52646
1784131200000,2026-07-15T16:00:00Z,17.506,20.323,15.11,15.32,349527.94,6048079.84206
1784217600000,2026-07-16T16:00:00Z,15.32,16.073,12.346,15.916,488707.97,6826116.23181
1784304000000,2026-07-17T16:00:00Z,15.916,16.249,12.354,12.652,228196.51,3038376.8428
1784390400000,2026-07-18T16:00:00Z,12.652,13.533,12.358,13.077,82589.96,1073197.39956
1784476800000,2026-07-19T16:00:00Z,13.077,15.128,12.852,14.703,165864.01,2311048.63816
1784563200000,2026-07-20T16:00:00Z,14.703,17.351,13.66,16.897,217637.27,3366445.05113
1784649600000,2026-07-21T16:00:00Z,16.897,19.632,15.959,18.103,322973.07,5667933.43947
1784736000000,2026-07-22T16:00:00Z,18.103,19.285,16.896,19.102,600518.91,11042771.95196
1784822400000,2026-07-23T16:00:00Z,19.102,20.311,14.79,16.19,558067.11,9718897.22842
1784908800000,2026-07-24T16:00:00Z,16.19,16.447,13.812,14.346,379853.76,5514987.75012
1784995200000,2026-07-25T16:00:00Z,14.346,15.032,14.339,14.871,35696.53,524640.00053
1785081600000,2026-07-26T16:00:00Z,14.871,15.98,10.19,11.262,826137.47,10501188.97872
1785168000000,2026-07-27T16:00:00Z,11.262,11.68,7.265,8.3,3860131.13,35050310.89168
1785254400000,2026-07-28T16:00:00Z,8.3,9.138,6.483,6.93,5167826.97,40030350.12414
1785340800000,2026-07-29T16:00:00Z,6.93,10.261,6.214,10.013,5155658.48,40415615.6053
1785427200000,2026-07-30T16:00:00Z,10.013,12.69,8.94,9.458,9470555.62,103568836.57068
1785513600000,2026-07-31T16:00:00Z,9.458,10.355,9.011,9.27,2200205.91,21101876.5279
1785600000000,2026-08-01T16:00:00Z,9.27,9.803,8.956,9.575,483640.26,4563929.82244
1785686400000,2026-08-02T16:00:00Z,9.575,10.235,7.908,9.934,7257686.66,67412189.87856
1785772800000,2026-08-03T16:00:00Z,9.934,12.83,9.934,12.431,9630532.96,108534754.65336
1785859200000,2026-08-04T16:00:00Z,12.431,13.676,11.599,12.328,10987163.25,136852042.44739
1785945600000,2026-08-05T16:00:00Z,12.328,12.765,8.2,10.2,14384805.77,143267037.06671
1786032000000,2026-08-06T16:00:00Z,10.2,10.891,8.656,9.378,8129016.93,80463149.55698
1786118400000,2026-08-07T16:00:00Z,9.378,9.592,9.005,9.145,1339988.36,12369820.61931
1786204800000,2026-08-08T16:00:00Z,9.145,9.289,9.099,9.189,265667.96,2443172.79422
1786291200000,2026-08-09T16:00:00Z,9.189,10.075,8.735,9.582,7001141.55,65276080.4786
1786377600000,2026-08-10T16:00:00Z,9.582,10.21,9.293,9.941,7814067.25,75898366.27691
1786464000000,2026-08-11T16:00:00Z,9.941,11.784,9.772,11.588,7282768.49,78268775.82579
1786550400000,2026-08-12T16:00:00Z,11.588,14.975,10.837,14.207,7257921.76,86308687.46227
1786636800000,2026-08-13T16:00:00Z,14.207,16.663,13.867,15.832,10163014.91,154019896.03324
1786723200000,2026-08-14T16:00:00Z,15.832,16.818,15.617,16.387,1563565.86,25359964.64345
1786809600000,2026-08-15T16:00:00Z,16.387,16.767,16.3,16.542,1126712.57,18645992.69443
1786896000000,2026-08-16T16:00:00Z,16.542,19.908,16.455,18.998,8485386.14,150548538.5608
1786982400000,2026-08-17T16:00:00Z,18.998,19.728,15.366,16.049,8742871.12,152800962.53408
1787068800000,2026-08-18T16:00:00Z,16.049,17.256,14.025,14.903,16686582.41,257592230.20116
1787155200000,2026-08-19T16:00:00Z,14.903,15.734,13.734,15.097,13815629.62,205268548.92005
1787241600000,2026-08-20T16:00:00Z,15.097,15.582,14.468,15.058,8045120.65,120868468.76006
1787328000000,2026-08-21T16:00:00Z,15.058,15.308,14.68,14.975,2100885.73,31585456.44103
1787414400000,2026-08-22T16:00:00Z,14.975,15.492,14.778,15.275,1486159.96,22267422.89546
1787500800000,2026-08-23T16:00:00Z,15.275,15.605,11.646,12.969,10713600.89,139944994.60187
1787587200000,2026-08-24T16:00:00Z,12.969,14.312,12.385,13.239,14102691.43,188585498.70687
1787673600000,2026-08-25T16:00:00Z,13.239,13.394,12.182,13.123,11219582.96,143051948.02877
1787760000000,2026-08-26T16:00:00Z,13.123,14.667,12.4,12.745,7079397.67,96048788.58561
1787846400000,2026-08-27T16:00:00Z,12.745,13.433,12.028,12.825,9335749.76,117872559.40974
1787932800000,2026-08-28T16:00:00Z,12.825,12.99,12.63,12.903,3367780.88,43257978.43591
1788019200000,2026-08-29T16:00:00Z,12.903,13.164,12.861,12.988,398122.15,5143371.01801
1788105600000,2026-08-30T16:00:00Z,12.988,13.856,12.249,13.374,3966661.76,52437381.35752
1788192000000,2026-08-31T16:00:00Z,13.374,15.07,12.29,14.893,9011447.81,124027610.20707
1788278400000,2026-09-01T16:00:00Z,14.893,14.919,13.265,13.878,7354771.58,101750615.79295
1788364800000,2026-09-02T16:00:00Z,13.878,14.209,13.267,13.715,4930904.38,67939212.40735
1788451200000,2026-09-03T16:00:00Z,13.715,16.65,13.665,16.639,5436626.13,80121081.07784
1788537600000,2026-09-04T16:00:00Z,16.639,18.174,16.543,17.781,1188470.95,20412726.14961
1788624000000,2026-09-05T16:00:00Z,17.781,18.523,17.731,18.034,266460.6,4845833.72036
1788710400000,2026-09-06T16:00:00Z,18.034,18.452,17.834,18.173,154017.99,2800161.49112
1788796800000,2026-09-07T16:00:00Z,18.173,18.973,17.221,18.536,2219779.95,39809984.42845
1788883200000,2026-09-08T16:00:00Z,18.536,18.678,16.978,17.899,2243305.25,39956463.81414
1788969600000,2026-09-09T16:00:00Z,17.899,18.242,16.226,16.513,1789749.03,30547047.69963
1789056000000,2026-09-10T16:00:00Z,16.513,17.201,14.95,15.393,2675716.21,43171225.53401
1789142400000,2026-09-11T16:00:00Z,15.393,15.444,15.095,15.243,435664.15,6641508.74406
