ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785772800000,2026-08-03T16:00:00Z,20.011,20.099,18.011,18.713,6230.69,121615.99545
1785859200000,2026-08-04T16:00:00Z,18.713,21.108,15.119,19.293,236753.94,4666425.6455
1785945600000,2026-08-05T16:00:00Z,19.293,22.312,18.155,20.114,80196.28,1624637.56569
1786032000000,2026-08-06T16:00:00Z,20.114,21.039,13.75,13.8,57886.66,995993.94134
1786118400000,2026-08-07T16:00:00Z,13.8,14.649,12.377,12.601,48127.86,646868.73574
1786204800000,2026-08-08T16:00:00Z,12.601,12.856,11.707,12.374,23460.59,287823.83406
1786291200000,2026-08-09T16:00:00Z,12.374,13.2,11.48,12.672,47345.98,590589.60341
1786377600000,2026-08-10T16:00:00Z,12.672,13.237,11.426,12.237,57712.54,705768.57789
1786464000000,2026-08-11T16:00:00Z,12.237,13,10.68,10.941,55981.72,688793.61391
1786550400000,2026-08-12T16:00:00Z,10.941,11.071,9.49,10.805,73665.09,746294.94933
1786636800000,2026-08-13T16:00:00Z,10.805,11.634,10.323,11.424,27425.17,298057.36691
1786723200000,2026-08-14T16:00:00Z,11.424,11.478,10.797,10.958,9518.32,105191.67841
1786809600000,2026-08-15T16:00:00Z,10.958,11.149,10.731,10.914,3001.1,32819.35876
1786896000000,2026-08-16T16:00:00Z,10.914,11.1,9.476,9.508,12148.64,125606.20004
1786982400000,2026-08-17T16:00:00Z,9.508,10.923,9.508,10.257,21636.3,220240.95315
1787068800000,2026-08-18T16:00:00Z,10.257,11.331,10,10.966,31342.54,332295.09595
1787155200000,2026-08-19T16:00:00Z,10.966,12.35,10.69,12.092,14786.89,168591.74056
1787241600000,2026-08-20T16:00:00Z,12.092,12.385,11.231,11.3,11886.74,141164.48554
1787328000000,2026-08-21T16:00:00Z,11.3,11.81,11.08,11.469,7482.83,85640.89598
1787414400000,2026-08-22T16:00:00Z,11.469,11.688,11.401,11.435,673.12,7759.72673
1787500800000,2026-08-23T16:00:00Z,11.435,11.883,11.137,11.269,13114.7,152242.99864
1787587200000,2026-08-24T16:00:00Z,11.269,11.851,10.838,10.95,10564.49,119389.10202
1787673600000,2026-08-25T16:00:00Z,10.95,11.694,10.796,11.407,28553.6,326446.07438
1787760000000,2026-08-26T16:00:00Z,11.407,11.422,10.414,10.66,9522.98,103682.26954
1787846400000,2026-08-27T16:00:00Z,10.66,10.937,10.33,10.816,5287.31,56291.651
1787932800000,2026-08-28T16:00:00Z,10.816,11.06,10.517,10.605,3509.71,37832.98131
1788019200000,2026-08-29T16:00:00Z,10.605,10.633,10.471,10.563,619.36,6539.0825
1788105600000,2026-08-30T16:00:00Z,10.563,10.791,10.223,10.352,1737.67,18434.84611
1788192000000,2026-08-31T16:00:00Z,10.352,10.593,10.032,10.108,1738.07,17904.10582
1788278400000,2026-09-01T16:00:00Z,10.108,11.018,10.108,10.642,3815.31,40769.84311
1788364800000,2026-09-02T16:00:00Z,10.642,10.836,9.328,9.48,7441.6,74355.86503
1788451200000,2026-09-03T16:00:00Z,9.48,9.604,8.975,9.369,26211.14,241889.14634
1788537600000,2026-09-04T16:00:00Z,9.369,9.679,9.24,9.28,4949.43,46916.80212
1788624000000,2026-09-05T16:00:00Z,9.28,9.52,9.077,9.258,7479.96,69432.97835
1788710400000,2026-09-06T16:00:00Z,9.258,9.404,9.076,9.377,2653.26,24448.36864
1788796800000,2026-09-07T16:00:00Z,9.377,9.881,8.793,8.836,6119.64,57375.97255
1788883200000,2026-09-08T16:00:00Z,8.836,9.661,8.607,9.641,4413.14,39398.9493
1788969600000,2026-09-09T16:00:00Z,9.641,9.944,8.621,8.949,15940.53,152667.57299
1789056000000,2026-09-10T16:00:00Z,8.949,9.693,8.928,9.365,3763.03,35223.96829
1789142400000,2026-09-11T16:00:00Z,9.365,9.389,8.996,9.167,823.63,7533.1451
