ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788278400000,2026-09-01T16:00:00Z,186.21,192.08,184.33,186.18,38.63,7234.1412
1788364800000,2026-09-02T16:00:00Z,186.18,198.97,184.72,194.72,826.41,158424.5572
1788451200000,2026-09-03T16:00:00Z,194.72,196.72,186.73,191.12,1699.93,327744.8662
1788537600000,2026-09-04T16:00:00Z,191.12,192.6,187.68,191.94,177.71,33814.5283
1788624000000,2026-09-05T16:00:00Z,191.94,193.9,187.21,187.65,290.52,55114.1161
1788710400000,2026-09-06T16:00:00Z,187.65,191.03,187.03,187.03,667.52,126192.2953
1788796800000,2026-09-07T16:00:00Z,187.03,190.8,178.69,179.81,1888.79,352016.4203
1788883200000,2026-09-08T16:00:00Z,179.81,182.5,175.52,178.84,2735.45,487258.5763
1788969600000,2026-09-09T16:00:00Z,178.84,183.96,175.05,182.43,3303.07,593309.5496
1789056000000,2026-09-10T16:00:00Z,182.43,182.85,176.79,177.77,1777.43,319960.1313
1789142400000,2026-09-11T16:00:00Z,177.77,180.09,177.4,178.02,1118.2,199676.4788
