ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1781539200000,2026-06-15T16:00:00Z,192.39,192.39,187.96,187.96,3.13,592.341
1781625600000,2026-06-16T16:00:00Z,187.96,189.6,186.4,188.76,164.01,30882.8203
1781712000000,2026-06-17T16:00:00Z,188.76,191.29,185.3,190.78,774.12,145605.8267
1781798400000,2026-06-18T16:00:00Z,190.78,193,188.26,191.82,111.65,21378.5592
1781884800000,2026-06-19T16:00:00Z,191.82,193.26,188.17,192.3,163.69,31403.1661
1781971200000,2026-06-20T16:00:00Z,192.3,192.49,190.35,191.7,102.81,19730.542
1782057600000,2026-06-21T16:00:00Z,191.7,194.18,185.64,192,460.91,88165.2777
1782144000000,2026-06-22T16:00:00Z,192,193.37,184.38,186.56,2551.22,475995.4292
1782230400000,2026-06-23T16:00:00Z,186.56,187.35,182.58,184.93,2036.36,376568.7409
1782316800000,2026-06-24T16:00:00Z,184.93,188.69,180.57,183.76,657.13,120315.4753
1782403200000,2026-06-25T16:00:00Z,183.76,187.07,180,181.85,197.06,36178.3229
1782489600000,2026-06-26T16:00:00Z,181.85,183.67,180.09,181.65,457.97,83221.9865
1782576000000,2026-06-27T16:00:00Z,181.65,182.8,180.1,181.95,59.59,10822.5005
1782662400000,2026-06-28T16:00:00Z,181.95,184.45,178.84,183.61,814.21,147915.23
1782748800000,2026-06-29T16:00:00Z,183.61,189.53,183.61,189.42,173.67,32558.5368
1782835200000,2026-06-30T16:00:00Z,189.42,192.7,185.83,187.11,306.86,57641.5273
1782921600000,2026-07-01T16:00:00Z,187.11,187.65,181.26,181.66,801.2,148083.9895
1783008000000,2026-07-02T16:00:00Z,181.66,184.8,179.04,180.76,369.31,66579.9936
1783094400000,2026-07-03T16:00:00Z,180.76,184.88,179.54,181.35,107.33,19521.8485
1783180800000,2026-07-04T16:00:00Z,181.35,182.09,180.39,181.26,37.81,6853.266
1783267200000,2026-07-05T16:00:00Z,181.26,185.45,180.38,185.25,494.81,90912.0543
1783353600000,2026-07-06T16:00:00Z,185.25,185.25,176.57,178.73,460.12,82807.1481
1783440000000,2026-07-07T16:00:00Z,178.73,180.81,174.38,177.97,217.47,38898.7266
1783526400000,2026-07-08T16:00:00Z,177.97,186.26,177.97,185.9,229.67,41980.1771
1783612800000,2026-07-09T16:00:00Z,185.9,186.31,183.34,184.95,1130.58,208332.8436
1783699200000,2026-07-10T16:00:00Z,184.95,186.67,184.95,186.09,60.28,11202.143
1783785600000,2026-07-11T16:00:00Z,186.09,186.69,185.79,186.24,25.97,4837.349
1783872000000,2026-07-12T16:00:00Z,186.24,186.65,181.83,182.66,888.83,163140.7505
1783958400000,2026-07-13T16:00:00Z,182.66,184.17,180,183.5,1115.25,203880.8044
1784044800000,2026-07-14T16:00:00Z,183.5,185.22,179.96,179.96,281.32,51652.7959
1784131200000,2026-07-15T16:00:00Z,179.96,181.87,177.05,177.83,162.77,29279.3733
1784217600000,2026-07-16T16:00:00Z,177.83,177.88,171.43,176.63,342.12,59887.3768
1784304000000,2026-07-17T16:00:00Z,176.63,177.75,174.95,175.03,271.52,47913.7222
1784390400000,2026-07-18T16:00:00Z,175.03,175.22,174.94,174.97,23.43,4101.5261
1784476800000,2026-07-19T16:00:00Z,174.97,178.5,174.87,177.26,73.26,12915.6979
1784563200000,2026-07-20T16:00:00Z,177.26,180.34,174.65,180.03,657.81,117375.5766
1784649600000,2026-07-21T16:00:00Z,180.03,181.45,177.45,181.07,938.36,168857.0578
1784736000000,2026-07-22T16:00:00Z,181.07,182.25,177.46,178.2,662.44,119252.086
1784822400000,2026-07-23T16:00:00Z,178.2,180.97,175.29,178.43,741.05,131960.7457
1784908800000,2026-07-24T16:00:00Z,178.43,179.28,173.35,176.42,316.05,55834.4335
1784995200000,2026-07-25T16:00:00Z,176.42,180.11,176.36,179.91,768.58,137365.4858
1785081600000,2026-07-26T16:00:00Z,179.91,181.69,171.88,172.97,1108.42,196608.2571
1785168000000,2026-07-27T16:00:00Z,172.97,176.15,168.06,172.26,1063.65,183705.1845
1785254400000,2026-07-28T16:00:00Z,172.26,172.93,167.59,168.09,419.95,71606.6693
1785340800000,2026-07-29T16:00:00Z,168.09,175.84,165.54,174.49,379.72,64248.987
1785427200000,2026-07-30T16:00:00Z,174.49,180,173.3,174.52,727.58,128156.5179
1785513600000,2026-07-31T16:00:00Z,174.52,177.18,166.8,169.48,2422.7,413254.5475
1785600000000,2026-08-01T16:00:00Z,169.48,173.9,169.42,172.2,482.68,82921.2834
1785686400000,2026-08-02T16:00:00Z,172.2,177.74,171.18,177,1521.43,267230.7646
1785772800000,2026-08-03T16:00:00Z,177,186.08,176.05,186.08,374.46,67627.5967
1785859200000,2026-08-04T16:00:00Z,186.08,189.1,184.85,186.6,164.61,30862.2669
1785945600000,2026-08-05T16:00:00Z,186.6,187.78,182.25,185.75,132.14,24537.0682
