ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785686400000,2026-08-02T16:00:00Z,97.12,99.66,97.09,99.09,46.53,4538.0632
1785772800000,2026-08-03T16:00:00Z,99.09,101.27,96.9,101.27,189.93,18758.9256
1785859200000,2026-08-04T16:00:00Z,101.27,103.28,99.36,99.57,188.55,19161.5345
1785945600000,2026-08-05T16:00:00Z,99.57,101.95,98.36,100.03,119.8,11985.913
1786032000000,2026-08-06T16:00:00Z,100.03,105.36,99.69,104.28,183.14,18666.8845
1786118400000,2026-08-07T16:00:00Z,104.28,105,103.66,105,123.42,12875.0787
1786204800000,2026-08-08T16:00:00Z,105,106.08,104,106.08,368.62,38772.0763
1786291200000,2026-08-09T16:00:00Z,106.08,106.65,103.98,106.49,319.27,33706.2388
1786377600000,2026-08-10T16:00:00Z,106.49,108.74,105.23,106.54,390.78,41682.08
1786464000000,2026-08-11T16:00:00Z,106.54,106.54,103.43,103.69,219.59,23069.0098
1786550400000,2026-08-12T16:00:00Z,103.69,106.49,103.69,105.33,138.38,14611.5696
1786636800000,2026-08-13T16:00:00Z,105.33,112.13,105.22,106.09,495.23,53801.7692
1786723200000,2026-08-14T16:00:00Z,106.09,107.35,105.46,107.05,153.55,16361.4734
1786809600000,2026-08-15T16:00:00Z,107.05,107.37,106.16,107.08,92.83,9936.2588
1786896000000,2026-08-16T16:00:00Z,107.08,107.17,104.53,105.29,218.3,23123.6382
1786982400000,2026-08-17T16:00:00Z,105.29,107.04,103.79,106.18,145.25,15331.0685
1787068800000,2026-08-18T16:00:00Z,106.18,108.82,102.97,108.82,118.27,12470.4563
1787155200000,2026-08-19T16:00:00Z,108.82,108.89,106.39,106.65,125.95,13555.6841
1787241600000,2026-08-20T16:00:00Z,106.65,107.73,105.43,107.54,79.2,8436.0885
1787328000000,2026-08-21T16:00:00Z,107.54,108.6,106.3,107.66,88.31,9475.4142
1787414400000,2026-08-22T16:00:00Z,107.66,108.28,107.19,108.28,34.35,3704.0112
1787500800000,2026-08-23T16:00:00Z,108.28,109.78,104.55,105.57,145.28,15712.8548
1787587200000,2026-08-24T16:00:00Z,105.57,105.66,102.65,102.73,109.56,11401.9474
1787673600000,2026-08-25T16:00:00Z,102.73,102.73,92.86,92.93,7854.57,771569.9786
1787760000000,2026-08-26T16:00:00Z,92.93,97.66,92.86,97.06,619.97,59339.9031
1787846400000,2026-08-27T16:00:00Z,97.06,103.06,97.06,98.66,268.32,26808.3852
1787932800000,2026-08-28T16:00:00Z,98.66,99.41,98.22,99.17,62.36,6167.0753
1788019200000,2026-08-29T16:00:00Z,99.17,99.61,98.07,99.03,46.07,4565.2888
1788105600000,2026-08-30T16:00:00Z,99.03,99.68,96.15,96.86,70.24,6912.8359
1788192000000,2026-08-31T16:00:00Z,96.86,97.73,94.66,95.37,427.65,41311.9937
1788278400000,2026-09-01T16:00:00Z,95.37,97.25,94.21,95.51,187.71,17903.5992
1788364800000,2026-09-02T16:00:00Z,95.51,98.8,95.26,97.09,76.21,7381.33
1788451200000,2026-09-03T16:00:00Z,97.09,101.73,96.62,101.69,118.02,11556.6877
1788537600000,2026-09-04T16:00:00Z,101.69,102.2,99.76,100.15,307.99,31133.4159
1788624000000,2026-09-05T16:00:00Z,100.15,101.3,99.98,100.12,67.15,6750.1481
1788710400000,2026-09-06T16:00:00Z,100.12,103.47,99.78,101.11,93.39,9473.1804
1788796800000,2026-09-07T16:00:00Z,101.11,102.06,95.83,96.63,100.79,10122.4594
1788883200000,2026-09-08T16:00:00Z,96.63,98.66,95.75,96.39,252.34,24522.4797
1788969600000,2026-09-09T16:00:00Z,96.39,97.12,94.08,96,668.27,64342.8647
1789056000000,2026-09-10T16:00:00Z,96,96.88,94.85,95.42,347.6,33100.4717
1789142400000,2026-09-11T16:00:00Z,95.42,96.37,94.72,95.53,310.69,29768.6572
