ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1773590400000,2026-03-15T16:00:00Z,98.104,99.275,91.898,94.383,48848.04,4631650.71499
1773676800000,2026-03-16T16:00:00Z,94.383,97.5,91.972,94.756,113284.8,10701487.70155
1773763200000,2026-03-17T16:00:00Z,94.756,98.596,91.442,97.126,136369.84,12956428.04722
1773849600000,2026-03-18T16:00:00Z,97.126,100.33,94.324,97.968,189197.79,18355320.01329
1773936000000,2026-03-19T16:00:00Z,97.968,98.557,92.188,96.505,219343.6,20788505.32011
1774022400000,2026-03-20T16:00:00Z,96.505,98.778,94.983,96.017,65085.78,6330050.6792
1774108800000,2026-03-21T16:00:00Z,96.017,98.82,94.75,98.597,29887.97,2899659.26555
1774195200000,2026-03-22T16:00:00Z,98.597,101.613,83.047,90.554,331753.77,30354162.14101
1774281600000,2026-03-23T16:00:00Z,90.554,92.709,86.78,92.208,164317.83,14853798.37972
1774368000000,2026-03-24T16:00:00Z,92.208,93.375,86.397,90.348,361702.99,32068534.57147
1774454400000,2026-03-25T16:00:00Z,90.348,94.8,89.459,94.623,154467.83,14211753.42707
1774540800000,2026-03-26T16:00:00Z,94.623,98.269,89.93,97.942,246921.29,23191068.81535
1774627200000,2026-03-27T16:00:00Z,97.942,101.346,97.667,99.281,79477.21,7909361.01433
1774713600000,2026-03-28T16:00:00Z,99.281,104.966,98.851,103.81,150629.27,15449708.54646
1774800000000,2026-03-29T16:00:00Z,103.81,103.95,99.751,102.958,226335.14,23144364.9441
1774886400000,2026-03-30T16:00:00Z,102.958,106.973,101.043,104.632,206527.97,21420104.28213
1774972800000,2026-03-31T16:00:00Z,104.632,105.151,96.711,99.669,403682.26,40443146.88832
1775059200000,2026-04-01T16:00:00Z,99.669,113.589,97.469,111.287,602540.57,63137606.32566
1775145600000,2026-04-02T16:00:00Z,111.287,112.346,109.658,111.879,140564.34,15662281.91896
1775232000000,2026-04-03T16:00:00Z,111.879,112.326,111.258,111.899,49426.05,5527657.93975
1775318400000,2026-04-04T16:00:00Z,111.899,113.891,111.869,112.395,89670.76,10101003.66328
1775404800000,2026-04-05T16:00:00Z,112.395,115.583,108.693,111.68,530823.26,59387175.8826
1775491200000,2026-04-06T16:00:00Z,111.68,117.134,110.878,114.883,747173.16,85354752.5216
1775577600000,2026-04-07T16:00:00Z,114.883,115.565,91.083,94.655,2649096.66,264558919.28549
1775664000000,2026-04-08T16:00:00Z,94.655,99.815,93.065,96.689,1538263.83,148203461.07019
