ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785686400000,2026-08-02T16:00:00Z,36.835,36.872,36.302,36.422,210.22,7671.40412
1785772800000,2026-08-03T16:00:00Z,36.422,37.011,36.16,36.441,820.87,29968.63363
1785859200000,2026-08-04T16:00:00Z,36.441,36.774,35.478,36.339,770.7,27830.90883
1785945600000,2026-08-05T16:00:00Z,36.339,36.48,35.867,35.955,649.2,23480.94744
1786032000000,2026-08-06T16:00:00Z,35.955,36.168,35.435,35.465,984.64,35322.53187
1786118400000,2026-08-07T16:00:00Z,35.465,35.637,35.154,35.163,1632.58,57605.49853
1786204800000,2026-08-08T16:00:00Z,35.163,35.263,35.141,35.206,640.27,22546.34042
1786291200000,2026-08-09T16:00:00Z,35.206,35.774,35.108,35.223,1051.92,37120.39957
1786377600000,2026-08-10T16:00:00Z,35.223,35.422,34.016,34.121,714.3,25044.04939
1786464000000,2026-08-11T16:00:00Z,34.121,34.439,33.772,33.911,1386.95,47396.27985
1786550400000,2026-08-12T16:00:00Z,33.911,34.087,33.565,33.685,470.69,15912.76876
1786636800000,2026-08-13T16:00:00Z,33.685,34.354,33.634,33.67,711.4,24179.08505
1786723200000,2026-08-14T16:00:00Z,33.67,34.022,33.49,33.824,622.67,21012.5945
1786809600000,2026-08-15T16:00:00Z,33.824,33.897,33.652,33.848,151.3,5112.82766
1786896000000,2026-08-16T16:00:00Z,33.848,34.225,33.653,34.081,275.57,9353.47301
1786982400000,2026-08-17T16:00:00Z,34.081,34.371,33.867,33.89,717.71,24409.90259
1787068800000,2026-08-18T16:00:00Z,33.89,35.007,33.569,34.473,1216.37,41433.47219
1787155200000,2026-08-19T16:00:00Z,34.473,34.603,33.87,34.303,352.92,12107.2249
1787241600000,2026-08-20T16:00:00Z,34.303,35.27,34.04,35.27,162.3,5581.69726
1787328000000,2026-08-21T16:00:00Z,35.27,35.581,34.998,35.434,1518.9,53390.60742
1787414400000,2026-08-22T16:00:00Z,35.434,35.52,35.3,35.397,135.42,4794.2097
1787500800000,2026-08-23T16:00:00Z,35.397,35.548,34.719,35.361,340.4,11975.11915
1787587200000,2026-08-24T16:00:00Z,35.361,35.548,34.996,35.446,152.77,5388.96066
1787673600000,2026-08-25T16:00:00Z,35.446,36.267,35.403,35.788,550.11,19577.54478
1787760000000,2026-08-26T16:00:00Z,35.788,35.916,34.998,35.584,1037.56,36888.12099
1787846400000,2026-08-27T16:00:00Z,35.584,35.971,35.143,35.143,121.98,4351.34058
1787932800000,2026-08-28T16:00:00Z,35.143,35.766,35.003,35.639,583.3,20761.20318
1788019200000,2026-08-29T16:00:00Z,35.639,35.83,35.545,35.67,347.43,12402.53399
1788105600000,2026-08-30T16:00:00Z,35.67,36.351,35.236,36.031,237.97,8512.14262
1788192000000,2026-08-31T16:00:00Z,36.031,36.982,35.592,36.765,297.08,10757.79175
1788278400000,2026-09-01T16:00:00Z,36.765,38.266,36.297,38.187,378.21,14044.5305
1788364800000,2026-09-02T16:00:00Z,38.187,38.846,37.909,38.154,776.43,29863.19023
1788451200000,2026-09-03T16:00:00Z,38.154,38.419,37.588,38.235,549.57,20849.92202
1788537600000,2026-09-04T16:00:00Z,38.235,38.362,36.229,37.362,4867.13,180122.54218
1788624000000,2026-09-05T16:00:00Z,37.362,37.6,37.219,37.365,276.2,10332.99544
1788710400000,2026-09-06T16:00:00Z,37.365,37.781,37.292,37.421,855.38,32055.17756
1788796800000,2026-09-07T16:00:00Z,37.421,39.199,37.268,38.637,5633.74,213421.46307
1788883200000,2026-09-08T16:00:00Z,38.637,38.896,37.895,38.129,3379.98,128370.47425
1788969600000,2026-09-09T16:00:00Z,38.129,38.826,37.605,38.423,4078.08,156258.47362
1789056000000,2026-09-10T16:00:00Z,38.423,38.9,38.194,38.346,675.18,26020.34131
1789142400000,2026-09-11T16:00:00Z,38.346,38.41,37.852,37.984,210.64,8015.2315
