ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1780243200000,2026-05-31T16:00:00Z,331.76,332.85,308.93,326.25,2785.39,891200.61
1780329600000,2026-06-01T16:00:00Z,326.25,328.08,306.87,323.28,11813.83,3727583.4684
1780416000000,2026-06-02T16:00:00Z,323.28,332.11,302.49,304.19,6535.48,2097254.1096
1780502400000,2026-06-03T16:00:00Z,304.19,310.72,289.54,304.94,9043.49,2703496.8499
1780588800000,2026-06-04T16:00:00Z,304.94,306.21,284.4,285.13,4251.46,1250640.805
1780675200000,2026-06-05T16:00:00Z,285.13,285.9,272.52,276.3,3577.4,988107.7048
1780761600000,2026-06-06T16:00:00Z,276.3,280.76,276.3,279.78,726.91,203074.2474
1780848000000,2026-06-07T16:00:00Z,279.78,290.65,278.46,281.75,3657.12,1032677.8152
1780934400000,2026-06-08T16:00:00Z,281.75,283.11,274.21,274.35,3964.31,1109788.3262
1781020800000,2026-06-09T16:00:00Z,274.35,280.2,269.12,275.97,4369.31,1195690.625
1781107200000,2026-06-10T16:00:00Z,275.97,276.07,267.34,272.64,4686.93,1271246.0333
1781193600000,2026-06-11T16:00:00Z,272.64,280.01,268.21,271.61,3930.55,1086223.4198
1781280000000,2026-06-12T16:00:00Z,271.61,273.63,270.96,272.51,926.26,252426.4646
1781366400000,2026-06-13T16:00:00Z,272.51,274.88,272.4,274.39,1226.87,336230.1942
1781452800000,2026-06-14T16:00:00Z,274.39,280.3,265.13,268.71,4963.41,1364032.5604
1781539200000,2026-06-15T16:00:00Z,268.71,276.87,266.66,270.53,2968.42,805300.501
1781625600000,2026-06-16T16:00:00Z,270.53,272.45,263.12,267.04,1777.46,478021.2118
1781712000000,2026-06-17T16:00:00Z,267.04,268.97,243.89,248.31,15781.63,4028913.6015
1781798400000,2026-06-18T16:00:00Z,248.31,252.6,228.94,245.19,18740.96,4499815.2999
1781884800000,2026-06-19T16:00:00Z,245.19,248.03,233.48,245.87,1365.89,330207.3579
1781971200000,2026-06-20T16:00:00Z,245.87,246.81,244.12,246.25,198.06,48678.9439
1782057600000,2026-06-21T16:00:00Z,246.25,251.82,244.84,245.16,3097.55,768154.2373
1782144000000,2026-06-22T16:00:00Z,245.16,268.54,244.02,264.68,23580.32,6145009.8968
1782230400000,2026-06-23T16:00:00Z,264.68,266.54,256.4,262.05,9531.76,2497278.674
1782316800000,2026-06-24T16:00:00Z,262.05,285,257.05,260.84,21439.25,5797549.5334
1782403200000,2026-06-25T16:00:00Z,260.84,273.2,251.17,271.99,9080.21,2356158.6696
1782489600000,2026-06-26T16:00:00Z,271.99,275.91,269.61,274.09,2966.57,806829.4615
1782576000000,2026-06-27T16:00:00Z,274.09,274.61,273.44,273.49,168.73,46196.1623
