ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1782057600000,2026-06-21T16:00:00Z,328.78,331.15,327.12,330.81,5.65,1861.3105
1782144000000,2026-06-22T16:00:00Z,330.81,334.32,328.7,334.32,232.5,76987.2026
1782230400000,2026-06-23T16:00:00Z,334.32,337.12,329.36,333.46,283.96,94779.5403
1782316800000,2026-06-24T16:00:00Z,333.46,342.99,331.2,339.41,173.58,58594.742
1782403200000,2026-06-25T16:00:00Z,339.41,339.41,328.75,332.43,124.76,41867.8318
1782489600000,2026-06-26T16:00:00Z,332.43,333.08,327.8,329.83,64.27,21159.6059
1782576000000,2026-06-27T16:00:00Z,329.83,329.88,328.64,329.62,24.72,8141.623
1782662400000,2026-06-28T16:00:00Z,329.62,332.07,327.83,331.51,88.3,29118.8029
1782748800000,2026-06-29T16:00:00Z,331.51,333.26,327.21,327.44,74.73,24671.8561
1782835200000,2026-06-30T16:00:00Z,327.44,334.27,325.11,334.27,85.27,27959.6636
1782921600000,2026-07-01T16:00:00Z,334.27,336.91,332.23,333.54,116.52,38917.9169
1783008000000,2026-07-02T16:00:00Z,333.54,335.8,331.95,335.29,65.61,21979.4877
1783094400000,2026-07-03T16:00:00Z,335.29,335.69,333.2,333.38,39.54,13209.624
1783180800000,2026-07-04T16:00:00Z,333.38,335.56,333.25,335.12,255.2,85465.6427
1783267200000,2026-07-05T16:00:00Z,335.12,341.09,331.23,335.92,201.96,67440.7096
1783353600000,2026-07-06T16:00:00Z,335.92,342.24,335.75,338.35,158.25,53843.7615
1783440000000,2026-07-07T16:00:00Z,338.35,340.4,332.49,332.85,62.07,20825.2115
1783526400000,2026-07-08T16:00:00Z,332.85,336.46,330.33,335.29,49.76,16476.1296
1783612800000,2026-07-09T16:00:00Z,335.29,338.77,334.2,336.46,186.31,62601.6267
1783699200000,2026-07-10T16:00:00Z,336.46,338.24,335.66,336.34,55.26,18629.5915
1783785600000,2026-07-11T16:00:00Z,336.34,336.64,335.25,335.32,16.69,5604.5863
1783872000000,2026-07-12T16:00:00Z,335.32,338.68,333.02,333.21,340.09,113958.7605
1783958400000,2026-07-13T16:00:00Z,333.21,344.81,325.08,341.21,1877.94,629320.2826
1784044800000,2026-07-14T16:00:00Z,341.21,351.69,337.98,349.09,232.99,80100.0369
1784131200000,2026-07-15T16:00:00Z,349.09,349.46,341.46,345.2,142.36,49244.8399
1784217600000,2026-07-16T16:00:00Z,345.2,346.02,336.4,344.99,100.27,34368.6109
1784304000000,2026-07-17T16:00:00Z,344.99,345.49,341.13,343.85,61.32,21028.6009
1784390400000,2026-07-18T16:00:00Z,343.85,345.17,343.43,345.14,33.3,11463.9271
1784476800000,2026-07-19T16:00:00Z,345.14,345.65,337.79,340.85,86.45,29602.7295
1784563200000,2026-07-20T16:00:00Z,340.85,343.75,337.54,343.75,52.03,17713.1886
1784649600000,2026-07-21T16:00:00Z,343.75,348.58,343.32,348.2,51.53,17793.8383
1784736000000,2026-07-22T16:00:00Z,348.2,350.43,345.64,347.11,67.86,23610.1824
1784822400000,2026-07-23T16:00:00Z,347.11,353.39,347.11,353.16,127.94,44843.6488
1784908800000,2026-07-24T16:00:00Z,353.16,354.27,351.74,354.02,130.73,46200.4869
1784995200000,2026-07-25T16:00:00Z,354.02,354.4,353.19,353.82,89.18,31551.2196
1785081600000,2026-07-26T16:00:00Z,353.82,359.28,353.29,354.42,197.99,70285.7358
1785168000000,2026-07-27T16:00:00Z,354.42,360.66,352.93,356.79,164.15,58379.7705
1785254400000,2026-07-28T16:00:00Z,356.79,359.96,347.57,347.57,63.53,22680.1566
1785340800000,2026-07-29T16:00:00Z,347.57,350.88,343.89,348.34,51.71,17959.2406
1785427200000,2026-07-30T16:00:00Z,348.34,354.9,348.34,353.45,81.87,28752.1994
1785513600000,2026-07-31T16:00:00Z,353.45,354.91,350.59,352.51,21.55,7609.5737
1785600000000,2026-08-01T16:00:00Z,352.51,355.06,350.67,353.28,14.19,5011.6246
1785686400000,2026-08-02T16:00:00Z,353.28,357.6,348.06,352.71,56.09,19847.3675
1785772800000,2026-08-03T16:00:00Z,352.71,363.78,350.75,360.54,87.19,31284.5939
1785859200000,2026-08-04T16:00:00Z,360.54,362.78,357.09,360.45,75.68,27131.8348
1785945600000,2026-08-05T16:00:00Z,360.45,364,354.82,357,138.65,49741.016
1786032000000,2026-08-06T16:00:00Z,357,359,353.51,357,53.34,19022.2708
1786118400000,2026-08-07T16:00:00Z,357,359.18,355.75,357.89,106.98,38265.4591
1786204800000,2026-08-08T16:00:00Z,357.89,358.75,355.41,356.68,335.22,119461.2831
1786291200000,2026-08-09T16:00:00Z,356.68,360,354.61,358.21,44.96,16127.0395
1786377600000,2026-08-10T16:00:00Z,358.21,362.6,357,361.42,224.98,81058.0665
1786464000000,2026-08-11T16:00:00Z,361.42,366.5,356.26,365.74,224.82,81518.3336
1786550400000,2026-08-12T16:00:00Z,365.74,368.07,359.54,362.76,1086.13,395547.8898
1786636800000,2026-08-13T16:00:00Z,362.76,366.95,361.61,363.71,159.43,58124.2322
1786723200000,2026-08-14T16:00:00Z,363.71,365,361.92,364,219.28,79675.5917
1786809600000,2026-08-15T16:00:00Z,364,364.81,363.02,363.02,21.29,7743.6186
1786896000000,2026-08-16T16:00:00Z,363.02,365.75,360.81,363.65,57.47,20840.2314
1786982400000,2026-08-17T16:00:00Z,363.65,365.43,359.32,360.33,38.65,14021.1768
1787068800000,2026-08-18T16:00:00Z,360.33,365.83,357.15,357.15,68.74,24828.4409
1787155200000,2026-08-19T16:00:00Z,357.15,359.42,354.03,354.27,120.6,43007.9028
1787241600000,2026-08-20T16:00:00Z,354.27,357.14,351.61,353.39,229,81061.0473
1787328000000,2026-08-21T16:00:00Z,353.39,355.01,350.27,353.44,132.45,46706.6923
1787414400000,2026-08-22T16:00:00Z,353.44,355.14,352.01,352.26,50.17,17750.3154
1787500800000,2026-08-23T16:00:00Z,352.26,359.27,350.45,357.19,196.86,69948.2324
1787587200000,2026-08-24T16:00:00Z,357.19,360.2,353.5,356.13,134.13,48028.92
1787673600000,2026-08-25T16:00:00Z,356.13,358.27,355.07,357.2,33.13,11808.8352
1787760000000,2026-08-26T16:00:00Z,357.2,358.27,352.77,356.12,162.79,58019.031
1787846400000,2026-08-27T16:00:00Z,356.12,359.24,352.96,357.58,75.82,26984.3264
1787932800000,2026-08-28T16:00:00Z,357.58,359.34,355.28,357.59,22.02,7873.3787
1788019200000,2026-08-29T16:00:00Z,357.59,359.37,356.8,356.8,41.59,14862.4825
1788105600000,2026-08-30T16:00:00Z,356.8,358.27,354.79,356.23,24.84,8857.0792
1788192000000,2026-08-31T16:00:00Z,356.23,360.13,352.94,357.91,119.06,42438.6792
1788278400000,2026-09-01T16:00:00Z,357.91,361.48,354,358.4,65.37,23327.8952
1788364800000,2026-09-02T16:00:00Z,358.4,361.72,354.07,361.64,55.64,19845.4232
1788451200000,2026-09-03T16:00:00Z,361.64,363.68,355.3,357.27,46.17,16650.35
1788537600000,2026-09-04T16:00:00Z,357.27,359.76,357.2,358.1,81.52,29184.9448
1788624000000,2026-09-05T16:00:00Z,358.1,362.13,358.01,361.49,86.28,31061.9542
1788710400000,2026-09-06T16:00:00Z,361.49,361.52,357.68,359.88,149.25,53673.5425
1788796800000,2026-09-07T16:00:00Z,359.88,361.5,354.55,355.69,66.43,23773.054
1788883200000,2026-09-08T16:00:00Z,355.69,356.44,349.1,355.13,62.22,22015.0689
1788969600000,2026-09-09T16:00:00Z,355.13,356.7,351.75,353.28,24.05,8545.2116
1789056000000,2026-09-10T16:00:00Z,353.28,360,351.6,357.02,53.1,18883.3602
1789142400000,2026-09-11T16:00:00Z,357.02,357.66,356.3,356.57,31.79,11343.1163
