ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1780243200000,2026-05-31T16:00:00Z,64.75,65.82,61.23,64.2,835.4,53075.1907
1780329600000,2026-06-01T16:00:00Z,64.2,64.74,61.58,62.14,622.53,39601.0159
1780416000000,2026-06-02T16:00:00Z,62.14,64.12,57.9,58.94,11248.53,683606.3713
1780502400000,2026-06-03T16:00:00Z,58.94,62.86,56.84,62.1,8308.79,485024.7548
1780588800000,2026-06-04T16:00:00Z,62.1,64.25,59.38,59.53,6723.46,420479.1293
1780675200000,2026-06-05T16:00:00Z,59.53,59.54,57.61,58.2,1338.59,78264.5752
1780761600000,2026-06-06T16:00:00Z,58.2,58.22,57.95,58.21,39.26,2280.4572
1780848000000,2026-06-07T16:00:00Z,58.21,60.45,57.65,58.34,3978.05,233854.8637
1780934400000,2026-06-08T16:00:00Z,58.34,59.27,54.92,54.92,4469.9,257330.1234
1781020800000,2026-06-09T16:00:00Z,54.92,56.93,53.31,55.01,5885.16,327244.1594
1781107200000,2026-06-10T16:00:00Z,55.01,56.15,54.24,55.6,10306.25,566830.126
1781193600000,2026-06-11T16:00:00Z,55.6,61.34,55.6,57.21,18520.9,1094955.2382
1781280000000,2026-06-12T16:00:00Z,57.21,58.45,57,57.76,3117.03,180158.021
1781366400000,2026-06-13T16:00:00Z,57.76,57.79,57.48,57.49,115.71,6668.3497
1781452800000,2026-06-14T16:00:00Z,57.49,60,56.87,57.91,9488.07,559057.0777
1781539200000,2026-06-15T16:00:00Z,57.91,58.41,55.08,56.19,5853.07,331902.1953
1781625600000,2026-06-16T16:00:00Z,56.19,58.41,55.79,57.53,8491.18,483886.0928
1781712000000,2026-06-17T16:00:00Z,57.53,58.23,53.13,53.57,5707.7,319183.693
1781798400000,2026-06-18T16:00:00Z,53.57,54.79,52.97,54.48,5534.08,299499.7875
1781884800000,2026-06-19T16:00:00Z,54.48,54.79,53.75,54.35,47.51,2576.2821
1781971200000,2026-06-20T16:00:00Z,54.35,54.65,54.08,54.64,62.34,3396.7913
1782057600000,2026-06-21T16:00:00Z,54.64,54.83,50.89,51.76,5682.97,302609.5365
1782144000000,2026-06-22T16:00:00Z,51.76,52.18,49.4,52.1,17001.67,866070.5658
1782230400000,2026-06-23T16:00:00Z,52.1,52.3,49.03,49.76,13645.66,695571.3282
1782316800000,2026-06-24T16:00:00Z,49.76,49.82,46.33,46.57,10232.5,484316.5327
1782403200000,2026-06-25T16:00:00Z,46.57,48.82,45.84,48.7,9762.75,459244.4695
1782489600000,2026-06-26T16:00:00Z,48.7,49.08,46.43,47.33,11306.98,537163.5272
1782576000000,2026-06-27T16:00:00Z,47.33,47.54,47.32,47.37,53.82,2550.5684
1782662400000,2026-06-28T16:00:00Z,47.37,48.66,46.51,47.43,10108.69,481241.6003
1782748800000,2026-06-29T16:00:00Z,47.43,51.34,46.71,49.18,26764.33,1326062.2292
1782835200000,2026-06-30T16:00:00Z,49.18,54.05,49.18,53.72,12847.7,656707.0961
1782921600000,2026-07-01T16:00:00Z,53.72,58.8,52.3,55.07,12069.53,661897.0832
1783008000000,2026-07-02T16:00:00Z,55.07,55.58,54.12,55.53,3109.69,170397.7031
1783094400000,2026-07-03T16:00:00Z,55.53,55.63,55.49,55.6,132.36,7359.0153
1783180800000,2026-07-04T16:00:00Z,55.6,55.63,55.6,55.62,64.02,3560.3785
