ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1780243200000,2026-05-31T16:00:00Z,560.96,560.96,542.35,543.48,12.1,6689.3401
1780329600000,2026-06-01T16:00:00Z,543.48,547.77,531.89,536.22,47.28,25557.7872
1780416000000,2026-06-02T16:00:00Z,536.22,539.63,530,535.84,177.63,94849.9722
1780502400000,2026-06-03T16:00:00Z,535.84,537.53,525.13,532.28,47.17,25062.9959
1780588800000,2026-06-04T16:00:00Z,532.28,554.94,532.28,545.61,47.35,25772.058
1780675200000,2026-06-05T16:00:00Z,545.61,546.77,538.1,545.12,81.15,44161.7932
1780761600000,2026-06-06T16:00:00Z,545.12,545.8,545.1,545.45,2.39,1303.8404
1780848000000,2026-06-07T16:00:00Z,545.45,546.51,534.6,536.01,71.89,38963.4453
1780934400000,2026-06-08T16:00:00Z,536.01,548.55,530.67,542.68,16.11,8709.3385
1781020800000,2026-06-09T16:00:00Z,542.68,553.75,539.38,546.24,303.58,166591.5272
1781107200000,2026-06-10T16:00:00Z,546.24,555.2,538.95,555.2,76.85,41860.5007
1781193600000,2026-06-11T16:00:00Z,555.2,559.42,548.77,549.34,140.68,77587.73
1781280000000,2026-06-12T16:00:00Z,549.34,562.41,542.93,545.45,21.75,11959.6682
1781366400000,2026-06-13T16:00:00Z,545.45,545.45,545.45,545.45,0,0
1781452800000,2026-06-14T16:00:00Z,545.45,551.13,536.34,542.56,61.8,33606.7092
1781539200000,2026-06-15T16:00:00Z,542.56,553.79,535.1,552.81,31.2,17017.0659
1781625600000,2026-06-16T16:00:00Z,552.81,563.48,538.68,557.88,37.67,20865.5503
1781712000000,2026-06-17T16:00:00Z,557.88,557.88,518.98,520.66,112.62,60015.5603
1781798400000,2026-06-18T16:00:00Z,520.66,523.33,515.84,522.98,55.87,29072.9954
1781884800000,2026-06-19T16:00:00Z,522.98,524.77,520.65,522.99,3.5,1831.0191
1781971200000,2026-06-20T16:00:00Z,522.99,524.25,522.84,523.11,2.55,1335.4196
1782057600000,2026-06-21T16:00:00Z,523.11,524.46,503.49,508.78,184.04,94660.9858
1782144000000,2026-06-22T16:00:00Z,508.78,527,501.32,513.92,339.73,173441.6541
1782230400000,2026-06-23T16:00:00Z,513.92,517.17,504.54,505.63,13.91,7123.0647
1782316800000,2026-06-24T16:00:00Z,505.63,512.95,499,504.46,311.24,156778.2968
1782403200000,2026-06-25T16:00:00Z,504.46,505.8,495.61,505.38,20.32,10221.2251
1782489600000,2026-06-26T16:00:00Z,505.38,505.38,498.06,500.2,30.63,15333.8615
1782576000000,2026-06-27T16:00:00Z,500.2,503.15,497.96,503,23.28,11661.0373
1782662400000,2026-06-28T16:00:00Z,503,510.99,489.97,496.18,27.11,13550.6899
1782748800000,2026-06-29T16:00:00Z,496.18,506.65,492.74,505.61,303.2,151234.2896
1782835200000,2026-06-30T16:00:00Z,505.61,523.27,501.61,523.18,115.04,58794.7515
1782921600000,2026-07-01T16:00:00Z,523.18,541.46,517.82,537.93,385.91,204052.5689
1783008000000,2026-07-02T16:00:00Z,537.93,549.9,537.93,547.91,14.25,7789.3168
1783094400000,2026-07-03T16:00:00Z,547.91,552.95,547.91,552.79,16.76,9250.967
1783180800000,2026-07-04T16:00:00Z,552.79,553.06,552.72,552.98,6.63,3665.7897
1783267200000,2026-07-05T16:00:00Z,552.98,553.38,534.85,543.68,18.3,10089.9445
1783353600000,2026-07-06T16:00:00Z,543.68,552.04,540.76,549.36,13.53,7384.8493
1783440000000,2026-07-07T16:00:00Z,549.36,555.37,536.24,545.63,22.58,12344.8478
1783526400000,2026-07-08T16:00:00Z,545.63,552.6,529.94,529.94,23.48,12720.6169
1783612800000,2026-07-09T16:00:00Z,529.94,546.9,526.09,534.36,37.63,20061.3473
1783699200000,2026-07-10T16:00:00Z,534.36,565,534.36,554.4,9.72,5304.3715
1783785600000,2026-07-11T16:00:00Z,554.4,565.26,540,540,12.22,6775.9793
1783872000000,2026-07-12T16:00:00Z,540,551.08,538.1,542.87,12.55,6832.6864
1783958400000,2026-07-13T16:00:00Z,542.87,547.42,533.35,537.01,75.02,40597.5065
1784044800000,2026-07-14T16:00:00Z,537.01,540.35,526.44,531.29,6.35,3370.6324
1784131200000,2026-07-15T16:00:00Z,531.29,533.18,517.3,523.8,14.58,7641.715
1784217600000,2026-07-16T16:00:00Z,523.8,538.25,516.82,530.24,15.08,7893.7189
1784304000000,2026-07-17T16:00:00Z,530.24,530.84,521.2,523.21,6.31,3306.5096
1784390400000,2026-07-18T16:00:00Z,523.21,526.91,521.22,525.07,7.29,3819.0596
1784476800000,2026-07-19T16:00:00Z,525.07,531.51,522.1,530.7,7.69,4040.1648
1784563200000,2026-07-20T16:00:00Z,530.7,550.04,479.68,511.01,272.55,137474.9746
1784649600000,2026-07-21T16:00:00Z,511.01,532.49,505.57,528.89,27.74,14374.2913
1784736000000,2026-07-22T16:00:00Z,528.89,544.32,517.92,538.69,9.12,4850.855
1784822400000,2026-07-23T16:00:00Z,538.69,544.08,525.02,538.67,17.27,9204.6776
1784908800000,2026-07-24T16:00:00Z,538.67,544.44,538.01,543.38,25.46,13823.1981
1784995200000,2026-07-25T16:00:00Z,543.38,546.5,543.37,546.27,8.32,4543.51
1785081600000,2026-07-26T16:00:00Z,546.27,551.1,533.71,546.7,43.65,23867.8175
1785168000000,2026-07-27T16:00:00Z,546.7,564.5,543.33,553.57,218.47,119864.8385
1785254400000,2026-07-28T16:00:00Z,553.57,557.59,540.36,543.41,6.86,3786.9647
1785340800000,2026-07-29T16:00:00Z,543.41,546.38,520.96,525.33,49.72,26254.3736
1785427200000,2026-07-30T16:00:00Z,525.33,547.73,525.33,538.57,20.16,10754.2988
1785513600000,2026-07-31T16:00:00Z,538.57,546.72,534.25,544.89,30.85,16704.3245
1785600000000,2026-08-01T16:00:00Z,544.89,545.08,536.82,541.64,5.72,3096.8503
1785686400000,2026-08-02T16:00:00Z,541.64,555.29,536.32,545.4,31.81,17367.0517
1785772800000,2026-08-03T16:00:00Z,545.4,553.36,538.87,552.01,9.33,5102.6725
1785859200000,2026-08-04T16:00:00Z,552.01,557.19,548.83,551.44,6.17,3407.5604
1785945600000,2026-08-05T16:00:00Z,551.44,568.44,551.44,563,10.55,5877.1389
1786032000000,2026-08-06T16:00:00Z,563,568.9,562.8,566.71,14.14,8010.4718
