ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1779120000000,2026-05-18T16:00:00Z,203.1,203.53,191.64,195.38,310.72,61107.112
1779206400000,2026-05-19T16:00:00Z,195.38,203.09,194.22,200.82,1618.82,320996.6723
1779292800000,2026-05-20T16:00:00Z,200.82,210.52,197.89,207.04,3446.03,703502.2872
1779379200000,2026-05-21T16:00:00Z,207.04,243.5,206.01,239.64,7185.51,1601631.1374
1779465600000,2026-05-22T16:00:00Z,239.64,242.78,236.02,241.79,1986.09,474563.5114
1779552000000,2026-05-23T16:00:00Z,241.79,246.98,239.47,245.3,933.99,228222.012
1779638400000,2026-05-24T16:00:00Z,245.3,250,243.96,247.18,1171.45,289381.4229
1779724800000,2026-05-25T16:00:00Z,247.18,258.4,236.33,248.58,11173.42,2781397.4386
1779811200000,2026-05-26T16:00:00Z,248.58,254.63,224.56,226.8,10743.05,2583089.3018
1779897600000,2026-05-27T16:00:00Z,226.8,247.33,224.41,243.08,14591.01,3387010.6595
1779984000000,2026-05-28T16:00:00Z,243.08,259.99,242.81,251.09,7632.63,1917043.5544
1780070400000,2026-05-29T16:00:00Z,251.09,255.7,249.57,251.25,1823.39,459923.3138
1780156800000,2026-05-30T16:00:00Z,251.25,252.39,250.68,251.58,630.62,158456.3666
1780243200000,2026-05-31T16:00:00Z,251.58,252.64,226.57,233.08,20019.55,4817788.0347
1780329600000,2026-06-01T16:00:00Z,233.08,242.02,223.24,241.92,22074.04,5088021.986
1780416000000,2026-06-02T16:00:00Z,241.92,254.43,232.86,252.95,25481.57,6216880.3392
1780502400000,2026-06-03T16:00:00Z,252.95,254.87,235.32,239.2,19243.08,4686439.5117
1780588800000,2026-06-04T16:00:00Z,239.2,245.76,224.13,224.94,26585.85,6244571.6451
1780675200000,2026-06-05T16:00:00Z,224.94,224.94,200.11,205.13,16473.28,3462969.6348
1780761600000,2026-06-06T16:00:00Z,205.13,214.85,202.01,212.12,4668.32,981242.5053
1780848000000,2026-06-07T16:00:00Z,212.12,222.74,208.38,218.75,30708.85,6649016.6528
1780934400000,2026-06-08T16:00:00Z,218.75,237.04,198.47,198.47,85369.59,18928699.1947
1781020800000,2026-06-09T16:00:00Z,198.47,206.12,192.65,195.06,82491.94,16572183.7271
1781107200000,2026-06-10T16:00:00Z,195.06,199.42,186.11,194.93,56466.36,10904145.1903
1781193600000,2026-06-11T16:00:00Z,194.93,214.71,193.68,210.53,54342.49,11216739.6923
1781280000000,2026-06-12T16:00:00Z,210.53,216.19,210.1,215.64,11859.93,2527405.8051
1781366400000,2026-06-13T16:00:00Z,215.64,219.9,213.78,216.42,6325.56,1375966.3946
1781452800000,2026-06-14T16:00:00Z,216.42,226.41,214.82,221.98,26782.06,5928958.0395
1781539200000,2026-06-15T16:00:00Z,221.98,235.69,218.04,220.51,58653.74,13253512.5994
1781625600000,2026-06-16T16:00:00Z,220.51,223.07,213.9,217.82,56025.92,12223424.3746
1781712000000,2026-06-17T16:00:00Z,217.82,228.49,212.57,220.33,57637.88,12655189.4942
1781798400000,2026-06-18T16:00:00Z,220.33,234.33,219.52,228.66,27342.88,6204860.7524
1781884800000,2026-06-19T16:00:00Z,228.66,232.69,226.45,227.86,1764.03,404583.3539
1781971200000,2026-06-20T16:00:00Z,227.86,233.25,226.33,233.17,2442.5,560594.8986
1782057600000,2026-06-21T16:00:00Z,233.17,236.98,216.04,227.81,92795.24,21024911.4404
1782144000000,2026-06-22T16:00:00Z,227.81,230.39,198.52,202.93,88045.26,18691827.634
1782230400000,2026-06-23T16:00:00Z,202.93,215.41,194.55,196.54,98502.97,19829308.0965
1782316800000,2026-06-24T16:00:00Z,196.54,229.53,191.14,208.58,295353.82,62124358.3618
1782403200000,2026-06-25T16:00:00Z,208.58,215.39,196.65,200.45,111520.59,22844780.7848
1782489600000,2026-06-26T16:00:00Z,200.45,200.45,186.63,193.93,59470.44,11406920.447
1782576000000,2026-06-27T16:00:00Z,193.93,194.06,189.69,190.96,1605.9,307741.2439
1782662400000,2026-06-28T16:00:00Z,190.96,195.36,183.61,191.87,49514.69,9427254.8411
1782748800000,2026-06-29T16:00:00Z,191.87,193.8,184.76,187.53,61252.21,11615426.0564
1782835200000,2026-06-30T16:00:00Z,187.53,188.5,180.9,185.8,52056.04,9641908.6051
1782921600000,2026-07-01T16:00:00Z,185.8,190.72,174.42,175.35,67673.49,12363573.4498
1783008000000,2026-07-02T16:00:00Z,175.35,183.32,172.33,182.03,18303.27,3235980.8059
1783094400000,2026-07-03T16:00:00Z,182.03,186.94,181.77,184.47,3902.46,720728.0082
1783180800000,2026-07-04T16:00:00Z,184.47,185.54,183.76,183.76,739.11,136380.6352
1783267200000,2026-07-05T16:00:00Z,183.76,188.6,176.94,187.6,21142.88,3837382.3015
1783353600000,2026-07-06T16:00:00Z,187.6,188.76,179.26,182.31,19243.49,3537671.6924
1783440000000,2026-07-07T16:00:00Z,182.31,186.9,178.42,182.96,11187.86,2050317.4274
1783526400000,2026-07-08T16:00:00Z,182.96,196.14,182.49,194.63,8226.43,1561210.8743
1783612800000,2026-07-09T16:00:00Z,194.63,194.98,185.94,188.8,9275.68,1756593.554
1783699200000,2026-07-10T16:00:00Z,188.8,190.33,187.15,187.26,2156.07,407282.7529
1783785600000,2026-07-11T16:00:00Z,187.26,188.04,186.45,186.55,426.31,79751.3581
1783872000000,2026-07-12T16:00:00Z,186.55,188.62,182.27,185.88,9298.98,1718740.9805
1783958400000,2026-07-13T16:00:00Z,185.88,191.51,179.2,180.13,10063.62,1863522.7396
1784044800000,2026-07-14T16:00:00Z,180.13,181.86,175,176.21,6555.12,1173504.8042
1784131200000,2026-07-15T16:00:00Z,176.21,179.44,170.05,172.77,7425.3,1301349.7539
1784217600000,2026-07-16T16:00:00Z,172.77,172.78,163.76,169.2,17553.97,2933609.1924
