ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1747929600000,2025-05-22T16:00:00Z,11.33,11.56,10.97,11.0905,46555249,526031486.7424
1748016000000,2025-05-23T16:00:00Z,11.0959,11.22,11.08,11.19,22177386,247633088.2101
1748275200000,2025-05-26T16:00:00Z,11.4,11.8,11.35,11.75,36876077,429263571.8408
1748361600000,2025-05-27T16:00:00Z,11.755,11.76,11.49,11.495,61754660,717448817.0395
1748448000000,2025-05-28T16:00:00Z,11.4999,11.8,11.33,11.36,59025958,676736300.0388
1748534400000,2025-05-29T16:00:00Z,11.3618,11.4665,11.19,11.285,57403177,650534380.8052
1748620800000,2025-05-30T16:00:00Z,11.285,11.47,11.22,11.38,32447981,368762633.1861
1748793600000,2025-06-01T16:00:00Z,11.3,11.37,11.03,11.2859,29837713,334791827.6849
1748880000000,2025-06-02T16:00:00Z,11.285,11.49,11.21,11.43,42669667,484285797.7259
1748966400000,2025-06-03T16:00:00Z,11.4218,11.58,11.32,11.485,48929500,560283824.9374
1749052800000,2025-06-04T16:00:00Z,11.48,11.54,11.26,11.4525,35227686,402409624.9336
1749139200000,2025-06-05T16:00:00Z,11.455,11.67,11.22,11.635,50834122,582744440.4022
1749225600000,2025-06-06T16:00:00Z,11.63,11.8,11.57,11.77,20711353,242153777.003
1749398400000,2025-06-08T16:00:00Z,11.8,11.95,11.75,11.82,17363021,205566941.5373
1749484800000,2025-06-09T16:00:00Z,11.82,11.92,11.72,11.755,39691814,469470341.7203
1749571200000,2025-06-10T16:00:00Z,11.755,12.01,11.39,11.405,46395493,543273836.4031
1749657600000,2025-06-11T16:00:00Z,11.405,11.43,10.68,10.735,75394478,830919078.754
1749744000000,2025-06-12T16:00:00Z,10.7399,10.91,10.27,10.61,60276328,638089881.8485
1749830400000,2025-06-13T16:00:00Z,10.605,10.65,10.31,10.39,31031523,324025689.6989
1750003200000,2025-06-15T16:00:00Z,10.47,10.91,10.43,10.7795,30332088,326184738.1444
1750089600000,2025-06-16T16:00:00Z,10.7711,10.95,10.585,10.735,51779201,559886812.0818
1750176000000,2025-06-17T16:00:00Z,10.735,10.81,10.44,10.685,50481925,537490309.0501
1750262400000,2025-06-18T16:00:00Z,10.685,10.73,10.55,10.5899,36401609,387313274.0498
1750348800000,2025-06-19T16:00:00Z,10.58,10.79,10.54,10.635,27330713,292501044.6392
1750435200000,2025-06-20T16:00:00Z,10.635,10.66,10.5,10.62,26496053,280439917.6451
1750608000000,2025-06-22T16:00:00Z,10.54,10.63,10.28,10.375,29733865,311392784.9017
1750694400000,2025-06-23T16:00:00Z,10.38,11.44,10.26,11.335,81868436,897974357.5471
1750780800000,2025-06-24T16:00:00Z,11.3311,11.46,11.05,11.06,43364328,490120441.7121
1750867200000,2025-06-25T16:00:00Z,11.065,11.255,10.95,11.155,41011473,454729624.1977
1750953600000,2025-06-26T16:00:00Z,11.155,11.46,11.11,11.3252,42294474,476105737.8622
1751040000000,2025-06-27T16:00:00Z,11.325,11.39,11.15,11.26,19500781,219722510.7346
1751212800000,2025-06-29T16:00:00Z,11.34,11.45,11.19,11.195,16314798,183575511.7298
1751299200000,2025-06-30T16:00:00Z,11.195,11.65,11.13,11.645,38806022,439871070.7167
1751385600000,2025-07-01T16:00:00Z,11.65,11.79,11.425,11.715,41674925,483504461.5546
1751472000000,2025-07-02T16:00:00Z,11.715,11.93,11.58,11.715,41131351,482191780.048
1751558400000,2025-07-03T16:00:00Z,11.72,11.75,11.67,11.6703,9020610,105556226.9778
1751817600000,2025-07-06T16:00:00Z,11.7,11.97,11.54,11.5729,26480332,310852242.8642
1751904000000,2025-07-07T16:00:00Z,11.5799,11.9,11.44,11.7799,50783868,591797208.3439
1751990400000,2025-07-08T16:00:00Z,11.78,11.88,11.41,11.4854,61166605,710256156.9951
1752076800000,2025-07-09T16:00:00Z,11.488,13.06,11.39,12.925,111686299,1381233796.511
1752163200000,2025-07-10T16:00:00Z,12.925,13.18,12.35,12.425,104070223,1331062702.9426
1752249600000,2025-07-11T16:00:00Z,12.425,12.475,12.2,12.2599,36903006,455231694.4215
1752422400000,2025-07-13T16:00:00Z,12.14,12.37,12.09,12.285,26416287,322629329.8221
1752508800000,2025-07-14T16:00:00Z,12.2899,12.5,12.22,12.23,59284255,731458903.7707
1752595200000,2025-07-15T16:00:00Z,12.2399,12.34,11.91,12.0401,61694303,749390459.2864
1752681600000,2025-07-16T16:00:00Z,12.04,12.95,11.99,12.515,77463577,962783392.4831
1752768000000,2025-07-17T16:00:00Z,12.515,12.605,12.2,12.435,76495686,950799476.6753
1752854400000,2025-07-18T16:00:00Z,12.44,12.52,12.3412,12.5098,30464617,378907385.0341
1753027200000,2025-07-20T16:00:00Z,12.51,12.65,12.36,12.41,24467918,305123862.1107
1753113600000,2025-07-21T16:00:00Z,12.415,12.4453,12.18,12.395,51405378,634980572.6418
1753200000000,2025-07-22T16:00:00Z,12.395,12.67,12.3,12.635,58212497,729798482.7304
1753286400000,2025-07-23T16:00:00Z,12.635,12.88,11.33,11.675,112989839,1361447589.4828
1753372800000,2025-07-24T16:00:00Z,11.675,11.72,11.43,11.6012,78851255,912217192.4647
1753459200000,2025-07-25T16:00:00Z,11.6018,11.66,11.48,11.5,27298574,315395910.325
1753632000000,2025-07-27T16:00:00Z,11.5,11.63,11.4,11.52,31128183,358984529.4352
1753718400000,2025-07-28T16:00:00Z,11.515,11.6497,11.41,11.51,68783949,792289965.343
1753804800000,2025-07-29T16:00:00Z,11.5148,11.6399,11.31,11.445,61245273,701764917.8867
1753891200000,2025-07-30T16:00:00Z,11.4452,11.64,11.34,11.36,80165326,921931243.1878
1753977600000,2025-07-31T16:00:00Z,11.365,11.6,10.9,11.075,82042795,927582615.7054
1754064000000,2025-08-01T16:00:00Z,11.075,11.17,10.97,11.03,35580745,392532188.7815
1754236800000,2025-08-03T16:00:00Z,11.12,11.305,11.07,11.155,31286550,350224421.9742
