ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1749484800000,2025-06-09T16:00:00Z,36.2,36.57,32.69,35.22,23917690,842746335.894
1749571200000,2025-06-10T16:00:00Z,35.225,36.98,34.9701,36.32,12828358,459747710.1227
1749657600000,2025-06-11T16:00:00Z,36.3039,37.71,35.5,36.71,11369093,414848982.4213
1749744000000,2025-06-12T16:00:00Z,36.685,41.1317,34.56,39.6348,21451430,833696320.4728
1749830400000,2025-06-13T16:00:00Z,39.6472,39.95,37.92,38.4101,6031561,234914684.8071
1750003200000,2025-06-15T16:00:00Z,38.87,42.93,38.74,41.2401,11673669,485172627.0976
1750089600000,2025-06-16T16:00:00Z,41.2475,42.135,40,40.205,11130016,457433395.7597
1750176000000,2025-06-17T16:00:00Z,40.22,43.98,38.82,42.62,17391644,718096047.8569
1750262400000,2025-06-18T16:00:00Z,42.625,44.71,42.48,44.49,8924233,392411982.3985
1750348800000,2025-06-19T16:00:00Z,45.9,48.94,44.21,46.93,13768687,647685268.4325
1750435200000,2025-06-20T16:00:00Z,46.9629,46.99,45.64,46.1097,6310961,291774613.356
1750608000000,2025-06-22T16:00:00Z,46.2,48.59,43.02,46.62,10029177,462823485.5355
1750694400000,2025-06-23T16:00:00Z,46.58,52.65,45.42,52.3605,20547078,1021720645.4954
1750780800000,2025-06-24T16:00:00Z,52.365,54.0499,48.68,51.53,21787141,1134313558.8187
1750867200000,2025-06-25T16:00:00Z,51.51,53.38,48.7603,51.415,18500191,939498036.2703
1750953600000,2025-06-26T16:00:00Z,51.41,53.35,49.68,51.05,12224916,629093078.2225
1751040000000,2025-06-27T16:00:00Z,51.065,51.53,49.25,49.45,9060402,452301798.3682
1751212800000,2025-06-29T16:00:00Z,49.41,50.75,46.2,47.3853,8914697,425475647.7243
1751299200000,2025-06-30T16:00:00Z,47.4049,48.45,44.3636,44.76,8840437,407929150.9948
1751385600000,2025-07-01T16:00:00Z,44.76,46,43.76,44.395,6777494,305244056.0706
1751472000000,2025-07-02T16:00:00Z,44.395,48.32,44.28,45.805,9273655,427159343.638
1751558400000,2025-07-03T16:00:00Z,45.795,45.99,45.28,45.99,1407337,64141943.8617
1751817600000,2025-07-06T16:00:00Z,46.34,47.3,44.03,45.14,4402725,199833103.4524
1751904000000,2025-07-07T16:00:00Z,45.141,47.34,44.7306,45.03,6982707,318702108.1967
1751990400000,2025-07-08T16:00:00Z,45.05,46.6,42.81,43.9,9269157,414643632.2685
1752076800000,2025-07-09T16:00:00Z,43.8996,44.67,42.44,44.4999,7960301,346391028.3973
1752163200000,2025-07-10T16:00:00Z,44.51,46.6898,43.31,45.6,10476913,472014150.2907
1752249600000,2025-07-11T16:00:00Z,45.5937,47.72,45.41,45.5001,7051195,327662641.8016
1752422400000,2025-07-13T16:00:00Z,45,48.4,44.35,47.284,7200711,338333348.5696
1752508800000,2025-07-14T16:00:00Z,47.22,50.2,46.81,50.06,10474725,506403751.3523
1752595200000,2025-07-15T16:00:00Z,50.02,52.14,49.27,50.2,12286171,620771709.6164
1752681600000,2025-07-16T16:00:00Z,50.26,57.41,50.16,56.96,13694293,743849953.3364
1752768000000,2025-07-17T16:00:00Z,56.99,58.12,55.21,56.27,10710444,608980979.5193
1752854400000,2025-07-18T16:00:00Z,56.27,58.0851,55.8,58.01,3191049,181721326.5321
1753027200000,2025-07-20T16:00:00Z,58.01,60.95,57.01,57.1274,6866293,404994603.7852
1753113600000,2025-07-21T16:00:00Z,57.13,58.7799,51.2104,54.2,13239893,728336559.5753
1753200000000,2025-07-22T16:00:00Z,54.18,60.28,53.55,58.19,10656266,611498446.701
1753286400000,2025-07-23T16:00:00Z,58.1,60.52,56.21,59.3966,7422057,434031519.356
1753372800000,2025-07-24T16:00:00Z,59.395,60.5399,52.4,54.99,19655453,1101437064.1622
1753459200000,2025-07-25T16:00:00Z,54.9514,55.51,53.0302,54.54,10315154,560780975.593
1753632000000,2025-07-27T16:00:00Z,55.34,55.75,53.5,54.6424,4425322,241827112.8044
1753718400000,2025-07-28T16:00:00Z,54.645,55,51.3,52.27,8457740,450545493.4546
1753804800000,2025-07-29T16:00:00Z,52.275,55.69,51.9,55.4857,6815215,367730784.8434
1753891200000,2025-07-30T16:00:00Z,55.4879,55.78,53.4,54.53,6355588,347652950.9336
1753977600000,2025-07-31T16:00:00Z,54.55,55.265,49.72,53.6934,8830359,462840326.4802
1754064000000,2025-08-01T16:00:00Z,53.665,54.58,51.5,51.7,3646447,193316121.1657
1754236800000,2025-08-03T16:00:00Z,52.86,53.47,49.91,51.4,5032222,256899075.9774
1754323200000,2025-08-04T16:00:00Z,51.41,51.95,49.93,51.45,6008329,307128901.446
1754409600000,2025-08-05T16:00:00Z,51.4743,54.96,51.4001,52.35,7264427,382125507.9248
1754496000000,2025-08-06T16:00:00Z,52.37,52.74,47.7,48.53,7948953,400043629.1707
1754582400000,2025-08-07T16:00:00Z,48.5439,48.88,46.3,47.265,9535593,456009740.5142
1754668800000,2025-08-08T16:00:00Z,47.265,47.5895,46.35,46.95,3044498,142983187.5881
1754841600000,2025-08-10T16:00:00Z,46.75,47.81,45.46,46.55,3529795,165155801.0622
1754928000000,2025-08-11T16:00:00Z,46.5799,55.5,42.5,50.85,19976323,1023310460.3785
1755014400000,2025-08-12T16:00:00Z,50.89,51.73,47.12,49.885,12275566,608319567.2731
1755100800000,2025-08-13T16:00:00Z,49.86,51.95,47.91,48.075,8707112,434167882.4513
1755187200000,2025-08-14T16:00:00Z,48.084,49.08,47.5,48.24,7830241,378010108.2911
1755273600000,2025-08-15T16:00:00Z,48.26,48.98,47.87,48.41,2139731,103783056.0579
1755446400000,2025-08-17T16:00:00Z,48.41,50.2699,47.7534,50.12,3225655,158705709.8418
1755532800000,2025-08-18T16:00:00Z,50.0739,50.5,45.9201,46.385,9628185,463899864.1427
1755619200000,2025-08-19T16:00:00Z,46.3884,46.48,42,43.9548,9344299,416746453.5932
1755705600000,2025-08-20T16:00:00Z,43.945,46.16,43.6,44.52,4131146,184545640.1623
1755792000000,2025-08-21T16:00:00Z,44.51,47.03,44.19,46.33,4256828,194247880.5774
1755878400000,2025-08-22T16:00:00Z,46.34,48.1981,46.23,47.89,2983724,140212290.3754
1756051200000,2025-08-24T16:00:00Z,48.01,51.325,47.08,50.19,6308511,313781673.913
1756137600000,2025-08-25T16:00:00Z,50.2,53.2,49.59,51.84,8764630,449715436.7466
1756224000000,2025-08-26T16:00:00Z,51.855,51.9505,48.65,49.66,5388560,271827871.9842
1756310400000,2025-08-27T16:00:00Z,49.315,49.69,47.1413,48.315,5501013,266779771.1772
1756396800000,2025-08-28T16:00:00Z,48.34,49.82,46.76,48.25,4764375,229381964.5971
1756483200000,2025-08-29T16:00:00Z,48.51,49.8,48.1467,49.8,2012265,97913143.9204
1756742400000,2025-09-01T16:00:00Z,51,51.99,47.1015,47.79,3967501,194252486.9164
1756828800000,2025-09-02T16:00:00Z,47.89,49.3999,47.02,47.25,4492481,216474931.3308
1756915200000,2025-09-03T16:00:00Z,47.06,47.11,41.57,41.88,11372579,497770256.9772
1757001600000,2025-09-04T16:00:00Z,41.89,44.4,41.05,42.51,9394657,396525589.6961
1757088000000,2025-09-05T16:00:00Z,42.49,43.12,42.25,42.66,2572019,109711308.462
1757260800000,2025-09-07T16:00:00Z,45.01,45.01,35.9,39.96,13883768,543237595.2708
1757347200000,2025-09-08T16:00:00Z,39.89,40.95,36.08,37.01,17984621,687957297.5241
1757433600000,2025-09-09T16:00:00Z,36.92,38.2,36.5101,37.39,14960915,555584559.2853
1757520000000,2025-09-10T16:00:00Z,37.36,38.65,37.14,38.365,7508143,284340159.5534
1757606400000,2025-09-11T16:00:00Z,38.38,39.05,37.9,38.1,6579802,253036318.4543
1757692800000,2025-09-12T16:00:00Z,38.055,39.21,37.72,38.75,4165347,160640434.8954
1757865600000,2025-09-14T16:00:00Z,39.01,41.49,38.71,40.845,5601646,226987498.6493
1757952000000,2025-09-15T16:00:00Z,40.84,42.25,39.88,40.4,8336185,340480810.0464
1758038400000,2025-09-16T16:00:00Z,40.36,40.97,39.5,40.46,5260294,212855081.3362
1758124800000,2025-09-17T16:00:00Z,40.365,42.5,40.01,41.52,9624569,396809235.3788
1758211200000,2025-09-18T16:00:00Z,41.5,44.7,40.9,44.525,10792738,461923252.7446
1758297600000,2025-09-19T16:00:00Z,44.51,46.08,44.26,45.11,8315285,375724117.5302
1758470400000,2025-09-21T16:00:00Z,45,49.48,45,47.265,7079701,331447585.3444
1758556800000,2025-09-22T16:00:00Z,47.21,55.2713,46.72,55.26,17587627,903698115.8068
1758643200000,2025-09-23T16:00:00Z,55.35,56.73,53.111,53.85,18766816,1030552422.7061
1758729600000,2025-09-24T16:00:00Z,53.97,55.19,49.2202,50.51,10877879,566336832.6451
1758816000000,2025-09-25T16:00:00Z,50.515,50.6718,48.02,48.75,8227181,405117125.4387
1758902400000,2025-09-26T16:00:00Z,48.755,51.48,48.71,49.22,4539301,226779987.5173
1759075200000,2025-09-28T16:00:00Z,49.21,52.38,49.21,50.61,4865463,247575496.2915
1759161600000,2025-09-29T16:00:00Z,50.595,50.74,47.649,48.4,7274151,356234140.9896
1759248000000,2025-09-30T16:00:00Z,48.49,55.98,47.5,55.28,14410957,757501824.2072
1759334400000,2025-10-01T16:00:00Z,55.39,64.335,55,63.72,22607224,1344314504.0588
1759420800000,2025-10-02T16:00:00Z,63.68,68.69,63.1312,68.52,20155267,1329372218.1467
1759507200000,2025-10-03T16:00:00Z,68.51,68.8,66.8,67.5523,7403675,501891801.8959
1759680000000,2025-10-05T16:00:00Z,67.49,72.345,67.49,71.425,7014674,497119514.2389
1759766400000,2025-10-06T16:00:00Z,71.46,74.77,66.6,69.655,18576221,1326397384.6838
1759852800000,2025-10-07T16:00:00Z,69.88,91.4137,69.59,81.86,37799927,3118963123.3201
1759939200000,2025-10-08T16:00:00Z,81.92,87.1,80.02,86.99,21608604,1800597491.8248
1760025600000,2025-10-09T16:00:00Z,87.015,90.9,82.0831,86.175,19088840,1661576779.346
1760112000000,2025-10-10T16:00:00Z,86.19,86.3399,75.5,80,6835585,571071409.888
1760284800000,2025-10-12T16:00:00Z,82.01,90.96,82.01,86.74,5488140,475237413.6165
1760371200000,2025-10-13T16:00:00Z,87.135,95.66,85.3,95.19,13951282,1265348053.0611
1760457600000,2025-10-14T16:00:00Z,95.31,99.82,93.14,94.91,17341459,1682602488.7358
1760544000000,2025-10-15T16:00:00Z,94.94,102.79,92.3001,92.87,16030497,1560399461.9236
1760630400000,2025-10-16T16:00:00Z,93.095,94.48,78.01,82.67,15930691,1386173466.8843
1760716800000,2025-10-17T16:00:00Z,82.66,85.55,82.595,85.4,4263547,356501024.1747
1760889600000,2025-10-19T16:00:00Z,85.61,89.64,84.75,84.96,4905277,425632459.0698
1760976000000,2025-10-20T16:00:00Z,84.965,86.7,79.19,80.97,6423267,530160352.1888
1761062400000,2025-10-21T16:00:00Z,81.01,81.4953,67.61,68.84,21359447,1536589577.4298
1761148800000,2025-10-22T16:00:00Z,68.755,75.01,66.671,71.45,18029781,1271182025.1956
1761235200000,2025-10-23T16:00:00Z,71.415,74.96,70.83,72.91,11075825,802947491.7385
1761321600000,2025-10-24T16:00:00Z,72.95,74.3,72.55,74.21,4091660,300004388.4571
1761494400000,2025-10-26T16:00:00Z,74.99,77.6,73.99,76.57,4294103,325264668.3065
1761580800000,2025-10-27T16:00:00Z,76.585,81.6,76.44,79.57,10510433,830076609.9167
1761667200000,2025-10-28T16:00:00Z,79.43,84.01,76.45,80.985,12817833,1027993688.0722
1761753600000,2025-10-29T16:00:00Z,80.81,81.69,76.8201,79.32,8080420,642744553.0008
1761840000000,2025-10-30T16:00:00Z,79.28,80.93,74.5,78.49,8866261,693780751.9501
1761926400000,2025-10-31T16:00:00Z,78.22,81.28,77.63,80.7,3912639,309409265.6169
1762099200000,2025-11-02T16:00:00Z,80.68,82.1,73.3201,74.14,4480116,340143901.9325
1762185600000,2025-11-03T16:00:00Z,74.11,74.51,67.01,70.95,10181519,725926236.7817
1762272000000,2025-11-04T16:00:00Z,70.955,71.95,67.09,71.125,6494813,456179065.2555
1762358400000,2025-11-05T16:00:00Z,71.27,71.805,67.6,67.77,5296825,369586722.6311
1762444800000,2025-11-06T16:00:00Z,67.79,70.2,61.89,65.82,8642854,567836819.136
1762531200000,2025-11-07T16:00:00Z,65.75,70.9,64.4,70.37,5101745,345028305.956
1762704000000,2025-11-09T16:00:00Z,70.2,73.41,67.4001,67.485,3221178,227177585.1198
1762790400000,2025-11-10T16:00:00Z,67.46,71.5,64.12,69.17,9640205,664059331.7177
1762876800000,2025-11-11T16:00:00Z,69.05,70.675,65.1725,65.41,8705585,595350168.0655
1762963200000,2025-11-12T16:00:00Z,65.45,66.45,62.4,62.72,7973307,514647640.9186
1763049600000,2025-11-13T16:00:00Z,62.68,64.13,57.25,63.805,11021890,675004135.272
1763136000000,2025-11-14T16:00:00Z,63.79,64.8399,61.01,61.69,4793216,300866162.3281
1763308800000,2025-11-16T16:00:00Z,62,63.79,58,59.07,2725144,162898257.7767
1763395200000,2025-11-17T16:00:00Z,59.215,59.26,54.64,55.19,8434400,479208631.297
1763481600000,2025-11-18T16:00:00Z,54.95,61.75,54.67,59.67,8877956,520024357.8635
1763568000000,2025-11-19T16:00:00Z,59.71,61.69,57.48,59.05,10565425,625283290.762
1763654400000,2025-11-20T16:00:00Z,59.09,59.39,48.07,49.97,15461220,817233153.5904
1763740800000,2025-11-21T16:00:00Z,50.08,52.4,49.31,52.09,6937444,356314935.2935
1763913600000,2025-11-23T16:00:00Z,53.22,53.5981,51.01,52.49,3001055,157997531.2622
1764000000000,2025-11-24T16:00:00Z,52.8,56.31,52.32,54.49,8897576,481412764.4762
1764086400000,2025-11-25T16:00:00Z,54.44,57.48,54.0216,56.335,8273589,458726024.4663
1764172800000,2025-11-26T16:00:00Z,56.33,56.6935,55.02,56.02,2968539,166398814.3356
1764259200000,2025-11-27T16:00:00Z,56.16,57.8099,55.55,56.87,2263243,128939301.8379
1764345600000,2025-11-28T16:00:00Z,56.92,57.5,56.08,56.45,1897802,107818201.3162
1764518400000,2025-11-30T16:00:00Z,56.99,56.99,52.2,53.07,2814173,150414348.0289
1764604800000,2025-12-01T16:00:00Z,53.21,56.6899,52.2,56.02,6245266,338021618.9582
1764691200000,2025-12-02T16:00:00Z,55.87,59.22,54.95,58.62,9094167,518151005.9478
1764777600000,2025-12-03T16:00:00Z,58.575,70.545,56.82,70.07,15828890,1004758080.1671
1764864000000,2025-12-04T16:00:00Z,70.08,75.58,68.5502,73.78,19259201,1392038498.5566
1764950400000,2025-12-05T16:00:00Z,74.075,75.14,72.8014,73.761,7333891,542448468.1995
1765123200000,2025-12-07T16:00:00Z,73.54,76.84,70.7513,71.905,5962217,439772331.2057
1765209600000,2025-12-08T16:00:00Z,71.855,74.75,70.835,72.22,8468223,618145331.5954
