ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1748793600000,2025-06-01T16:00:00Z,245.74,249.86,240.91,245.88,2924370,718068572.6946
1748880000000,2025-06-02T16:00:00Z,245.95,260.25,244,258.8,7310830,1843952374.1892
1748966400000,2025-06-03T16:00:00Z,258.62,263.27,254.455,256.645,7098925,1833601774.5183
1749052800000,2025-06-04T16:00:00Z,256.655,265.65,253.12,260.05,7101994,1830473667.1531
1749139200000,2025-06-05T16:00:00Z,260.055,260.5,238.5,252.37,9600560,2397893289.2184
1749225600000,2025-06-06T16:00:00Z,252.33,255.4199,250.1081,251.4801,3495064,884909921.2196
1749398400000,2025-06-08T16:00:00Z,254.22,258.3,252.4,254.02,2936078,747383288.9812
1749484800000,2025-06-09T16:00:00Z,253.92,262.4,251.63,255.08,5443407,1395437681.6889
1749571200000,2025-06-10T16:00:00Z,255.0901,259.9,254.1,256.54,4833825,1238239369.3369
1749657600000,2025-06-11T16:00:00Z,256.48,256.9587,242.9808,244.41,5996636,1490366303.4435
1749744000000,2025-06-12T16:00:00Z,244.455,245.1,233.23,239.19,6812134,1637499983.5122
1749830400000,2025-06-13T16:00:00Z,239.19,243.5,237.539,243,3830261,922969050.2155
1750003200000,2025-06-15T16:00:00Z,248,256.6625,245.32,255.41,4349778,1095039958.6458
1750089600000,2025-06-16T16:00:00Z,255.57,263.3,254.17,255.145,9324848,2414484813.222
1750176000000,2025-06-17T16:00:00Z,255.02,279.95,248.68,278.38,13795974,3612652927.1762
1750262400000,2025-06-18T16:00:00Z,278.43,299.32,278,293.45,26296029,7623692756.286
1750348800000,2025-06-19T16:00:00Z,292.5,310.58,289.04,307.785,16946141,5153730464.1282
1750435200000,2025-06-20T16:00:00Z,307.78,310.75,300.8,305.47,12521847,3839499683.8703
1750608000000,2025-06-22T16:00:00Z,303.56,314.25,298.5,304.7361,9790951,3005450923.0354
1750694400000,2025-06-23T16:00:00Z,304.86,338.34,294.5601,336.89,20622381,6626192648.2275
1750780800000,2025-06-24T16:00:00Z,336.89,369.28,334.2,346.95,34601411,12147476069.2844
1750867200000,2025-06-25T16:00:00Z,347.03,374.97,343.62,366.505,22270295,8034500373.1405
1750953600000,2025-06-26T16:00:00Z,366.505,382,346.66,355.85,26861768,9830755980.1294
1751040000000,2025-06-27T16:00:00Z,355.8905,358.82,346.93,351,10114120,3572689852.5994
1751212800000,2025-06-29T16:00:00Z,356.58,360.45,349.7,353.41,5872664,2081632267.8274
1751299200000,2025-06-30T16:00:00Z,353.45,354.92,335.8101,336.52,11700979,4052047340.7741
1751385600000,2025-07-01T16:00:00Z,336.405,351.11,334,348.19,10146542,3458886702.6612
1751472000000,2025-07-02T16:00:00Z,348.12,359,347.13,354,10576355,3742730596.8536
1751558400000,2025-07-03T16:00:00Z,354,356.4467,351.6,356.15,1916881,678685154.8523
