ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1747929600000,2025-05-22T16:00:00Z,85.42,86.7,84.72,84.983,5331142,457411450.3997
1748016000000,2025-05-23T16:00:00Z,84.99,85.74,84.84,85.28,2754176,234934613.5894
1748275200000,2025-05-26T16:00:00Z,85.82,86.29,84.5598,85.2266,2378827,202438498.2762
1748361600000,2025-05-27T16:00:00Z,85.225,86.61,84.71,85.05,5605286,478533818.1619
1748448000000,2025-05-28T16:00:00Z,85.07,86.19,84.28,84.45,5293552,449539115.1266
1748534400000,2025-05-29T16:00:00Z,84.46,86.05,84.335,84.88,6428035,548519142.332
1748620800000,2025-05-30T16:00:00Z,84.89,85.5,84.54,85.27,4944542,421042889.6075
1748793600000,2025-06-01T16:00:00Z,86.36,87.62,86,87.1604,3609799,312769667.0437
1748880000000,2025-06-02T16:00:00Z,87.18,88.34,85.38,88.305,5292529,459763336.2925
1748966400000,2025-06-03T16:00:00Z,88.29,88.87,86.39,86.48,5142709,452404316.9104
1749052800000,2025-06-04T16:00:00Z,86.46,86.84,85.31,85.94,5029215,432578616.3754
1749139200000,2025-06-05T16:00:00Z,85.97,87.79,85.231,87.6807,4212873,364333591.6313
1749225600000,2025-06-06T16:00:00Z,87.695,87.74,86.96,87.25,2307648,201288280.6284
1749398400000,2025-06-08T16:00:00Z,87.44,88.15,87.0201,87.805,1863264,163422463.5909
1749484800000,2025-06-09T16:00:00Z,87.79,91.405,87.66,91.165,6809322,610347454.1664
1749571200000,2025-06-10T16:00:00Z,91.16,92.9253,90.2417,91.89,6642285,606855774.8791
1749657600000,2025-06-11T16:00:00Z,91.86,94.4501,91.46,94.43,7049033,656893324.8917
1749744000000,2025-06-12T16:00:00Z,94.42,101.5,93.88,95.91,10004342,958841485.1887
1749830400000,2025-06-13T16:00:00Z,95.94,98,95.505,97.2,8745733,843349794.0782
1750003200000,2025-06-15T16:00:00Z,98.46,98.46,94.01,95.1,4603073,437019623.4108
1750089600000,2025-06-16T16:00:00Z,95.08,96.75,94.66,95.595,7749155,738999813.4827
1750176000000,2025-06-17T16:00:00Z,95.616,96.61,93.84,94.27,7496691,715440582.4602
1750262400000,2025-06-18T16:00:00Z,94.25,94.4,93.31,94.09,4284978,402573500.5893
1750348800000,2025-06-19T16:00:00Z,94.5,95.05,93.88,94.405,3100428,293073097.5125
1750435200000,2025-06-20T16:00:00Z,94.405,95.18,93.69,94.99,4965713,468598116.0782
1750608000000,2025-06-22T16:00:00Z,96.21,97,93.88,94.39,2695425,255301531.0647
1750694400000,2025-06-23T16:00:00Z,94.38,94.59,89.6722,89.97,9311064,855061385.7197
1750780800000,2025-06-24T16:00:00Z,89.98,90.43,88.8,89.91,7782062,698084760.6633
