ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1747929600000,2025-05-22T16:00:00Z,321.86,323.745,311.0107,319.165,1260359,404511818.3459
1748016000000,2025-05-23T16:00:00Z,319.09,322.89,318.69,320.98,661525,212593482.4982
1748275200000,2025-05-26T16:00:00Z,327.94,328.81,323.37,328.42,566538,185175373.6244
1748361600000,2025-05-27T16:00:00Z,328.35,330,326.795,327.05,1277187,419107246.0441
1748448000000,2025-05-28T16:00:00Z,327.01,332.5,323.34,324.19,1745756,569676028.3623
1748534400000,2025-05-29T16:00:00Z,324.28,326.11,319.24,320.31,1442357,465747247.1678
1748620800000,2025-05-30T16:00:00Z,320.44,321.76,316.81,320.201,1543313,493524373.8223
1748793600000,2025-06-01T16:00:00Z,318.98,320,311.9,317.396,699285,220653119.1497
1748880000000,2025-06-02T16:00:00Z,317.22,326.71,316.07,326.69,1311377,420526081.2959
1748966400000,2025-06-03T16:00:00Z,326.6,329.68,316,327.2099,1470578,480384272.6337
1749052800000,2025-06-04T16:00:00Z,327.21,328.93,324.44,328.25,1316403,431097184.4488
1749139200000,2025-06-05T16:00:00Z,328.4199,333.5,324.54,331.58,1624728,534806442.8044
1749225600000,2025-06-06T16:00:00Z,331.63,332.04,330.23,331.45,968124,320742000.2233
1749398400000,2025-06-08T16:00:00Z,332.01,333.36,328.4,329.53,562105,186229997.0083
1749484800000,2025-06-09T16:00:00Z,329.51,329.87,318.76,321.71,1378695,448800382.8744
1749571200000,2025-06-10T16:00:00Z,321.74,326.89,319.07,326.01,1602781,519083756.8345
1749657600000,2025-06-11T16:00:00Z,326.1,329.82,322.4549,329.73,1222826,399421041.3705
1749744000000,2025-06-12T16:00:00Z,329.73,331.455,324.1655,327.97,1414975,465886647.0499
1749830400000,2025-06-13T16:00:00Z,327.91,328.415,322.3106,323.66,844996,274138898.4631
1750003200000,2025-06-15T16:00:00Z,326.84,339.135,326.84,338.32,1232603,414159424.7425
1750089600000,2025-06-16T16:00:00Z,338.35,339.705,333.7,334.46,2442144,825020121.4317
1750176000000,2025-06-17T16:00:00Z,334.48,338.06,329.8,336.76,2064211,689148191.2323
1750262400000,2025-06-18T16:00:00Z,336.73,338.16,333.75,334.1593,1428915,479770382.3863
1750348800000,2025-06-19T16:00:00Z,337.5,338,330.79,334.2,947687,316720483.496
1750435200000,2025-06-20T16:00:00Z,334.23,334.695,330.8,331,1015092,337052580.6384
1750608000000,2025-06-22T16:00:00Z,330,332.43,328.79,329,428637,141619320.0814
1750694400000,2025-06-23T16:00:00Z,328.89,340.69,324.38,340.29,1700504,569422085.3789
1750780800000,2025-06-24T16:00:00Z,340.31,347.43,339.92,343.15,2228810,765349522.8062
1750867200000,2025-06-25T16:00:00Z,343.045,347.2,340.86,346.36,1463074,503119776.1128
1750953600000,2025-06-26T16:00:00Z,346.4,357.6,346.4,355.505,2616921,919377864.1572
1751040000000,2025-06-27T16:00:00Z,355.54,356.63,351.635,352.01,1559694,552805896.9504
1751212800000,2025-06-29T16:00:00Z,355.75,357.54,352.16,357.165,592270,210514912.2279
1751299200000,2025-06-30T16:00:00Z,357.205,358.285,350.06,351.56,1784551,634860399.1597
1751385600000,2025-07-01T16:00:00Z,351.605,357.26,351.06,354.65,1745942,620115072.3641
1751472000000,2025-07-02T16:00:00Z,354.715,363.42,353.5901,362.364,1394981,499946244.3711
1751558400000,2025-07-03T16:00:00Z,362.49,362.83,361.63,362.22,472796,171306863.7424
1751817600000,2025-07-06T16:00:00Z,362.22,363.18,357.7121,358.1915,537215,193385595.3755
1751904000000,2025-07-07T16:00:00Z,358.28,360.8,353.98,356.485,1510913,539560505.6729
1751990400000,2025-07-08T16:00:00Z,356.495,360.38,356.07,358.74,1084982,388143682.6658
1752076800000,2025-07-09T16:00:00Z,358.715,361.715,345.74,356.44,1995601,707871940.7042
1752163200000,2025-07-10T16:00:00Z,356.58,361.65,353.8,359.305,1549017,554276254.2369
1752249600000,2025-07-11T16:00:00Z,359.1432,361.025,358.28,360.62,833803,300136112.4938
1752422400000,2025-07-13T16:00:00Z,358.79,361.155,357.1,359.37,336975,121149042.7481
1752508800000,2025-07-14T16:00:00Z,359.27,371.14,358.57,363.12,1328926,482434559.259
1752595200000,2025-07-15T16:00:00Z,363.29,366.137,356.7207,360.45,1751776,634728238.1835
1752681600000,2025-07-16T16:00:00Z,360.69,379.86,359.67,376.99,2527352,943215684.6752
1752768000000,2025-07-17T16:00:00Z,376.9,384.51,376.33,383.03,2649145,1009315360.6646
1752854400000,2025-07-18T16:00:00Z,383.12,383.3099,378,378.62,1395418,529689804.5206
1753027200000,2025-07-20T16:00:00Z,379.7,379.9,374.095,375.36,816770,307157274.7952
1753113600000,2025-07-21T16:00:00Z,375.36,377.665,365,371.22,2015341,751907710.3275
1753200000000,2025-07-22T16:00:00Z,371.24,382.2,369.9875,378.98,1822671,685892747.1404
1753286400000,2025-07-23T16:00:00Z,378.99,385.8,376.985,383.38,1696201,645661784.2884
1753372800000,2025-07-24T16:00:00Z,383.41,395.858,383.0417,388.2,1539275,595795490.8698
1753459200000,2025-07-25T16:00:00Z,388.08,393.07,387.85,392.49,1062895,416086438.6444
1753632000000,2025-07-27T16:00:00Z,405,405,391.52,392.585,1010349,398859665.6913
1753718400000,2025-07-28T16:00:00Z,392.65,396.73,387.055,389.125,1724278,676549598.1703
1753804800000,2025-07-29T16:00:00Z,389.125,394,387.21,390.74,1777835,693163827.1616
1753891200000,2025-07-30T16:00:00Z,390.82,396.28,387.26,390.17,2048831,801347459.356
1753977600000,2025-07-31T16:00:00Z,390.25,390.5,373.0501,381.825,2511837,962021244.9694
1754064000000,2025-08-01T16:00:00Z,381.81,382.995,377.88,381.3401,1153272,438958781.5197
1754236800000,2025-08-03T16:00:00Z,387,393.9099,382.61,383.77,804932,309733216.8352
1754323200000,2025-08-04T16:00:00Z,383.74,396.17,353.7,356.58,4845574,1778566549.9197
1754409600000,2025-08-05T16:00:00Z,356.34,363.79,354.33,359.715,4962353,1784355106.5868
1754496000000,2025-08-06T16:00:00Z,359.715,367.52,354.0001,359.36,3715577,1332916400.1471
1754582400000,2025-08-07T16:00:00Z,359.35,364.12,357.71,362.01,2316230,834463300.1109
1754668800000,2025-08-08T16:00:00Z,361.725,363.14,359.4,362.84,942125,341042030.7928
1754841600000,2025-08-10T16:00:00Z,363.29,363.29,358.01,359.055,736093,264762160.5961
1754928000000,2025-08-11T16:00:00Z,358.95,365.24,358.555,362.61,1635854,590062017.8808
1755014400000,2025-08-12T16:00:00Z,362.61,365.2,352.245,354.84,2436843,877775206.1224
1755100800000,2025-08-13T16:00:00Z,354.85,358.6856,351.78,356.22,2084166,740758158.2498
1755187200000,2025-08-14T16:00:00Z,356.04,356.345,350.27,352.04,1523721,539431096.7772
1755273600000,2025-08-15T16:00:00Z,351.935,352.6,350.58,351.3,804694,282804752.1635
1755446400000,2025-08-17T16:00:00Z,351.05,353.525,348.7085,353.1,425411,149603611.8887
1755532800000,2025-08-18T16:00:00Z,353.03,354.25,349.6,350.785,977118,344369788.9266
1755619200000,2025-08-19T16:00:00Z,350.89,351.06,339.26,342.66,2021906,698860091.1231
1755705600000,2025-08-20T16:00:00Z,342.81,348.61,342.03,345.11,1593013,549717373.1138
