ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1749225600000,2025-06-06T16:00:00Z,268.475,268.9995,267.58,268.9995,984835,264524525.2847
1749398400000,2025-06-08T16:00:00Z,268.06,272.18,266.71,271.9234,1152971,311818714.1847
1749484800000,2025-06-09T16:00:00Z,271.86,277,271.65,276.12,3776432,1034681279.7055
1749571200000,2025-06-10T16:00:00Z,276.1,280.78,275.05,280.36,4159182,1152497833.3066
1749657600000,2025-06-11T16:00:00Z,280.36,283.06,278.91,282.27,3310561,930390741.6633
1749744000000,2025-06-12T16:00:00Z,282.3442,282.6499,275,279.38,2436063,682105485.5632
1749830400000,2025-06-13T16:00:00Z,279.4125,279.84,275.3321,277,1491532,413964485.335
1750003200000,2025-06-15T16:00:00Z,278.8,284.5,278,282.83,1252806,354702097.0474
1750089600000,2025-06-16T16:00:00Z,282.88,284.7899,280.03,284.385,2352648,664346616.7387
1750176000000,2025-06-17T16:00:00Z,284.42,286.91,281.78,285.23,2598913,738117926.7554
1750262400000,2025-06-18T16:00:00Z,285.23,286.5399,282.94,283.25,1653030,470972823.7284
1750348800000,2025-06-19T16:00:00Z,283.5,284.14,277.2,282.7,2025864,569242083.1457
1750435200000,2025-06-20T16:00:00Z,282.7,283.01,280.0001,281.4,2009271,564904356.3479
1750608000000,2025-06-22T16:00:00Z,281.52,286.47,280.1093,285.43,947933,270260847.2577
1750694400000,2025-06-23T16:00:00Z,285.41,292.3995,283.2,292.3599,3557015,1027562951.7005
1750780800000,2025-06-24T16:00:00Z,292.29,296.16,290.56,291.56,3511496,1031012909.5465
1750867200000,2025-06-25T16:00:00Z,291.555,292.72,289.5,291.725,2806520,816661753.5126
1750953600000,2025-06-26T16:00:00Z,291.725,293.12,291.07,292.05,2560802,748117708.129
1751040000000,2025-06-27T16:00:00Z,292.18,292.79,288.52,289.65,1687277,489348698.6624
1751212800000,2025-06-29T16:00:00Z,291.4,293.43,290,293.12,743485,217219370.7273
1751299200000,2025-06-30T16:00:00Z,293.0117,295.19,290.38,290.38,2576100,756013271.0576
1751385600000,2025-07-01T16:00:00Z,290.495,292.55,286.9,287.75,2501419,726254524.3122
1751472000000,2025-07-02T16:00:00Z,287.73,292.32,287,290.72,2545232,735695100.3359
1751558400000,2025-07-03T16:00:00Z,290.85,291.97,290.69,291.52,731081,213211018.58
1751817600000,2025-07-06T16:00:00Z,291.3,295.2199,290,294.235,1734637,509939580.6952
1751904000000,2025-07-07T16:00:00Z,294.19,295.61,289.49,291.36,2864868,837428561.8378
1751990400000,2025-07-08T16:00:00Z,291.365,292.09,288.63,289.46,2035415,591350400.4858
1752076800000,2025-07-09T16:00:00Z,289.48,290.24,282.21,287.295,3153156,906306594.505
1752163200000,2025-07-10T16:00:00Z,287.31,288.8384,284.57,285.81,2250982,645747857.6929
1752249600000,2025-07-11T16:00:00Z,285.8,286.13,282.92,283.45,2040608,579703916.37
1752422400000,2025-07-13T16:00:00Z,281.26,284,280.98,283.18,931787,263618645.2252
1752508800000,2025-07-14T16:00:00Z,283.3,284.925,280.7301,282.2523,2312017,654571624.9638
1752595200000,2025-07-15T16:00:00Z,282.385,283.87,280.23,281.525,2150462,607234072.4315
1752681600000,2025-07-16T16:00:00Z,281.43,283.4566,279.87,281.735,2232004,628392249.3907
1752768000000,2025-07-17T16:00:00Z,281.72,287.16,281.08,285.985,2823639,801158889.8727
1752854400000,2025-07-18T16:00:00Z,285.985,286.59,284.77,286.38,1650430,471610556.9141
1753027200000,2025-07-20T16:00:00Z,286.47,287.489,284.41,287.3999,910839,260667832.9466
1753113600000,2025-07-21T16:00:00Z,287.3,287.73,281.76,281.98,2993201,852086418.948
1753200000000,2025-07-22T16:00:00Z,281.98,288.025,281.25,287.75,4494546,1274060285.4451
1753286400000,2025-07-23T16:00:00Z,287.755,288.84,252.75,259.05,19876516,5244164331.3839
1753372800000,2025-07-24T16:00:00Z,259.07,262.0486,256.35,257.475,10881796,2823282141.3886
1753459200000,2025-07-25T16:00:00Z,257.38,260.8,257.21,259.5399,3680008,953650495.0058
1753632000000,2025-07-27T16:00:00Z,259.8,264,259.35,263.48,2189686,573614515.4997
1753718400000,2025-07-28T16:00:00Z,263.47,265.7999,261.29,261.635,4110619,1079724681.7155
1753804800000,2025-07-29T16:00:00Z,261.55,263.285,259.1,259.38,3465138,906329949.4948
1753891200000,2025-07-30T16:00:00Z,259.282,260.95,256.5,257.78,3427131,887879107.0931
1753977600000,2025-07-31T16:00:00Z,257.855,258.0148,246.5,247.475,7614294,1913063063.8076
1754064000000,2025-08-01T16:00:00Z,247.45,250.2937,245.61,249.6,4650540,1153442929.3236
1754236800000,2025-08-03T16:00:00Z,250,251.94,248.11,250.625,1819102,454049552.5328
1754323200000,2025-08-04T16:00:00Z,250.63,252.8,249.44,250.45,4871987,1221374349.381
1754409600000,2025-08-05T16:00:00Z,250.4,251.7357,248.995,250.57,3221515,806888946.3576
1754496000000,2025-08-06T16:00:00Z,250.59,255,250.28,252.45,3337320,844495140.0227
1754582400000,2025-08-07T16:00:00Z,252.585,252.7538,243.89,244.34,5724213,1425435627.3914
1754668800000,2025-08-08T16:00:00Z,244.31,244.535,241.65,242.6,4150712,1008384865.326
1754841600000,2025-08-10T16:00:00Z,243,243.21,237.35,237.505,3087509,741424271.6907
1754928000000,2025-08-11T16:00:00Z,237.535,238.83,233.36,233.78,9466231,2230884415.5006
1755014400000,2025-08-12T16:00:00Z,233.77,240.8411,233.69,239.43,5803289,1373124777.165
1755100800000,2025-08-13T16:00:00Z,239.44,240.8,235.62,237.055,3735483,891975608.1006
1755187200000,2025-08-14T16:00:00Z,237.055,240.07,236.29,239.5091,2993144,712380396.8297
1755273600000,2025-08-15T16:00:00Z,239.43,240.62,238.98,240.17,1872805,449183196.2669
1755446400000,2025-08-17T16:00:00Z,239.34,241.42,239.1158,239.67,1167783,280435171.842
1755532800000,2025-08-18T16:00:00Z,239.6864,242.83,239.18,240.75,2612443,628262863.3857
1755619200000,2025-08-19T16:00:00Z,240.705,242.25,240,240.78,2389761,575829563.015
1755705600000,2025-08-20T16:00:00Z,240.77,242.88,239,239.16,2794268,674910849.6123
1755792000000,2025-08-21T16:00:00Z,239.16,243.68,238.65,243.075,2731356,657959303.4246
1755878400000,2025-08-22T16:00:00Z,243.075,243.3995,241.5,242.38,1391174,337124449.2667
1756051200000,2025-08-24T16:00:00Z,239.35,242.99,239.35,240.545,1714395,412864597.8733
1756137600000,2025-08-25T16:00:00Z,240.68,244.98,238.99,241.13,3018487,728926416.2005
1756224000000,2025-08-26T16:00:00Z,241.34,245.96,241.12,245.89,3452657,839187285.7497
1756310400000,2025-08-27T16:00:00Z,245.47,247,243.36,245.125,2502807,613271558.6212
1756396800000,2025-08-28T16:00:00Z,245.17,246,242.0874,242.19,2219029,542408851.1149
1756483200000,2025-08-29T16:00:00Z,242.105,244.464,241.72,243.2517,1312839,318733460.0356
1756742400000,2025-09-01T16:00:00Z,243.01,244.01,238.25,239.53,1193081,286441023.8374
1756828800000,2025-09-02T16:00:00Z,239.57,242.37,238.97,241.82,2616145,629757212.686
1756915200000,2025-09-03T16:00:00Z,241.865,248.08,241.82,247.9,3128266,764831036.8996
1757001600000,2025-09-04T16:00:00Z,248.19,249.28,245.45,246.03,3654480,905276778.1981
1757088000000,2025-09-05T16:00:00Z,246.2,248.8995,246.065,248.2557,1420750,351975673.8822
1757260800000,2025-09-07T16:00:00Z,248.36,253.93,247.02,253.47,1605463,403783624.7859
1757347200000,2025-09-08T16:00:00Z,253.46,257.73,252.38,257.1,5509863,1408445983.7182
1757433600000,2025-09-09T16:00:00Z,256.86,261.01,256.3,256.68,4486812,1161626266.3706
1757520000000,2025-09-10T16:00:00Z,256.675,258.545,254.56,257.93,3031894,777885773.0061
1757606400000,2025-09-11T16:00:00Z,257.98,258.055,253.56,254.73,2666750,683099832.7878
1757692800000,2025-09-12T16:00:00Z,254.525,255.2099,252.425,253.46,1787412,453416908.7606
1757865600000,2025-09-14T16:00:00Z,253.47,259.05,252.35,255.4,1431122,367426039.8403
1757952000000,2025-09-15T16:00:00Z,255.525,258,254.41,257.25,2637872,676239492.918
1758038400000,2025-09-16T16:00:00Z,257.135,260.81,255.52,260.62,2394046,617824316.3923
1758124800000,2025-09-17T16:00:00Z,260.75,263.11,256.8004,261.48,3542143,920606131.5368
1758211200000,2025-09-18T16:00:00Z,261.585,267.5,261.385,264.66,4382287,1160083220.9555
1758297600000,2025-09-19T16:00:00Z,264.67,267.87,263.68,266.69,3815212,1016775152.0481
1758470400000,2025-09-21T16:00:00Z,267,271.64,263.5,269.875,1684261,454205283.2167
1758556800000,2025-09-22T16:00:00Z,270.05,273.2962,269.265,270.31,3607667,978570430.7596
1758643200000,2025-09-23T16:00:00Z,270.36,273.6499,268.5,268.62,2746103,744800361.248
1758729600000,2025-09-24T16:00:00Z,268.355,284.23,267.29,283.07,7920887,2191999949.8698
1758816000000,2025-09-25T16:00:00Z,283.26,287.24,279.01,284.99,7560455,2139203414.5935
1758902400000,2025-09-26T16:00:00Z,284.99,288.85,284.01,284.81,4715298,1352718160.4811
1759075200000,2025-09-28T16:00:00Z,284.84,286.45,281.085,283.39,1426725,404163504.3282
1759161600000,2025-09-29T16:00:00Z,283.43,286.025,277.66,284.63,4911557,1385974673.3622
1759248000000,2025-09-30T16:00:00Z,284.45,285.23,280,282.85,3279327,928050969.867
1759334400000,2025-10-01T16:00:00Z,282.84,288.03,282.0675,284.13,3245814,923265523.7465
1759420800000,2025-10-02T16:00:00Z,284.13,293.32,283.88,291.54,3671654,1061390304.7146
1759507200000,2025-10-03T16:00:00Z,291.58,292.49,288.01,288.3805,1796322,520751879.2969
1759680000000,2025-10-05T16:00:00Z,290.02,290.97,287.8,289.77,1056533,305709167.279
1759766400000,2025-10-06T16:00:00Z,289.65,315,288.6,295.98,5559754,1651202570.4048
1759852800000,2025-10-07T16:00:00Z,296.1,296.45,289.65,290.39,4064087,1191087669.4997
1759939200000,2025-10-08T16:00:00Z,290.385,292.6,283.32,287.045,5574054,1603506361.2693
1760025600000,2025-10-09T16:00:00Z,287.44,290.385,282.08,283.35,2728628,782456624.893
1760112000000,2025-10-10T16:00:00Z,283.33,283.45,275.01,277.44,2342823,655966774.5503
1760284800000,2025-10-12T16:00:00Z,278.56,283.34,277.8,279.65,1163472,325586622.2311
1760371200000,2025-10-13T16:00:00Z,279.72,279.93,272.5469,275.85,3251317,898207592.9662
1760457600000,2025-10-14T16:00:00Z,275.845,285.45,274.5001,281.21,2633927,736527800.9228
1760544000000,2025-10-15T16:00:00Z,281.49,282.56,277.2601,277.39,2047000,573172095.7384
1760630400000,2025-10-16T16:00:00Z,277.43,278.4932,271,277.25,2328904,644280492.4393
1760716800000,2025-10-17T16:00:00Z,277.92,283.4,277.505,281.25,2530451,709365652.6857
1760889600000,2025-10-19T16:00:00Z,283.49,285.5,280.81,282.86,1381490,391763849.9711
1760976000000,2025-10-20T16:00:00Z,282.99,284.985,281.6,283.94,2530436,717046229.8315
1761062400000,2025-10-21T16:00:00Z,283.9,287.91,281.35,287.09,4738666,1349157747.1858
1761148800000,2025-10-22T16:00:00Z,286.81,298.96,261.87,280.265,16165556,4496154786.0804
1761235200000,2025-10-23T16:00:00Z,280.29,308,280.27,307.615,13537655,3941537999.1969
1761321600000,2025-10-24T16:00:00Z,307.595,310.75,303.74,307.5,8684058,2670528131.9145
1761494400000,2025-10-26T16:00:00Z,308.36,316.49,302.88,309.39,3799437,1169418671.7599
1761580800000,2025-10-27T16:00:00Z,309.02,318.28,307.85,316.215,5829942,1821132201.5015
1761667200000,2025-10-28T16:00:00Z,316.52,319.35,310.2585,313.13,4466058,1407415675.7373
1761753600000,2025-10-29T16:00:00Z,312.63,313.75,305,310.895,3937955,1220249900.7151
1761840000000,2025-10-30T16:00:00Z,310.93,313.5,301.63,304.35,5575990,1720902514.5774
1761926400000,2025-10-31T16:00:00Z,304.24,309.66,303.57,307.6,2496485,765110527.477
1762099200000,2025-11-02T16:00:00Z,307.7,312.1411,306.815,307.265,1059412,328043635.0496
1762185600000,2025-11-03T16:00:00Z,307.265,308.32,296,300.35,4122737,1252444405.6051
1762272000000,2025-11-04T16:00:00Z,300.85,305.72,293.49,303.005,4775359,1435470140.2897
1762358400000,2025-11-05T16:00:00Z,302.91,310.46,301.32,308.15,2978414,911164495.9471
1762444800000,2025-11-06T16:00:00Z,308.21,315.45,301.09,304.825,5804952,1802487346.9379
1762531200000,2025-11-07T16:00:00Z,304.755,308.8474,302.6301,307.9,2795727,853784153.7984
1762704000000,2025-11-09T16:00:00Z,309.5,312,305.55,306.78,838512,258042527.9791
1762790400000,2025-11-10T16:00:00Z,306.3,317.91,304.23,311.98,2801530,867834126.6093
1762876800000,2025-11-11T16:00:00Z,311.97,324.9,311.39,321.14,4638679,1477513788.4877
1762963200000,2025-11-12T16:00:00Z,321.03,321.565,309.18,311.01,3795187,1197561679.1941
