ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1747929600000,2025-05-22T16:00:00Z,470.36,475.651,467.3,471.575,692705,327237590.6601
1748016000000,2025-05-23T16:00:00Z,471.76,472.49,469.73,471.46,329904,155485666.373
1748275200000,2025-05-26T16:00:00Z,471.89,473.9,470.3,472.59,249289,117724664.3415
1748361600000,2025-05-27T16:00:00Z,472.77,478.09,472.165,476.13,737949,350517488.8951
1748448000000,2025-05-28T16:00:00Z,476.18,479.195,468.5,476.74,748062,356035941.1063
1748534400000,2025-05-29T16:00:00Z,476.57,481.78,475.0601,479.63,584595,280214837.9277
1748620800000,2025-05-30T16:00:00Z,479.79,485.99,479.05,484.771,431832,208731196.9474
1748793600000,2025-06-01T16:00:00Z,484,484,479.5001,480.89,225242,108495615.4493
1748880000000,2025-06-02T16:00:00Z,481.03,487.86,478.92,486.3,591808,285567295.4821
1748966400000,2025-06-03T16:00:00Z,485.93,494.75,484.21,492.59,492118,241089445.694
1749052800000,2025-06-04T16:00:00Z,492.32,495.9,484.53,486.63,657921,323296015.7706
1749139200000,2025-06-05T16:00:00Z,486.87,491.43,486,487.94,364895,178148602.7594
1749225600000,2025-06-06T16:00:00Z,487.97,489.76,487.58,489.41,188971,92367378.5569
1749398400000,2025-06-08T16:00:00Z,489.41,490.3,483.76,489.47,172491,84034207.445
1749484800000,2025-06-09T16:00:00Z,488.91,492.11,486.635,488.655,431766,211695402.5155
1749571200000,2025-06-10T16:00:00Z,488.66,490.48,472.02,482.75,698247,337687233.2128
1749657600000,2025-06-11T16:00:00Z,482.98,495.39,482.61,493.59,593815,289853369.2856
1749744000000,2025-06-12T16:00:00Z,493.475,530,492.48,513.544,1069932,541751712.357
1749830400000,2025-06-13T16:00:00Z,513.89,520,512.08,519,880548,454702441.8657
1750003200000,2025-06-15T16:00:00Z,521.74,523.36,498.01,499.69,486565,246546286.2504
1750089600000,2025-06-16T16:00:00Z,499.69,511.25,495.58,504.2,704979,351767880.8353
1750176000000,2025-06-17T16:00:00Z,504.01,513.3204,495,496.7767,697609,350832515.1635
1750262400000,2025-06-18T16:00:00Z,495.74,499,493.58,499,373375,184929079.7512
1750348800000,2025-06-19T16:00:00Z,497.51,499.86,488,499.28,219127,108762739.8303
1750435200000,2025-06-20T16:00:00Z,499.07,499.16,495.5984,497.03,236399,117503773.6998
1750608000000,2025-06-22T16:00:00Z,505.41,513,498.5,506.41,262866,132550060.574
1750694400000,2025-06-23T16:00:00Z,506,508.32,481.64,483.42,952969,471845640.9561
1750780800000,2025-06-24T16:00:00Z,483.2,488.14,481.28,486.35,595464,288475611.6335
1750867200000,2025-06-25T16:00:00Z,486.2,497.04,484.587,496.4454,636556,312327160.974
1750953600000,2025-06-26T16:00:00Z,496.655,496.8278,489.26,493.385,570185,281494310.9603
1751040000000,2025-06-27T16:00:00Z,493.385,494.68,491.95,494,303459,149727060.274
1751212800000,2025-06-29T16:00:00Z,494.03,498.268,493.96,497.47,170012,84287710.0622
1751299200000,2025-06-30T16:00:00Z,497.45,504.02,488.445,504,481998,241049967.1067
1751385600000,2025-07-01T16:00:00Z,503.6643,504.81,489.52,495.2475,694000,345127629.0827
1751472000000,2025-07-02T16:00:00Z,495.01,505.19,494.42,503.44,504790,252251742.8231
1751558400000,2025-07-03T16:00:00Z,503.44,504.27,502.585,504.2,165499,83378138.9984
1751817600000,2025-07-06T16:00:00Z,506.4,510.1741,503.2001,507.16,158212,80287289.7306
1751904000000,2025-07-07T16:00:00Z,507.15,508.43,498.5851,505.845,490570,248060093.5726
1751990400000,2025-07-08T16:00:00Z,505.51,506.93,502.2955,505.78,532037,268825690.2776
1752076800000,2025-07-09T16:00:00Z,505.8475,512.53,504.07,509.43,441265,223996863.2507
1752163200000,2025-07-10T16:00:00Z,509.17,515.15,508.02,510.82,548796,281054345.1217
1752249600000,2025-07-11T16:00:00Z,510.62,515.195,509.76,514.6,373064,191535668.9632
1752422400000,2025-07-13T16:00:00Z,517,523.76,513.33,521.1115,309538,160986571.5521
1752508800000,2025-07-14T16:00:00Z,521.1769,525,516.15,517.9819,525707,273888395.5497
1752595200000,2025-07-15T16:00:00Z,518.18,522,514.0601,517.68,377247,195135309.223
1752681600000,2025-07-16T16:00:00Z,517.835,525.52,516.8035,522.4276,378102,196993081.8351
1752768000000,2025-07-17T16:00:00Z,521.83,528.27,520.29,521.83,552277,289218137.7069
1752854400000,2025-07-18T16:00:00Z,522.32,522.72,510,510,402260,208635664.77
1753027200000,2025-07-20T16:00:00Z,521,523.98,516.01,522.91,213977,111444827.734
1753113600000,2025-07-21T16:00:00Z,522.91,567.1234,514.39,558.355,1717567,938662489.3304
1753200000000,2025-07-22T16:00:00Z,558.31,568.98,551.805,562.22,1402170,786626498.3398
1753286400000,2025-07-23T16:00:00Z,562.3392,576.86,561.5,572.12,923874,524818884.3686
1753372800000,2025-07-24T16:00:00Z,572.42,576.48,563.305,565.78,684607,390165106.4982
1753459200000,2025-07-25T16:00:00Z,565.86,570.155,565.61,569.74,301149,171140828.3342
1753632000000,2025-07-27T16:00:00Z,569.24,570,563.64,566.63,199053,112690200.3974
1753718400000,2025-07-28T16:00:00Z,566.3,571.4,562.5,569.7744,501835,285137954.1801
1753804800000,2025-07-29T16:00:00Z,570.125,573.8099,568.19,572.07,514144,293658140.4778
1753891200000,2025-07-30T16:00:00Z,572.05,576.03,568.8901,573.665,444346,254271980.8295
1753977600000,2025-07-31T16:00:00Z,573.67,580.58,572.95,580.07,643021,370629737.8853
1754064000000,2025-08-01T16:00:00Z,580.07,587.88,579.58,586.44,638904,374164325.6268
