ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1747929600000,2025-05-22T16:00:00Z,65.03,65.42,62.8005,64.02,373857,24214062.9398
1748016000000,2025-05-23T16:00:00Z,64.005,64.5,63.64,63.7,314432,20120592.7657
1748275200000,2025-05-26T16:00:00Z,64.99,64.99,62.73,64.41,141258,9022010.838
1748361600000,2025-05-27T16:00:00Z,64.41,64.63,62.535,62.67,308320,19604032.0136
1748448000000,2025-05-28T16:00:00Z,62.63,64.06,62.16,63.44,464090,29202945.1009
1748534400000,2025-05-29T16:00:00Z,63.445,64.18,61.8,62.05,290174,18356345.7226
1748620800000,2025-05-30T16:00:00Z,61.99,62.27,60.35,61.16,406016,24849029.8295
1748793600000,2025-06-01T16:00:00Z,60.97,62.77,60.8,62.44,65805,4066251.1953
1748880000000,2025-06-02T16:00:00Z,62.365,64.55,62.28,64.43,366266,23264684.9089
1748966400000,2025-06-03T16:00:00Z,64.49,65.73,64.095,65.635,352174,22880626.9525
1749052800000,2025-06-04T16:00:00Z,65.635,67.91,65.235,67.52,355756,23649303.7208
1749139200000,2025-06-05T16:00:00Z,67.505,67.515,65.76,67.33,316153,21105404.1129
1749225600000,2025-06-06T16:00:00Z,67.32,67.555,66.74,66.74,169233,11364893.833
1749398400000,2025-06-08T16:00:00Z,68,68.28,66.7452,67.335,166700,11299087.1268
1749484800000,2025-06-09T16:00:00Z,67.3375,67.655,66.74,67.06,279495,18797837.0507
1749571200000,2025-06-10T16:00:00Z,67.06,68,66.51,67.74,288814,19362711.0157
1749657600000,2025-06-11T16:00:00Z,67.61,67.75,66.25,67.097,273497,18322118.4395
1749744000000,2025-06-12T16:00:00Z,67.14,67.47,66.07,66.97,133896,8984881.2807
1749830400000,2025-06-13T16:00:00Z,66.9067,67.05,66.44,67.05,113623,7582931.0037
1750003200000,2025-06-15T16:00:00Z,67,69.9,67,69.4,153541,10623076.9326
1750089600000,2025-06-16T16:00:00Z,69.5,70.18,68.52,68.605,352598,24460588.0788
1750176000000,2025-06-17T16:00:00Z,68.58,71.9339,68.41,71.425,396876,27944603.0917
1750262400000,2025-06-18T16:00:00Z,71.29,71.9,71.08,71.49,175041,12522551.2878
1750348800000,2025-06-19T16:00:00Z,73.442,73.442,70.0463,70.24,93327,6661232.7334
1750435200000,2025-06-20T16:00:00Z,70.2625,70.38,69.75,69.96,133657,9373755.0166
1750608000000,2025-06-22T16:00:00Z,69.69,71,69.5,69.71,86523,6074782.2612
1750694400000,2025-06-23T16:00:00Z,69.8092,72.12,68.79,71.725,237719,16790975.3826
1750780800000,2025-06-24T16:00:00Z,71.73,72.94,71.715,71.9,293465,21218914.5646
1750867200000,2025-06-25T16:00:00Z,71.91,73.38,71.26,73.27,339702,24478566.9751
1750953600000,2025-06-26T16:00:00Z,73.425,74.72,70.633,74.415,330794,24347061.6005
1751040000000,2025-06-27T16:00:00Z,74.415,75.94,74.105,75.78,503631,37692764.2076
1751212800000,2025-06-29T16:00:00Z,75.96,76.67,74.7327,76.525,134244,10181721.3306
1751299200000,2025-06-30T16:00:00Z,76.525,76.77,73.09,74.76,286879,21626719.9438
1751385600000,2025-07-01T16:00:00Z,74.755,75.74,73.68,73.98,315425,23531843.2095
1751472000000,2025-07-02T16:00:00Z,74.105,75.41,73.46,75.41,211512,15709747.4968
1751558400000,2025-07-03T16:00:00Z,75.49,75.52,74.79,74.81,65721,4930064.164
1751817600000,2025-07-06T16:00:00Z,74.5,74.86,73.6755,73.935,45204,3356637.8651
1751904000000,2025-07-07T16:00:00Z,73.945,74.345,72.95,74.07,181035,13349334.9946
1751990400000,2025-07-08T16:00:00Z,74.07,74.07,71.84,72.645,258975,18877899.7648
1752076800000,2025-07-09T16:00:00Z,72.66,75.18,72.5,74.88,318399,23660856.3329
1752163200000,2025-07-10T16:00:00Z,74.83,75.31,73.6955,74.12,139793,10447187.7198
1752249600000,2025-07-11T16:00:00Z,74.31,74.93,73.38,73.47,159574,11812741.8074
1752422400000,2025-07-13T16:00:00Z,73,73.41,70.21,71.735,156904,11209298.2835
1752508800000,2025-07-14T16:00:00Z,71.89,73.45,71.5,71.865,319537,23063181.6909
1752595200000,2025-07-15T16:00:00Z,71.865,72.21,70.1157,70.87,146170,10435591.6422
1752681600000,2025-07-16T16:00:00Z,70.69,72.84,70.68,72.71,581965,41402908.9351
1752768000000,2025-07-17T16:00:00Z,72.71,73.9,72.515,73.42,105302,7710291.2724
1752854400000,2025-07-18T16:00:00Z,73.7,74,73.1,73.421,129903,9549380.0437
1753027200000,2025-07-20T16:00:00Z,73.89,74.5,73.3361,73.95,77971,5768773.6006
1753113600000,2025-07-21T16:00:00Z,74.105,75.21,71.1622,72.415,234665,17293557.7096
