ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1748880000000,2025-06-02T16:00:00Z,589.8,595.7,588.98,595.64,55520428,32883490958.5027
1748966400000,2025-06-03T16:00:00Z,595.64,597.95,594.8001,596.88,64452112,38433691191.7883
1749052800000,2025-06-04T16:00:00Z,596.87,599.73,593.91,598.7799,64101586,38242511450.3346
1749139200000,2025-06-05T16:00:00Z,598.76,600.83,591.05,598.6901,87773752,52314637646.9495
1749225600000,2025-06-06T16:00:00Z,598.7,600.64,596.86,599.73,35912825,21512827085.3548
1749398400000,2025-06-08T16:00:00Z,599.45,600.4,598.1,599.85,19500768,11690749222.9754
1749484800000,2025-06-09T16:00:00Z,599.86,602.13,597.83,601.27,52644899,31613681724.7882
1749571200000,2025-06-10T16:00:00Z,601.26,606.4,600.12,603.58,67264612,40545822146.1009
1749657600000,2025-06-11T16:00:00Z,603.59,604.445,597.59,602.47,75171893,45233834485.8619
1749744000000,2025-06-12T16:00:00Z,602.475,603.75,593.79,601.25,67362734,40497864432.6361
1749830400000,2025-06-13T16:00:00Z,601.24,601.85,595.48,597.49,55539997,33218393308.9139
1750003200000,2025-06-15T16:00:00Z,600.31,604.45,596.9301,603.1399,31461015,18963354319.1935
1750089600000,2025-06-16T16:00:00Z,603.14,603.71,598.27,600.705,69807290,42000219535.1969
1750176000000,2025-06-17T16:00:00Z,600.74,601.59,595.57,599.7393,77408282,46348485203.4556
1750262400000,2025-06-18T16:00:00Z,599.72,601,596.47,597.29,49138324,29407371399.9699
1750348800000,2025-06-19T16:00:00Z,595.23,599.46,593.5,594.702,41222171,24604010725.6029
1750435200000,2025-06-20T16:00:00Z,594.71,595.97,592.86,595.31,49145720,29214327389.1231
1750608000000,2025-06-22T16:00:00Z,594.22,598.29,592.55,595.86,26151048,15594786085.5797
1750694400000,2025-06-23T16:00:00Z,595.86,606.5,588.79,605.755,85529845,51288561066.7901
1750780800000,2025-06-24T16:00:00Z,605.77,608.61,605.655,606.89,65748214,39907981338.2205
1750867200000,2025-06-25T16:00:00Z,606.89,610.865,605.54,610.53,62609573,38065583864.5302
1750953600000,2025-06-26T16:00:00Z,610.52,616.1,610.46,615.902,76122907,46605788018.1949
1751040000000,2025-06-27T16:00:00Z,615.9,616.39,610.83,613.43,57857474,35498328230.5824
1751212800000,2025-06-29T16:00:00Z,617.33,617.9,615.688,616.465,26303200,16212969378.6205
1751299200000,2025-06-30T16:00:00Z,616.47,619.22,615.04,616.94,90189011,55660044626.4509
1751385600000,2025-07-01T16:00:00Z,616.96,619.68,616.35,619.2719,65000631,40168948998.4531
1751472000000,2025-07-02T16:00:00Z,619.27,626.08,618.86,625.9,71751737,44597684595.7415
1751558400000,2025-07-03T16:00:00Z,625.902,626.28,624.8207,625.01,16002076,10006041789.3052
1751817600000,2025-07-06T16:00:00Z,623.38,624.59,620,621.74,19111387,11900860795.6804
