ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1781539200000,2026-06-15T16:00:00Z,100.45,100.58,100.45,100.56,5.99,602.2734
1781625600000,2026-06-16T16:00:00Z,100.56,100.96,100.1,100.55,78.87,7936.0681
1781712000000,2026-06-17T16:00:00Z,100.55,100.73,100.54,100.61,272.65,27442.0115
1781798400000,2026-06-18T16:00:00Z,100.61,100.93,100.57,100.62,48.49,4878.6644
1781884800000,2026-06-19T16:00:00Z,100.62,100.89,100.59,100.6,32.62,3282.1029
1781971200000,2026-06-20T16:00:00Z,100.6,100.64,100.57,100.59,57.05,5739.084
1782057600000,2026-06-21T16:00:00Z,100.59,100.65,100.59,100.6,34.93,3514.2717
1782144000000,2026-06-22T16:00:00Z,100.6,100.85,100.44,100.6,30.5,3069.0031
1782230400000,2026-06-23T16:00:00Z,100.6,100.75,100.16,100.73,48.83,4913.3815
1782316800000,2026-06-24T16:00:00Z,100.73,100.73,100.55,100.66,35.73,3595.8465
1782403200000,2026-06-25T16:00:00Z,100.66,100.85,100.57,100.66,40.62,4089.1383
1782489600000,2026-06-26T16:00:00Z,100.66,100.71,100.62,100.69,55.56,5593.0517
1782576000000,2026-06-27T16:00:00Z,100.69,100.69,100.52,100.68,425,42751.1494
1782662400000,2026-06-28T16:00:00Z,100.68,100.78,100.68,100.72,210.77,21226.2603
1782748800000,2026-06-29T16:00:00Z,100.72,100.8,100.72,100.75,174.14,17549.7617
1782835200000,2026-06-30T16:00:00Z,100.75,100.79,100.69,100.71,78.32,7888.8952
1782921600000,2026-07-01T16:00:00Z,100.71,100.79,100.12,100.39,514.05,51626.3837
1783008000000,2026-07-02T16:00:00Z,100.39,100.53,100.19,100.4,110.78,11123.3191
1783094400000,2026-07-03T16:00:00Z,100.4,100.5,100.36,100.37,52.03,5222.7588
1783180800000,2026-07-04T16:00:00Z,100.37,100.41,100.36,100.41,41.21,4136.8037
1783267200000,2026-07-05T16:00:00Z,100.41,100.47,100.36,100.39,62.07,6232.2422
1783353600000,2026-07-06T16:00:00Z,100.39,100.47,100.39,100.42,49.37,4957.2803
1783440000000,2026-07-07T16:00:00Z,100.42,100.46,100.37,100.38,53.66,5388.1154
1783526400000,2026-07-08T16:00:00Z,100.38,100.46,100.36,100.39,45.93,4611.0116
1783612800000,2026-07-09T16:00:00Z,100.39,100.49,100.37,100.41,37.36,3750.9881
1783699200000,2026-07-10T16:00:00Z,100.41,100.49,100.37,100.42,37.24,3739.3056
1783785600000,2026-07-11T16:00:00Z,100.42,100.44,100.36,100.38,45.53,4570.8069
1783872000000,2026-07-12T16:00:00Z,100.38,100.49,100.37,100.41,42.46,4263.2546
1783958400000,2026-07-13T16:00:00Z,100.41,100.64,100.39,100.41,48.68,4889.0175
1784044800000,2026-07-14T16:00:00Z,100.41,100.63,100.39,100.39,68.59,6888.1552
1784131200000,2026-07-15T16:00:00Z,100.39,100.58,100.39,100.42,51.91,5212.3437
1784217600000,2026-07-16T16:00:00Z,100.42,100.6,100.39,100.42,42.62,4280.6254
1784304000000,2026-07-17T16:00:00Z,100.42,100.56,100.41,100.54,46.66,4689.3336
1784390400000,2026-07-18T16:00:00Z,100.54,100.56,100.51,100.54,37.81,3801.1516
1784476800000,2026-07-19T16:00:00Z,100.54,100.62,100.51,100.52,39.86,4007.5523
1784563200000,2026-07-20T16:00:00Z,100.52,100.64,100.51,100.54,34.44,3462.8186
1784649600000,2026-07-21T16:00:00Z,100.54,100.57,100.37,100.4,99.63,10006.9259
1784736000000,2026-07-22T16:00:00Z,100.4,100.68,100.36,100.63,148.68,14933.3924
