ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784649600000,2026-07-21T16:00:00Z,17.582,17.773,16.939,17.264,7025.17,121617.67245
1784736000000,2026-07-22T16:00:00Z,17.264,17.289,16.498,16.64,15767.45,267958.99097
1784822400000,2026-07-23T16:00:00Z,16.64,16.841,16.328,16.607,12851.64,213618.25442
1784908800000,2026-07-24T16:00:00Z,16.607,16.745,16.449,16.47,3164.57,52356.79082
1784995200000,2026-07-25T16:00:00Z,16.47,16.594,16.47,16.511,1308.34,21642.70921
1785081600000,2026-07-26T16:00:00Z,16.511,17.407,16.509,16.946,7521.51,126846.68749
1785168000000,2026-07-27T16:00:00Z,16.946,17.129,16.13,16.71,20476.08,343011.78599
1785254400000,2026-07-28T16:00:00Z,16.71,17.311,14.954,15.295,42253.78,696509.64557
1785340800000,2026-07-29T16:00:00Z,15.295,16.039,15.088,16.017,70663.3,1097704.44746
1785427200000,2026-07-30T16:00:00Z,16.017,16.679,15.889,16.151,46212.45,754712.53766
1785513600000,2026-07-31T16:00:00Z,16.151,16.432,16.151,16.226,10101.76,164809.73256
1785600000000,2026-08-01T16:00:00Z,16.226,16.258,16.196,16.251,3302.75,53612.12201
1785686400000,2026-08-02T16:00:00Z,16.251,17.551,16.244,17.469,27677.69,462970.5458
1785772800000,2026-08-03T16:00:00Z,17.469,18.531,17.469,18.429,30690.83,554504.11902
1785859200000,2026-08-04T16:00:00Z,18.429,18.794,18.319,18.487,22108.03,410635.23711
1785945600000,2026-08-05T16:00:00Z,18.487,18.581,17.907,18.409,16499.53,301780.84558
1786032000000,2026-08-06T16:00:00Z,18.409,18.51,18.055,18.207,14844.14,271813.11741
1786118400000,2026-08-07T16:00:00Z,18.207,18.422,18.064,18.41,8029.94,146296.86625
1786204800000,2026-08-08T16:00:00Z,18.41,18.46,18.396,18.452,894.99,16492.36749
1786291200000,2026-08-09T16:00:00Z,18.452,18.526,18.03,18.121,10175.87,186731.83421
1786377600000,2026-08-10T16:00:00Z,18.121,18.403,17.952,18.012,18218.82,330597.19855
1786464000000,2026-08-11T16:00:00Z,18.012,18.381,17.684,17.81,16731.49,300751.20881
1786550400000,2026-08-12T16:00:00Z,17.81,18.325,17.803,18.061,14681.62,263864.23474
1786636800000,2026-08-13T16:00:00Z,18.061,18.591,18.061,18.375,12577.9,232335.89583
1786723200000,2026-08-14T16:00:00Z,18.375,18.494,18.284,18.326,2210.16,40654.32071
1786809600000,2026-08-15T16:00:00Z,18.326,18.395,18.321,18.39,325.12,5969.27473
1786896000000,2026-08-16T16:00:00Z,18.39,18.962,18.319,18.355,22055.47,407317.10503
1786982400000,2026-08-17T16:00:00Z,18.355,18.46,17.793,18.044,15057.76,272655.52527
1787068800000,2026-08-18T16:00:00Z,18.044,18.688,17.612,18.688,29912.54,537874.93717
1787155200000,2026-08-19T16:00:00Z,18.688,19.193,17.755,17.809,21410.42,393310.59387
1787241600000,2026-08-20T16:00:00Z,17.809,19.155,17.804,19.102,9416.48,172522.60154
1787328000000,2026-08-21T16:00:00Z,19.102,19.105,18.855,18.952,2275.46,43213.78346
1787414400000,2026-08-22T16:00:00Z,18.952,19.106,18.927,19.048,1344.73,25586.20964
1787500800000,2026-08-23T16:00:00Z,19.048,19.132,18.409,18.602,4172.22,78379.27388
1787587200000,2026-08-24T16:00:00Z,18.602,18.905,18.1,18.784,2501.41,46351.29039
1787673600000,2026-08-25T16:00:00Z,18.784,19.398,18.732,18.736,20479.71,391034.05497
1787760000000,2026-08-26T16:00:00Z,18.736,19.469,18.6,19.255,12800.64,244244.29922
1787846400000,2026-08-27T16:00:00Z,19.255,19.48,18.558,18.558,14038.75,267610.23908
1787932800000,2026-08-28T16:00:00Z,18.558,18.586,18.006,18.074,30686.23,565202.89131
1788019200000,2026-08-29T16:00:00Z,18.074,18.149,18.034,18.147,3508.22,63570.03929
1788105600000,2026-08-30T16:00:00Z,18.147,18.247,17.534,17.883,1729.18,31116.06927
1788192000000,2026-08-31T16:00:00Z,17.883,18.161,17.245,17.348,11522.49,204733.57146
1788278400000,2026-09-01T16:00:00Z,17.348,17.919,16.913,17.75,5204.96,89402.11467
1788364800000,2026-09-02T16:00:00Z,17.75,18.69,17.665,18.34,5022.55,91409.61165
1788451200000,2026-09-03T16:00:00Z,18.34,18.689,17.833,18.177,2948.37,53872.79852
1788537600000,2026-09-04T16:00:00Z,18.177,18.273,18.12,18.193,752.96,13694.10143
1788624000000,2026-09-05T16:00:00Z,18.193,18.257,18.174,18.255,1020.65,18597.77364
1788710400000,2026-09-06T16:00:00Z,18.255,18.307,18.251,18.258,487.64,8912.5876
1788796800000,2026-09-07T16:00:00Z,18.258,18.365,18.025,18.153,3392.16,61833.41032
1788883200000,2026-09-08T16:00:00Z,18.153,18.182,17.382,17.436,2148.1,38269.88439
1788969600000,2026-09-09T16:00:00Z,17.436,17.566,16.98,17.34,4375.67,75651.07191
1789056000000,2026-09-10T16:00:00Z,17.34,17.503,17.167,17.328,1556.67,26967.29883
1789142400000,2026-09-11T16:00:00Z,17.328,17.394,17.259,17.366,270.68,4691.85806
