ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1780848000000,2026-06-07T16:00:00Z,226.16,227.06,214.81,215.45,111.38,24393.1324
1780934400000,2026-06-08T16:00:00Z,215.45,216.69,201.01,201.22,260.31,54934.0005
1781020800000,2026-06-09T16:00:00Z,201.22,210.96,198.01,206.22,1081.49,221035.6898
1781107200000,2026-06-10T16:00:00Z,206.22,210.79,202.47,205.38,443.74,92230.0027
1781193600000,2026-06-11T16:00:00Z,205.38,211.13,199.1,204.01,725.2,150146.2811
1781280000000,2026-06-12T16:00:00Z,204.01,206.07,200.97,200.97,145.3,29663.0927
1781366400000,2026-06-13T16:00:00Z,200.97,207.26,200.96,207.2,271.79,55667.1167
1781452800000,2026-06-14T16:00:00Z,207.2,213.92,200.96,207.08,2113.32,442128.5008
1781539200000,2026-06-15T16:00:00Z,207.08,208.84,190.37,192.3,2851.19,569538.177
1781625600000,2026-06-16T16:00:00Z,192.3,198.94,186.05,193.2,3452.48,663497.878
1781712000000,2026-06-17T16:00:00Z,193.2,197.64,180.23,185.11,4460.57,840068.6875
1781798400000,2026-06-18T16:00:00Z,185.11,198.03,183.84,192.2,1260.77,235287.7128
1781884800000,2026-06-19T16:00:00Z,192.2,200.23,188.58,197.21,72.33,14032.9322
1781971200000,2026-06-20T16:00:00Z,197.21,197.97,191.3,194.54,72.11,14078.7713
1782057600000,2026-06-21T16:00:00Z,194.54,197.26,181.33,181.42,781.24,144169.5237
1782144000000,2026-06-22T16:00:00Z,181.42,190,173.9,185.29,1707.81,308751.3476
1782230400000,2026-06-23T16:00:00Z,185.29,194.88,180.01,187.89,2587.31,485638.1959
1782316800000,2026-06-24T16:00:00Z,187.89,191.9,183.07,188.94,1586.16,297740.5467
1782403200000,2026-06-25T16:00:00Z,188.94,195.43,185.88,190.03,2716.63,520447.0462
1782489600000,2026-06-26T16:00:00Z,190.03,192.94,187.43,190.27,808.53,154129.5591
1782576000000,2026-06-27T16:00:00Z,190.27,191.04,187.51,188.33,40.08,7580.5759
1782662400000,2026-06-28T16:00:00Z,188.33,198.47,187.51,197.86,1978.62,383729.6862
1782748800000,2026-06-29T16:00:00Z,197.86,202.28,194.93,199.76,1118.32,222767.5412
1782835200000,2026-06-30T16:00:00Z,199.76,212.15,199.69,209.12,1383.72,285430.0724
1782921600000,2026-07-01T16:00:00Z,209.12,214.8,205.81,208.26,617.94,129583.5466
1783008000000,2026-07-02T16:00:00Z,208.26,215.52,204.82,209.71,770.84,161467.4697
1783094400000,2026-07-03T16:00:00Z,209.71,213.78,203.83,205.21,570.33,117530.4858
1783180800000,2026-07-04T16:00:00Z,205.21,215.5,203.92,208.92,1085.83,224915.6034
1783267200000,2026-07-05T16:00:00Z,208.92,216.15,202.08,210.71,1010.5,211856.409
1783353600000,2026-07-06T16:00:00Z,210.71,216.02,206.69,215.49,1102.3,232686.5173
1783440000000,2026-07-07T16:00:00Z,215.49,220.16,205.29,211.24,1740.94,367646.5852
1783526400000,2026-07-08T16:00:00Z,211.24,220.8,209.64,214.46,1981.92,425142.7211
1783612800000,2026-07-09T16:00:00Z,214.46,227.25,214.2,219.25,1655.58,366338.8729
1783699200000,2026-07-10T16:00:00Z,219.25,219.39,212.09,216.36,512.89,110706.4557
1783785600000,2026-07-11T16:00:00Z,216.36,218.6,211.42,213.41,309.11,66265.8749
1783872000000,2026-07-12T16:00:00Z,213.41,221.44,209.06,218.37,839.54,178477.1206
1783958400000,2026-07-13T16:00:00Z,218.37,222.6,209.16,220.21,1619.8,353271.4169
1784044800000,2026-07-14T16:00:00Z,220.21,223.68,212.5,214.45,1438.32,313673.144
1784131200000,2026-07-15T16:00:00Z,214.45,215.2,207.61,210.68,961.53,203693.9202
1784217600000,2026-07-16T16:00:00Z,210.68,212.43,200.12,205.77,1390.55,285483.0197
1784304000000,2026-07-17T16:00:00Z,205.77,209.14,202.63,205.12,1102.32,227073.4887
1784390400000,2026-07-18T16:00:00Z,205.12,205.99,202.61,203.44,125.67,25602.2321
1784476800000,2026-07-19T16:00:00Z,203.44,211.51,202.61,210.82,458.4,94426.3831
1784563200000,2026-07-20T16:00:00Z,210.82,212.38,196,196.35,819.06,166974.3958
1784649600000,2026-07-21T16:00:00Z,196.35,199.2,183.37,183.44,886.21,170367.8486
1784736000000,2026-07-22T16:00:00Z,183.44,188.06,180.01,180.55,1550.01,285696.6124
1784822400000,2026-07-23T16:00:00Z,180.55,189.9,180.36,188.83,887.03,164414.5985
1784908800000,2026-07-24T16:00:00Z,188.83,192.23,187.6,190.91,327.36,62447.7016
1784995200000,2026-07-25T16:00:00Z,190.91,192.14,187.33,190.77,237.86,45337.7971
1785081600000,2026-07-26T16:00:00Z,190.77,198.24,187.43,193.62,498.35,95453.5426
1785168000000,2026-07-27T16:00:00Z,193.62,197.73,188.82,193.14,675.76,131165.1929
1785254400000,2026-07-28T16:00:00Z,193.14,199.22,183.02,189.31,1100.5,213073.754
1785340800000,2026-07-29T16:00:00Z,189.31,194.42,184.09,189.75,1227.48,232615.0251
