ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,15.006,15.006,14.91,14.91,38.44,575.03293
1785632400000,2026-08-02T01:00:00Z,14.91,15.014,14.91,14.997,8.27,123.90274
1785636000000,2026-08-02T02:00:00Z,14.997,15.023,14.916,15.023,148.55,2230.6555
1785639600000,2026-08-02T03:00:00Z,15.023,15.05,14.915,14.983,2006.33,30170.4555
1785643200000,2026-08-02T04:00:00Z,14.983,15.101,14.983,15.101,773.98,11631.43693
1785646800000,2026-08-02T05:00:00Z,15.101,15.15,15.092,15.15,236.88,3578.42491
1785650400000,2026-08-02T06:00:00Z,15.15,15.178,15.15,15.178,90.14,1368.05719
1785654000000,2026-08-02T07:00:00Z,15.178,15.208,15.177,15.207,445.51,6770.04901
1785657600000,2026-08-02T08:00:00Z,15.207,15.208,15.177,15.207,25.19,382.75667
1785661200000,2026-08-02T09:00:00Z,15.207,15.208,15.18,15.197,44.48,676.25582
1785664800000,2026-08-02T10:00:00Z,15.197,15.208,15.18,15.198,54,821.14024
1785668400000,2026-08-02T11:00:00Z,15.198,15.208,15.19,15.19,17.89,271.98617
1785672000000,2026-08-02T12:00:00Z,15.19,15.205,15.179,15.198,19.83,301.13441
1785675600000,2026-08-02T13:00:00Z,15.198,15.204,15.179,15.18,17.35,263.51437
1785679200000,2026-08-02T14:00:00Z,15.18,15.203,15.18,15.186,6.34,96.33356
1785682800000,2026-08-02T15:00:00Z,15.186,15.203,15.179,15.18,13.77,209.15243
1785686400000,2026-08-02T16:00:00Z,15.18,15.198,15.179,15.187,18.15,275.64652
1785690000000,2026-08-02T17:00:00Z,15.187,15.203,15.179,15.189,57.12,867.14749
1785693600000,2026-08-02T18:00:00Z,15.189,15.205,15.185,15.2,34.72,527.2939
1785697200000,2026-08-02T19:00:00Z,15.2,15.2,15.184,15.199,8.04,122.15698
1785700800000,2026-08-02T20:00:00Z,15.199,15.208,15.18,15.2,91.17,1386.43614
1785704400000,2026-08-02T21:00:00Z,15.2,15.222,15.179,15.222,553.24,8401.75539
1785708000000,2026-08-02T22:00:00Z,15.222,15.237,15.209,15.23,381.02,5800.53098
1785711600000,2026-08-02T23:00:00Z,15.23,15.248,15.221,15.235,762.12,11608.35039
1785715200000,2026-08-03T00:00:00Z,15.235,15.638,15.235,15.544,4048.94,62628.24766
1785718800000,2026-08-03T01:00:00Z,15.544,15.593,15.488,15.493,913.02,14168.39228
1785722400000,2026-08-03T02:00:00Z,15.493,15.618,15.493,15.571,29.08,452.60159
1785726000000,2026-08-03T03:00:00Z,15.571,15.643,15.541,15.637,21.5,335.3008
1785729600000,2026-08-03T04:00:00Z,15.637,15.687,15.571,15.653,21.34,333.37528
1785733200000,2026-08-03T05:00:00Z,15.653,15.679,15.546,15.551,11.28,175.98733
1785736800000,2026-08-03T06:00:00Z,15.551,15.708,15.544,15.567,52.66,823.34551
1785740400000,2026-08-03T07:00:00Z,15.567,15.768,15.441,15.534,6718.34,104292.59626
1785744000000,2026-08-03T08:00:00Z,15.534,15.72,15.534,15.536,233.82,3652.97727
1785747600000,2026-08-03T09:00:00Z,15.536,15.625,15.536,15.539,74.52,1160.58988
1785751200000,2026-08-03T10:00:00Z,15.539,15.624,15.536,15.612,58.44,910.24987
1785754800000,2026-08-03T11:00:00Z,15.612,15.684,15.537,15.542,94.7,1478.50468
1785758400000,2026-08-03T12:00:00Z,15.542,15.729,15.54,15.636,79.61,1244.9089
1785762000000,2026-08-03T13:00:00Z,15.636,16.332,15.636,16.247,581.76,9293.92732
1785765600000,2026-08-03T14:00:00Z,16.247,16.36,16.16,16.284,913.99,14877.94862
1785769200000,2026-08-03T15:00:00Z,16.284,16.316,15.956,15.956,326.32,5241.71894
1785772800000,2026-08-03T16:00:00Z,15.956,16.046,15.9,15.919,40.83,651.1318
1785776400000,2026-08-03T17:00:00Z,15.919,15.997,15.88,15.88,41.47,658.99212
1785780000000,2026-08-03T18:00:00Z,15.88,16.026,15.88,15.948,198.92,3171.64073
1785783600000,2026-08-03T19:00:00Z,15.948,16.064,15.93,16.064,187.64,3002.25148
1785787200000,2026-08-03T20:00:00Z,16.064,16.122,15.952,15.993,63.4,1016.52449
1785790800000,2026-08-03T21:00:00Z,15.993,16.12,15.99,16.026,40.4,648.07417
1785794400000,2026-08-03T22:00:00Z,16.026,16.108,15.993,16.103,21.83,350.42714
1785798000000,2026-08-03T23:00:00Z,16.103,16.104,15.996,16.104,39.77,638.40743
1785801600000,2026-08-04T00:00:00Z,16.104,16.215,15.912,15.98,77.68,1247.53564
1785805200000,2026-08-04T01:00:00Z,15.98,16.15,15.92,15.995,73.26,1174.03772
1785808800000,2026-08-04T02:00:00Z,15.995,16.156,15.971,16.028,64.08,1028.9107
1785812400000,2026-08-04T03:00:00Z,16.028,16.156,16.002,16.002,68.65,1102.52213
1785816000000,2026-08-04T04:00:00Z,16.002,16.092,16.002,16.046,10.04,161.16043
1785819600000,2026-08-04T05:00:00Z,16.046,16.09,16.009,16.058,11.72,188.11887
1785823200000,2026-08-04T06:00:00Z,16.058,16.123,16.01,16.01,57.05,919.29725
1785826800000,2026-08-04T07:00:00Z,16.01,16.138,15.989,16.08,80.27,1287.43472
