ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,248.35,249.01,248.35,248.94,4.46,1109.361
1785632400000,2026-08-02T01:00:00Z,248.94,249.27,248.94,249.27,5.12,1275.539
1785636000000,2026-08-02T02:00:00Z,249.27,254.37,249.08,253.64,322.46,80947.5299
1785639600000,2026-08-02T03:00:00Z,253.64,254.32,252.96,254.32,53.01,13445.7181
1785643200000,2026-08-02T04:00:00Z,254.32,254.37,253.57,254.05,3.06,777.3023
1785646800000,2026-08-02T05:00:00Z,254.05,254.05,253.1,253.74,9.53,2415.8646
1785650400000,2026-08-02T06:00:00Z,253.74,254.73,253.74,254.59,14.91,3795.5609
1785654000000,2026-08-02T07:00:00Z,254.59,254.65,254.04,254.13,2.83,719.6365
1785657600000,2026-08-02T08:00:00Z,254.13,254.5,254.13,254.5,2.14,544.4456
1785661200000,2026-08-02T09:00:00Z,254.5,254.66,254.5,254.66,2.69,684.9718
1785664800000,2026-08-02T10:00:00Z,254.66,254.84,254.53,254.55,1.4,356.5457
1785668400000,2026-08-02T11:00:00Z,254.55,254.55,254.09,254.41,6.08,1545.815
1785672000000,2026-08-02T12:00:00Z,254.41,254.63,254.25,254.46,1.73,440.2351
1785675600000,2026-08-02T13:00:00Z,254.46,254.76,254.2,254.33,21.95,5588.7552
1785679200000,2026-08-02T14:00:00Z,254.33,254.65,254.27,254.65,1.93,490.9105
1785682800000,2026-08-02T15:00:00Z,254.65,254.65,254.52,254.61,1.99,506.5854
1785686400000,2026-08-02T16:00:00Z,254.61,254.76,254.47,254.76,1.29,328.3712
1785690000000,2026-08-02T17:00:00Z,254.76,260.68,253.29,253.82,2047.7,524368.8536
1785693600000,2026-08-02T18:00:00Z,253.82,255.07,253.76,254.83,12.56,3193.6987
1785697200000,2026-08-02T19:00:00Z,254.83,255.79,254.83,255.69,9.47,2421.3888
1785700800000,2026-08-02T20:00:00Z,255.69,255.9,254.53,254.53,39.41,10077.202
1785704400000,2026-08-02T21:00:00Z,254.53,256.36,254.53,255.93,18.27,4666.3694
1785708000000,2026-08-02T22:00:00Z,255.93,255.93,255.01,255.01,12.31,3146.379
1785711600000,2026-08-02T23:00:00Z,255.01,255.38,254.9,255.35,3.3,841.7049
1785715200000,2026-08-03T00:00:00Z,255.35,255.35,250.6,251.62,113.6,28794.6927
1785718800000,2026-08-03T01:00:00Z,251.62,251.99,251.57,251.83,9.16,2307.2169
1785722400000,2026-08-03T02:00:00Z,251.83,252.04,251.5,251.6,0.6,151.008
1785726000000,2026-08-03T03:00:00Z,251.6,251.62,251.06,251.51,37.63,9465.5615
1785729600000,2026-08-03T04:00:00Z,251.51,251.73,251.47,251.7,0.61,153.5072
1785733200000,2026-08-03T05:00:00Z,251.7,251.96,251.55,251.81,2.32,584.2235
1785736800000,2026-08-03T06:00:00Z,251.81,252.03,251.38,251.7,1.67,420.14
1785740400000,2026-08-03T07:00:00Z,251.7,253.35,251.53,253.35,6.74,1701.8731
1785744000000,2026-08-03T08:00:00Z,253.35,255.67,252.82,254.47,43.86,11177.7042
1785747600000,2026-08-03T09:00:00Z,254.47,256.38,254.2,255.97,10.67,2723.4128
1785751200000,2026-08-03T10:00:00Z,255.97,257.83,255.54,256.02,11.48,2946.0088
1785754800000,2026-08-03T11:00:00Z,256.02,259.43,256.02,259.43,8.71,2243.8107
1785758400000,2026-08-03T12:00:00Z,259.43,259.43,256.98,258.06,12,3089.648
1785762000000,2026-08-03T13:00:00Z,258.06,262.05,257.2,259.6,93.89,24380.1651
1785765600000,2026-08-03T14:00:00Z,259.6,259.6,252.65,254.79,87.01,22304.942
1785769200000,2026-08-03T15:00:00Z,254.79,255.01,251.88,254.04,26.45,6683.2204
1785772800000,2026-08-03T16:00:00Z,254.04,255.33,253.62,254.75,0.85,216.2535
1785776400000,2026-08-03T17:00:00Z,254.75,254.75,252.4,252.4,0.42,106.7417
1785780000000,2026-08-03T18:00:00Z,252.4,254.17,252.4,253.66,1.28,324.3227
1785783600000,2026-08-03T19:00:00Z,253.66,253.73,251.61,251.61,11.07,2787.7013
1785787200000,2026-08-03T20:00:00Z,251.61,252.42,251.54,252.42,0.89,224.2939
1785790800000,2026-08-03T21:00:00Z,252.42,255.14,252.19,252.4,4.98,1263.4718
1785794400000,2026-08-03T22:00:00Z,252.4,253.05,252.03,252.03,2.98,752.0828
1785798000000,2026-08-03T23:00:00Z,252.03,252.07,251.27,251.31,0.84,211.3317
1785801600000,2026-08-04T00:00:00Z,251.31,253.07,251.31,252.87,2,504.987
1785805200000,2026-08-04T01:00:00Z,252.87,252.87,251.75,251.9,1.27,320.3279
1785808800000,2026-08-04T02:00:00Z,251.9,252.48,251.9,252.34,2.58,650.9281
1785812400000,2026-08-04T03:00:00Z,252.34,252.34,251.6,252.15,0.41,103.2496
1785816000000,2026-08-04T04:00:00Z,252.15,252.38,252.08,252.38,0.85,214.3901
1785819600000,2026-08-04T05:00:00Z,252.38,252.38,251.41,251.41,3.73,939.4078
1785823200000,2026-08-04T06:00:00Z,251.41,251.81,250.75,250.75,3.1,778.5368
1785826800000,2026-08-04T07:00:00Z,250.75,250.76,249.81,250.14,34.01,8502.8439
1785830400000,2026-08-04T08:00:00Z,250.14,250.78,248.48,248.86,3.82,953.8695
1785834000000,2026-08-04T09:00:00Z,248.86,249.94,247.95,248.22,23.92,5936.8418
1785837600000,2026-08-04T10:00:00Z,248.22,249.44,247.53,247.65,9.9,2452.5482
1785841200000,2026-08-04T11:00:00Z,247.65,247.65,245.99,247.28,42.49,10506.1005
1785844800000,2026-08-04T12:00:00Z,247.28,247.5,246.13,246.96,28.59,7060.1565
1785848400000,2026-08-04T13:00:00Z,246.96,253.43,245.22,252.91,64.5,16080.8214
1785852000000,2026-08-04T14:00:00Z,252.91,253.05,251.2,252.92,35.41,8927.3176
1785855600000,2026-08-04T15:00:00Z,252.92,253.85,251.96,253.85,14.68,3709.7913
1785859200000,2026-08-04T16:00:00Z,253.85,254.24,253.7,254.02,1.84,467.0062
1785862800000,2026-08-04T17:00:00Z,254.02,255.02,254.02,254.95,1.01,257.2473
1785866400000,2026-08-04T18:00:00Z,254.95,256.48,254.95,256.14,7.95,2035.2351
1785870000000,2026-08-04T19:00:00Z,256.14,258.74,256.14,257.73,15.03,3869.4641
1785873600000,2026-08-04T20:00:00Z,257.73,258.8,257.2,258.8,1.93,497.6704
1785877200000,2026-08-04T21:00:00Z,258.8,258.8,257.11,257.34,2.68,689.359
1785880800000,2026-08-04T22:00:00Z,257.34,257.97,257.33,257.59,11.89,3065.3177
1785884400000,2026-08-04T23:00:00Z,257.59,257.78,256.88,257.12,10.01,2578.4417
1785888000000,2026-08-05T00:00:00Z,257.12,257.49,256.22,256.22,22.25,5709.5565
1785891600000,2026-08-05T01:00:00Z,256.22,257.84,256.22,257.61,2.66,685.4508
1785895200000,2026-08-05T02:00:00Z,257.61,257.81,257.17,257.3,0.64,164.7724
1785898800000,2026-08-05T03:00:00Z,257.3,258.09,257.19,258.09,0.4,103.0502
1785902400000,2026-08-05T04:00:00Z,258.09,258.09,257.02,257.13,2.34,602.5286
1785906000000,2026-08-05T05:00:00Z,257.13,257.13,256.03,256.5,4.21,1081.8189
1785909600000,2026-08-05T06:00:00Z,256.5,257.02,256.5,256.62,0.53,136.0448
1785913200000,2026-08-05T07:00:00Z,256.62,257.37,256.45,257.37,3.25,834.989
1785916800000,2026-08-05T08:00:00Z,257.37,259.58,256.95,259.14,6.2,1598.8827
1785920400000,2026-08-05T09:00:00Z,259.14,259.6,258.13,259.6,1.29,334.1077
1785924000000,2026-08-05T10:00:00Z,259.6,260.16,259.32,259.32,9.9,2574.0241
1785927600000,2026-08-05T11:00:00Z,259.32,262.42,259.32,262.42,7.68,2006.7041
1785931200000,2026-08-05T12:00:00Z,262.42,263.04,261.99,262.3,79.71,20922.0915
1785934800000,2026-08-05T13:00:00Z,262.3,262.92,256.85,257.02,75.42,19554.6849
