ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,511.99,515.26,511.99,514.07,17.23,8858.0574
1785632400000,2026-08-02T01:00:00Z,514.07,514.46,512.7,512.7,12.06,6190.8257
1785636000000,2026-08-02T02:00:00Z,512.7,521.18,512.7,518.89,97.98,50803.3422
1785639600000,2026-08-02T03:00:00Z,518.89,518.89,516.78,518.13,6.77,3501.2618
1785643200000,2026-08-02T04:00:00Z,518.13,519.29,516.96,518.36,6.4,3312.8983
1785646800000,2026-08-02T05:00:00Z,518.36,519.87,517.4,517.4,14.37,7460.9042
1785650400000,2026-08-02T06:00:00Z,517.4,518.16,515.79,516.65,15.13,7814.5553
1785654000000,2026-08-02T07:00:00Z,516.65,517.52,516.14,516.69,4.02,2077.0202
1785657600000,2026-08-02T08:00:00Z,516.69,519.92,516.69,518.08,18.91,9802.0388
1785661200000,2026-08-02T09:00:00Z,518.08,518.61,517.29,518.57,1.02,528.3861
1785664800000,2026-08-02T10:00:00Z,518.57,519.94,517.09,517.95,1.02,528.6696
1785668400000,2026-08-02T11:00:00Z,517.95,519.14,515.13,516.64,20.51,10591.5302
1785672000000,2026-08-02T12:00:00Z,516.64,516.64,515.45,515.45,0.87,448.8238
1785675600000,2026-08-02T13:00:00Z,515.45,515.79,514.48,515,27.57,14204.7019
1785679200000,2026-08-02T14:00:00Z,515,515.28,514.05,514.78,5.24,2696.4075
1785682800000,2026-08-02T15:00:00Z,514.78,515.36,514.41,515.36,3.46,1781.9468
1785686400000,2026-08-02T16:00:00Z,515.36,516.48,514.79,515.52,11.02,5687.6403
1785690000000,2026-08-02T17:00:00Z,515.52,516.75,514.73,515.53,2.91,1501.6989
1785693600000,2026-08-02T18:00:00Z,515.53,516.05,515.08,515.08,2.32,1196.454
1785697200000,2026-08-02T19:00:00Z,515.08,516.26,515.08,516.21,0.18,92.918
1785700800000,2026-08-02T20:00:00Z,516.21,516.76,516.18,516.18,1.24,640.4587
1785704400000,2026-08-02T21:00:00Z,516.18,517.3,516.18,516.5,1.93,997.8453
1785708000000,2026-08-02T22:00:00Z,516.5,518.43,515.92,517.8,6.2,3210.7146
1785711600000,2026-08-02T23:00:00Z,517.8,519.09,514.28,516.4,8,4126.9041
1785715200000,2026-08-03T00:00:00Z,516.4,517.11,512.88,515.65,50.05,25779.1734
1785718800000,2026-08-03T01:00:00Z,515.65,517.24,514,516.4,12.79,6592.4001
1785722400000,2026-08-03T02:00:00Z,516.4,519.74,516.4,517.5,24.6,12738.2384
1785726000000,2026-08-03T03:00:00Z,517.5,519.07,516.39,519.07,1.35,697.7861
1785729600000,2026-08-03T04:00:00Z,519.07,519.07,516.13,516.78,15.4,7957.2257
1785733200000,2026-08-03T05:00:00Z,516.78,516.78,514.46,515.29,25.77,13281.4908
1785736800000,2026-08-03T06:00:00Z,515.29,515.29,514.08,514.08,0.31,159.4937
1785740400000,2026-08-03T07:00:00Z,514.08,514.57,511.4,512.18,30.33,15537.984
1785744000000,2026-08-03T08:00:00Z,512.18,514.46,505.57,513.06,96.59,49264.0647
1785747600000,2026-08-03T09:00:00Z,513.06,514.42,507.6,507.6,51.24,26167.4774
1785751200000,2026-08-03T10:00:00Z,507.6,507.6,499.72,505.13,43.04,21703.7313
1785754800000,2026-08-03T11:00:00Z,505.13,505.13,494.35,494.35,48.36,24133.2426
1785758400000,2026-08-03T12:00:00Z,494.35,498.69,491.76,498.69,48.46,24045.8979
1785762000000,2026-08-03T13:00:00Z,498.69,504.08,492.98,504.08,78.97,39409.5125
1785765600000,2026-08-03T14:00:00Z,504.08,517.96,499.24,517.96,67.97,34637.5154
1785769200000,2026-08-03T15:00:00Z,517.96,517.96,507.27,512.88,35.57,18170.0738
1785772800000,2026-08-03T16:00:00Z,512.88,517.21,511.98,511.98,9.06,4671.9625
1785776400000,2026-08-03T17:00:00Z,511.98,518.22,511.98,518.22,6.92,3564.8975
1785780000000,2026-08-03T18:00:00Z,518.22,518.22,514.75,515.1,0.38,195.8893
1785783600000,2026-08-03T19:00:00Z,515.1,517.62,515.1,516.56,32.67,16874.7158
1785787200000,2026-08-03T20:00:00Z,516.56,519.42,516.56,518.76,0.52,269.725
1785790800000,2026-08-03T21:00:00Z,518.76,518.87,517.19,518.58,0.88,456.145
1785794400000,2026-08-03T22:00:00Z,518.58,520.9,518.58,520.12,5.38,2792.1408
1785798000000,2026-08-03T23:00:00Z,520.12,521.77,519.65,521.77,13.51,7026.3389
1785801600000,2026-08-04T00:00:00Z,521.77,522.2,510.48,510.97,68.98,35613.5488
1785805200000,2026-08-04T01:00:00Z,510.97,520.71,508.53,520.59,50.74,26070.9797
1785808800000,2026-08-04T02:00:00Z,520.59,520.59,515,516.92,43.47,22513.9565
1785812400000,2026-08-04T03:00:00Z,516.92,517.72,514.19,516.67,9.22,4753.3848
1785816000000,2026-08-04T04:00:00Z,516.67,520.42,515.09,519.91,32.75,16982.8638
1785819600000,2026-08-04T05:00:00Z,519.91,525.36,519.11,525.36,32.72,17119.0599
1785823200000,2026-08-04T06:00:00Z,525.36,526.89,522.94,524.3,29.4,15408.6241
1785826800000,2026-08-04T07:00:00Z,524.3,529.38,524.19,527.33,30.23,15920.7828
1785830400000,2026-08-04T08:00:00Z,527.33,534.48,526.79,531.51,35.55,18871.7137
1785834000000,2026-08-04T09:00:00Z,531.51,531.63,528.15,530.2,26.8,14164.1795
1785837600000,2026-08-04T10:00:00Z,530.2,539.34,530.2,536.6,34.57,18568.7262
1785841200000,2026-08-04T11:00:00Z,536.6,545.59,536.6,545.31,26.66,14470.2209
1785844800000,2026-08-04T12:00:00Z,545.31,546.72,542.79,542.85,7.86,4273.1121
1785848400000,2026-08-04T13:00:00Z,542.85,548.99,536.82,541.89,78.48,42545.0126
1785852000000,2026-08-04T14:00:00Z,541.89,545.59,536.34,541.92,33,17819.6352
1785855600000,2026-08-04T15:00:00Z,541.92,547.62,541.14,546.05,1.41,770.4122
1785859200000,2026-08-04T16:00:00Z,546.05,548.22,545.6,546.49,2.21,1208.2193
1785862800000,2026-08-04T17:00:00Z,546.49,549.66,546.49,549.66,4.06,2228.8523
1785866400000,2026-08-04T18:00:00Z,549.66,549.66,545.62,547.66,2.86,1564.3849
1785870000000,2026-08-04T19:00:00Z,547.66,549.48,547.66,548.49,15.4,8442.4282
1785873600000,2026-08-04T20:00:00Z,548.49,550.2,540.85,544.29,66.78,36369.9323
1785877200000,2026-08-04T21:00:00Z,544.29,544.29,541.55,543.54,3.93,2133.4874
1785880800000,2026-08-04T22:00:00Z,543.54,545.66,542.46,545.49,18.13,9875.5638
1785884400000,2026-08-04T23:00:00Z,545.49,547.01,544.15,546.78,15.24,8324.8884
1785888000000,2026-08-05T00:00:00Z,546.78,551.17,546.56,548.31,23.49,12860.4079
1785891600000,2026-08-05T01:00:00Z,548.31,551.34,546.27,551.34,16.63,9105.4685
1785895200000,2026-08-05T02:00:00Z,551.34,553.39,551.23,551.23,13.55,7488.2845
1785898800000,2026-08-05T03:00:00Z,551.23,553.44,551.23,553,13.79,7616.4952
1785902400000,2026-08-05T04:00:00Z,553,553,551.26,552.56,14.59,8051.3258
1785906000000,2026-08-05T05:00:00Z,552.56,556.91,552.56,556.91,62.86,34928.0788
1785909600000,2026-08-05T06:00:00Z,556.91,558.14,554.71,556.49,34.02,18922.2156
1785913200000,2026-08-05T07:00:00Z,556.49,557.23,550.6,550.6,9.89,5476.8551
1785916800000,2026-08-05T08:00:00Z,550.6,550.78,540,542.95,52.23,28539.863
1785920400000,2026-08-05T09:00:00Z,542.95,547.3,542.47,545.25,27.58,15013.5698
1785924000000,2026-08-05T10:00:00Z,545.25,545.93,541.25,543.07,47.02,25529.625
1785927600000,2026-08-05T11:00:00Z,543.07,545.63,542.81,544.87,23.65,12866.681
1785931200000,2026-08-05T12:00:00Z,544.87,544.87,539.21,540.79,17,9202.305
1785934800000,2026-08-05T13:00:00Z,540.79,555.2,537.6,552.08,73.25,39956.7733
1785938400000,2026-08-05T14:00:00Z,552.08,552.32,530.84,536.89,69.76,37434.8887
1785942000000,2026-08-05T15:00:00Z,536.89,542.8,535.76,539.79,28.49,15303.9007
1785945600000,2026-08-05T16:00:00Z,539.79,545.81,539.29,544.84,43.15,23470.4918
1785949200000,2026-08-05T17:00:00Z,544.84,544.84,540.34,540.34,0.42,227.8793
1785952800000,2026-08-05T18:00:00Z,540.34,542.45,540.34,540.58,0.69,373.8221
1785956400000,2026-08-05T19:00:00Z,540.58,543.24,534.99,535.11,44.03,23666.787
1785960000000,2026-08-05T20:00:00Z,535.11,535.94,529.4,534.88,44.43,23694.2228
1785963600000,2026-08-05T21:00:00Z,534.88,536.74,533.57,533.57,2.93,1564.754
1785967200000,2026-08-05T22:00:00Z,533.57,538.71,533.57,537.77,19.56,10494.5543
1785970800000,2026-08-05T23:00:00Z,537.77,538.19,533.32,535.86,1210.77,647023.6137
1785974400000,2026-08-06T00:00:00Z,535.86,535.86,529.84,532.35,234.22,124615.0215
1785978000000,2026-08-06T01:00:00Z,532.35,533.61,528.16,531.01,1103.4,586303.4101
1785981600000,2026-08-06T02:00:00Z,531.01,535.54,529.11,534.46,53.74,28669.1223
1785985200000,2026-08-06T03:00:00Z,534.46,535.75,530.7,532.52,36.17,19283.2215
1785988800000,2026-08-06T04:00:00Z,532.52,534.59,532.13,533.48,12.33,6578.1919
1785992400000,2026-08-06T05:00:00Z,533.48,536.07,533.27,534.89,1.32,707.0687
1785996000000,2026-08-06T06:00:00Z,534.89,534.89,531.13,531.51,11.04,5870.0369
1785999600000,2026-08-06T07:00:00Z,531.51,533.38,531.51,532.6,4.77,2541.585
