ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785758400000,2026-08-03T12:00:00Z,390.94,394.34,389.91,391.28,1.41,552.2027
1785762000000,2026-08-03T13:00:00Z,391.28,393.97,388.26,389.11,3.86,1508.7368
1785765600000,2026-08-03T14:00:00Z,389.11,389.11,378.62,380.55,15.88,6066.7226
1785769200000,2026-08-03T15:00:00Z,380.55,381.27,378.67,379.21,11.75,4471.8684
1785772800000,2026-08-03T16:00:00Z,379.21,379.21,376.29,377.4,1.72,650.1973
1785776400000,2026-08-03T17:00:00Z,377.4,378.81,377.29,378.81,2.26,853.726
1785780000000,2026-08-03T18:00:00Z,378.81,379.06,378.17,378.94,9.42,3568.3356
1785783600000,2026-08-03T19:00:00Z,378.94,380.32,378.17,378.27,10.73,4068.1094
1785787200000,2026-08-03T20:00:00Z,378.27,385.53,375.84,380.87,5.04,1907.8815
1785790800000,2026-08-03T21:00:00Z,380.87,383.03,377.93,383.03,1.51,574.1124
1785794400000,2026-08-03T22:00:00Z,383.03,383.03,377.07,379.52,26.64,10118.3648
1785798000000,2026-08-03T23:00:00Z,379.52,384.96,379.08,384.96,2.08,792.0183
1785801600000,2026-08-04T00:00:00Z,384.96,384.96,380.19,381.43,7.36,2803.0439
1785805200000,2026-08-04T01:00:00Z,381.43,381.51,380.22,380.86,7.74,2946.4291
1785808800000,2026-08-04T02:00:00Z,380.86,381.43,380.57,381.43,1.64,625.3026
1785812400000,2026-08-04T03:00:00Z,381.43,381.43,381.13,381.18,0.19,72.4259
1785816000000,2026-08-04T04:00:00Z,381.18,381.18,380.53,380.74,3.09,1175.9774
1785819600000,2026-08-04T05:00:00Z,380.74,380.74,380.61,380.74,0.23,87.5556
1785823200000,2026-08-04T06:00:00Z,380.74,380.74,380.52,380.56,0.28,106.5632
1785826800000,2026-08-04T07:00:00Z,380.56,381.9,380.49,381.9,16.49,6286.6282
1785830400000,2026-08-04T08:00:00Z,381.9,385.77,373.59,381.22,69.37,26479.6177
1785834000000,2026-08-04T09:00:00Z,381.22,382.15,378.31,378.75,14.96,5681.7905
1785837600000,2026-08-04T10:00:00Z,378.75,381.92,378.45,380.74,16.81,6389.0381
1785841200000,2026-08-04T11:00:00Z,380.74,380.74,378.91,379.26,0.53,201.3621
