ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786618800000,2026-08-13T11:00:00Z,209.87,212.07,209.47,211.67,189.87,40147.4721
1786622400000,2026-08-13T12:00:00Z,211.67,212.92,208.59,208.59,379.77,80139.4198
1786626000000,2026-08-13T13:00:00Z,208.59,212,203.32,208.83,107.66,22348.7406
1786629600000,2026-08-13T14:00:00Z,208.83,212.62,206.17,208.42,85.22,17801.6478
1786633200000,2026-08-13T15:00:00Z,208.42,208.95,206.83,208.51,71.83,14953.0105
1786636800000,2026-08-13T16:00:00Z,208.51,208.51,207.17,207.35,5.47,1138.0757
1786640400000,2026-08-13T17:00:00Z,207.35,208.41,207.32,207.63,150.18,31269.89
1786644000000,2026-08-13T18:00:00Z,207.63,208.42,207.63,208.42,167.74,34862.1022
1786647600000,2026-08-13T19:00:00Z,208.42,208.88,203.87,203.87,13.62,2822.2755
1786651200000,2026-08-13T20:00:00Z,203.87,207.54,203.13,204.67,6.67,1368.1863
1786654800000,2026-08-13T21:00:00Z,204.67,206.67,204.6,205.51,3.09,636.2326
1786658400000,2026-08-13T22:00:00Z,205.51,205.56,204.62,204.77,4.62,949.2652
1786662000000,2026-08-13T23:00:00Z,204.77,205.06,204.58,204.58,0.74,151.5508
1786665600000,2026-08-14T00:00:00Z,204.58,208.42,202.35,204.63,20.63,4207.2382
1786669200000,2026-08-14T01:00:00Z,204.63,204.63,203.43,203.94,3.52,718.5371
1786672800000,2026-08-14T02:00:00Z,203.94,205.33,203.3,204.97,32.76,6710.4538
1786676400000,2026-08-14T03:00:00Z,204.97,205.33,202.44,204.08,5.91,1204.6792
1786680000000,2026-08-14T04:00:00Z,204.08,204.1,203.45,203.45,1.55,315.8895
1786683600000,2026-08-14T05:00:00Z,203.45,204.28,203.45,203.61,0.23,46.8673
1786687200000,2026-08-14T06:00:00Z,203.61,203.73,203.16,203.3,1.01,205.5352
1786690800000,2026-08-14T07:00:00Z,203.3,203.93,202.07,203.06,3.29,669.0612
1786694400000,2026-08-14T08:00:00Z,203.06,206.3,201.92,203.06,6.23,1273.116
1786698000000,2026-08-14T09:00:00Z,203.06,204.04,203.06,204.04,3.17,645.7686
1786701600000,2026-08-14T10:00:00Z,204.04,204.63,203.52,204.48,0.59,120.4633
1786705200000,2026-08-14T11:00:00Z,204.48,205.07,203.82,204.98,3.36,687.9141
1786708800000,2026-08-14T12:00:00Z,204.98,205.32,204.36,205.16,1.45,297.3679
1786712400000,2026-08-14T13:00:00Z,205.16,205.88,197.69,201.44,29.36,5947.8922
1786716000000,2026-08-14T14:00:00Z,201.44,201.48,199.83,200.53,6.86,1374.0977
1786719600000,2026-08-14T15:00:00Z,200.53,200.53,198.49,199.38,3.14,624.7054
1786723200000,2026-08-14T16:00:00Z,199.38,199.68,198.46,198.62,10.11,2014.1092
1786726800000,2026-08-14T17:00:00Z,198.62,199.43,198.62,199.43,3.14,624.3179
1786730400000,2026-08-14T18:00:00Z,199.43,199.63,199.02,199.43,0.53,105.6277
1786734000000,2026-08-14T19:00:00Z,199.43,199.43,198.98,199.01,9.3,1851.7663
1786737600000,2026-08-14T20:00:00Z,199.01,199.83,197.84,198.72,2.47,491.3134
1786741200000,2026-08-14T21:00:00Z,198.72,198.81,198.44,198.81,0.35,69.5436
1786744800000,2026-08-14T22:00:00Z,198.81,199.01,198.32,198.55,0.82,162.9755
1786748400000,2026-08-14T23:00:00Z,198.55,199.02,198.55,199.02,1.45,288.392
1786752000000,2026-08-15T00:00:00Z,199.02,199.02,198.57,198.91,0.8,159.0323
1786755600000,2026-08-15T01:00:00Z,198.91,198.97,198.69,198.71,0.44,87.4668
1786759200000,2026-08-15T02:00:00Z,198.71,198.93,198.6,198.93,0.45,89.4365
1786762800000,2026-08-15T03:00:00Z,198.93,198.93,198.56,198.58,0.98,194.7189
1786766400000,2026-08-15T04:00:00Z,198.58,199.01,198.56,198.96,1.21,240.5475
1786770000000,2026-08-15T05:00:00Z,198.96,198.96,198.62,198.95,0.38,75.5131
1786773600000,2026-08-15T06:00:00Z,198.95,199,198.59,198.85,0.63,125.1851
1786777200000,2026-08-15T07:00:00Z,198.85,199.01,198.55,198.97,1.22,242.3767
