ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,34.67,34.91,34.65,34.68,7.99,277.6911
1785632400000,2026-08-02T01:00:00Z,34.68,34.91,34.68,34.91,9.35,325.3472
1785636000000,2026-08-02T02:00:00Z,34.91,34.91,34.66,34.8,7.65,266.0125
1785639600000,2026-08-02T03:00:00Z,34.8,34.89,34.6,34.88,4.69,163.0042
1785643200000,2026-08-02T04:00:00Z,34.88,34.94,34.62,34.94,5.61,195.0277
1785646800000,2026-08-02T05:00:00Z,34.94,34.94,34.6,34.92,31.48,1095.1382
1785650400000,2026-08-02T06:00:00Z,34.92,34.97,34.49,34.86,175.14,6083.7565
1785654000000,2026-08-02T07:00:00Z,34.86,34.87,34.58,34.68,10.92,379.4426
1785657600000,2026-08-02T08:00:00Z,34.68,35.23,34.49,35.19,2237.45,78367.8854
1785661200000,2026-08-02T09:00:00Z,35.19,35.24,35.14,35.14,391.7,13798.4146
1785664800000,2026-08-02T10:00:00Z,35.14,35.21,35.14,35.17,5.94,208.991
1785668400000,2026-08-02T11:00:00Z,35.17,35.22,35.15,35.19,7.71,271.2581
1785672000000,2026-08-02T12:00:00Z,35.19,35.19,35.16,35.19,9.51,334.5485
1785675600000,2026-08-02T13:00:00Z,35.19,35.26,35.14,35.14,22.78,801.5122
1785679200000,2026-08-02T14:00:00Z,35.14,35.18,35.13,35.15,11.86,416.8871
1785682800000,2026-08-02T15:00:00Z,35.15,35.18,35.14,35.16,6.35,223.274
1785686400000,2026-08-02T16:00:00Z,35.16,35.18,35.15,35.17,7.52,264.4589
1785690000000,2026-08-02T17:00:00Z,35.17,35.19,35.13,35.16,19.65,690.6321
1785693600000,2026-08-02T18:00:00Z,35.16,35.17,35.15,35.17,4.2,147.6848
1785697200000,2026-08-02T19:00:00Z,35.17,35.18,35.14,35.16,5.66,199.0408
1785700800000,2026-08-02T20:00:00Z,35.16,35.18,35.16,35.18,4.49,157.9021
1785704400000,2026-08-02T21:00:00Z,35.18,35.19,35.14,35.14,10.77,378.8548
1785708000000,2026-08-02T22:00:00Z,35.14,35.44,35.14,35.33,2425.47,85664.9994
1785711600000,2026-08-02T23:00:00Z,35.33,35.52,35.3,35.35,517.57,18316.7981
1785715200000,2026-08-03T00:00:00Z,35.35,35.6,35.31,35.4,3167.37,112152.2332
1785718800000,2026-08-03T01:00:00Z,35.4,37.47,35.4,37.36,20817.05,761402.6605
1785722400000,2026-08-03T02:00:00Z,37.36,37.58,37.36,37.58,767.03,28759.0217
