ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,60.66,61.84,60.63,60.96,928.67,56904.4531
1785632400000,2026-08-02T01:00:00Z,60.96,61.05,60.38,60.54,810.95,49222.7669
1785636000000,2026-08-02T02:00:00Z,60.54,63.14,60.45,61.99,4569,283641.0463
1785639600000,2026-08-02T03:00:00Z,61.99,62.3,61.64,61.92,860,53237.7652
1785643200000,2026-08-02T04:00:00Z,61.92,62.14,61.51,61.57,707.26,43686.996
1785646800000,2026-08-02T05:00:00Z,61.57,61.76,61.41,61.71,513.37,31619.6979
1785650400000,2026-08-02T06:00:00Z,61.71,61.82,61.3,61.3,1177.65,72634.3068
1785654000000,2026-08-02T07:00:00Z,61.3,61.45,60.91,61.09,844.98,51676.0425
1785657600000,2026-08-02T08:00:00Z,61.09,62.25,60.98,61.6,2214.81,136219.2064
1785661200000,2026-08-02T09:00:00Z,61.6,61.65,61.25,61.59,606.05,37217.7593
1785664800000,2026-08-02T10:00:00Z,61.59,61.67,61.19,61.19,1055.01,64768.4195
1785668400000,2026-08-02T11:00:00Z,61.19,61.3,60.58,60.82,1028,62642.3344
1785672000000,2026-08-02T12:00:00Z,60.82,61.23,60.74,61.02,456.06,27783.9997
1785675600000,2026-08-02T13:00:00Z,61.02,61.2,60.97,61.12,501.54,30656.9391
1785679200000,2026-08-02T14:00:00Z,61.12,61.26,61.1,61.16,194.35,11891.9417
1785682800000,2026-08-02T15:00:00Z,61.16,61.43,61.09,61.37,329.06,20154.1877
1785686400000,2026-08-02T16:00:00Z,61.37,61.79,61.25,61.67,561.09,34512.4827
1785690000000,2026-08-02T17:00:00Z,61.67,62.22,61.67,61.89,766.49,47458.5444
1785693600000,2026-08-02T18:00:00Z,61.89,62.19,61.89,62.05,253.37,15708.8924
1785697200000,2026-08-02T19:00:00Z,62.05,62.44,62.05,62.42,569.32,35452.6671
1785700800000,2026-08-02T20:00:00Z,62.42,62.49,62.26,62.3,377.41,23537.4753
1785704400000,2026-08-02T21:00:00Z,62.3,62.51,61.64,61.83,777.23,48287.9783
1785708000000,2026-08-02T22:00:00Z,61.83,62.37,61.43,61.7,1208.58,74728.7655
1785711600000,2026-08-02T23:00:00Z,61.7,62.52,61.4,61.71,2047.33,126762.7511
1785715200000,2026-08-03T00:00:00Z,61.71,63.14,60.74,62.79,1653,102299.363
1785718800000,2026-08-03T01:00:00Z,62.79,62.81,61.73,62.52,1523.89,94822.0105
1785722400000,2026-08-03T02:00:00Z,62.52,63,62.17,62.41,308.27,19304.0752
1785726000000,2026-08-03T03:00:00Z,62.41,62.55,61.81,62.08,206.75,12850.5042
